# observation_id: 9e6d0bc3-f3b2-11ed-b529-42ea8684a302,,
# metadata: https://api.forecastarbiter.com/observations/9e6d0bc3-f3b2-11ed-b529-42ea8684a302/metadata,,
timestamp,value,quality_flag
20220101T05:00:00+0000,0.172414,0
20220101T06:00:00+0000,0.172414,0
20220101T07:00:00+0000,0.155172,0
20220101T08:00:00+0000,0.155172,0
20220101T09:00:00+0000,0.137931,0
20220101T10:00:00+0000,0.137931,0
20220101T11:00:00+0000,0.137931,0
20220101T12:00:00+0000,0.137931,0
20220101T13:00:00+0000,0.137931,0
20220101T14:00:00+0000,0.103448,0
20220101T15:00:00+0000,0.051724,0
20220101T16:00:00+0000,-0.137931,0
20220101T17:00:00+0000,-0.224138,0
20220101T18:00:00+0000,-0.224138,0
20220101T19:00:00+0000,-0.155172,0
20220101T20:00:00+0000,-0.051724,0
20220101T21:00:00+0000,-0.034483,0
20220101T22:00:00+0000,0.12069,0
20220101T23:00:00+0000,0.189655,0
20220102T00:00:00+0000,0.206897,0
20220102T01:00:00+0000,0.189655,0
20220102T02:00:00+0000,0.189655,0
20220102T03:00:00+0000,0.172414,0
20220102T04:00:00+0000,0.172414,0
20220102T05:00:00+0000,0.155172,0
20220102T06:00:00+0000,0.155172,0
20220102T07:00:00+0000,0.155172,0
20220102T08:00:00+0000,0.155172,0
20220102T09:00:00+0000,0.137931,0
20220102T10:00:00+0000,0.137931,0
20220102T11:00:00+0000,0.137931,0
20220102T12:00:00+0000,0.137931,0
20220102T13:00:00+0000,0.155172,0
20220102T14:00:00+0000,0.12069,0
20220102T15:00:00+0000,0.051724,0
20220102T16:00:00+0000,0.068966,0
20220102T17:00:00+0000,-0.051724,0
20220102T18:00:00+0000,-0.034483,0
20220102T19:00:00+0000,-0.017241,0
20220102T20:00:00+0000,0.068966,0
20220102T21:00:00+0000,0.12069,0
20220102T22:00:00+0000,0.189655,0
20220102T23:00:00+0000,0.172414,0
20220103T00:00:00+0000,0.189655,16402
20220103T01:00:00+0000,0.189655,16402
20220103T02:00:00+0000,0.172414,16402
20220103T03:00:00+0000,0.172414,16402
20220103T04:00:00+0000,0.172414,19474
20220103T05:00:00+0000,0.155172,16402
20220103T06:00:00+0000,0.137931,16402
20220103T07:00:00+0000,0.12069,18450
20220103T08:00:00+0000,0.12069,16402
20220103T09:00:00+0000,0.12069,19474
20220103T10:00:00+0000,0.137931,16402
20220103T11:00:00+0000,0.172414,16402
20220103T12:00:00+0000,0.189655,16402
20220103T13:00:00+0000,0.396552,16402
