DT,dwpt,prcp,rhum,temp,wdir,wspd,Amity
1/1/2022 8:00,-5,0,85,-2.8,340,5.4,0.678119
1/1/2022 9:00,-5,0,88,-3.3,0,0,0.661744
1/1/2022 10:00,-5,0,88,-3.3,0,0,0.667333
1/1/2022 11:00,-5.6,0,84,-3.3,0,0,0.6831
1/1/2022 12:00,-6.1,0,85,-3.9,0,0,0.717013
1/1/2022 13:00,-6.1,0,85,-3.9,0,0,0.747671
1/1/2022 14:00,-6.1,0,85,-3.9,0,0,0.787813
1/1/2022 15:00,-6.7,0,84,-4.4,340,7.6,0.829981
1/1/2022 16:00,-5.6,0,81,-2.8,0,0,0.840125
1/1/2022 17:00,-5.6,0,81,-2.8,10,5.4,0.852644
1/1/2022 18:00,-5.5,0,78,-2.2,0,0,0.792315
1/1/2022 19:00,-5.5,0,75,-1.7,0,0,0.753076
1/1/2022 20:00,-5.6,0,69,-0.6,0,0,0.717898
1/1/2022 21:00,-3.9,0,75,0,140,5.4,0.610154
1/1/2022 22:00,-3.3,0,75,0.6,0,0,0.648675
1/1/2022 23:00,-2.8,0,72,1.7,0,0,0.734438
1/2/2022 0:00,-2.8,0,75,1.1,0,0,0.783644
1/2/2022 1:00,-3.3,0,82,-0.6,360,9.4,0.822352
1/2/2022 2:00,-3.3,0,85,-1.1,0,0,0.81824
1/2/2022 3:00,-2.8,0,88,-1.1,0,0,0.819923
1/2/2022 4:00,-3.3,0,85,-1.1,340,9.4,0.78834
1/2/2022 5:00,-2.8,0,85,-0.6,0,0,0.741449
1/2/2022 6:00,-2.8,0,88,-1.1,0,0,0.706105
1/2/2022 7:00,-2.8,0,88,-1.1,0,0,0.672697
1/2/2022 8:00,-2.8,0,88,-1.1,0,0,0.645525
1/2/2022 9:00,-3.3,0,89,-1.7,0,0,0.609595
1/2/2022 10:00,-3.3,0,89,-1.7,0,0,0.616228
1/2/2022 11:00,-2.2,0,92,-1.1,0,0,0.616485
1/2/2022 12:00,-2.2,0,89,-0.6,0,0,0.635137
1/2/2022 13:00,-2.2,0,89,-0.6,0,0,0.669157
1/2/2022 14:00,-1.8,0,88,0,0,0,0.703446
1/2/2022 15:00,-1.8,0,88,0,20,5.4,0.733548
1/2/2022 16:00,-1.8,0,88,0,0,0,0.76472
1/2/2022 17:00,-1.2,0,88,0.6,340,5.4,0.778277
1/2/2022 18:00,-0.7,0,88,1.1,340,5.4,0.772386
1/2/2022 19:00,0,0,79,3.3,120,5.4,0.717208
1/2/2022 20:00,-1.2,0,53,7.8,190,24.1,0.690983
1/2/2022 21:00,-1,0,50,8.9,190,33.5,0.71126
1/2/2022 22:00,0.1,0.3,54,8.9,190,33.5,0.730033
1/2/2022 23:00,0.1,1.9,54,8.9,190,27.7,0.731476
1/3/2022 0:00,1.7,0.3,63,8.3,190,40.7,0.749747
1/3/2022 1:00,1.1,0.3,56,9.4,180,37.1,0.777337
1/3/2022 2:00,0.6,0.3,54,9.4,190,37.1,0.756927
1/3/2022 3:00,2.7,0.8,68,8.3,190,33.5,0.736766
1/3/2022 4:00,2.9,2.3,66,8.9,190,40.7,0.705482
1/3/2022 5:00,3.9,0.3,74,8.3,200,31.7,0.645611
1/3/2022 6:00,3.9,0.3,71,8.9,190,35.3,0.583563
1/3/2022 7:00,5.1,0.8,77,8.9,200,44.6,0.535251
1/3/2022 8:00,5,1,86,7.2,260,18.4,0.483606
1/3/2022 9:00,4.4,0.5,85,6.7,230,24.1,0.469177
1/3/2022 10:00,5.6,6.1,86,7.8,160,24.1,0.475447
1/3/2022 11:00,5.7,7.4,90,7.2,240,11.2,0.483918
1/3/2022 12:00,3.3,4.8,82,6.1,250,25.9,0.500053
1/3/2022 13:00,3.3,2.5,89,5,200,13,0.579068
1/3/2022 14:00,2.9,1.8,86,5,180,14.8,0.665421
1/3/2022 15:00,2.7,2.8,89,4.4,150,13,0.697394
