# observation_id: 540e3ddd-edc0-11ed-b470-128dcacebd72
# metadata: https://api.forecastarbiter.com/observations/540e3ddd-edc0-11ed-b470-128dcacebd72/metadata
timestamp,value,quality_flag
20220614T10:00:00+0000,0.642553,0
20220614T11:00:00+0000,0.573617,0
20220614T12:00:00+0000,0.537021,0
20220614T13:00:00+0000,0.521702,0
20220614T14:00:00+0000,0.518298,0
20220614T15:00:00+0000,0.523404,0
20220614T16:00:00+0000,0.52,0
20220614T17:00:00+0000,0.408511,0
20220614T18:00:00+0000,0.132766,0
20220614T19:00:00+0000,-0.169362,0
20220614T20:00:00+0000,-0.34383,0
20220614T21:00:00+0000,-0.436596,0
20220614T22:00:00+0000,-0.193191,0
20220614T23:00:00+0000,-0.478298,0
20220615T00:00:00+0000,-0.454468,0
20220615T01:00:00+0000,-0.30383,0
20220615T02:00:00+0000,-0.0782977,0
20220615T03:00:00+0000,0.260426,0
20220615T04:00:00+0000,0.603404,0
20220615T05:00:00+0000,0.799149,0
20220615T06:00:00+0000,0.835745,0
20220615T07:00:00+0000,0.840851,0
20220615T08:00:00+0000,0.779574,0
20220615T09:00:00+0000,0.695319,0
20220615T10:00:00+0000,0.626383,0
20220615T11:00:00+0000,0.569362,0
20220615T12:00:00+0000,0.530213,0
20220615T13:00:00+0000,0.509787,0
20220615T14:00:00+0000,0.52766,0
20220615T15:00:00+0000,0.528511,0
20220615T16:00:00+0000,0.542979,0
20220615T17:00:00+0000,0.370213,0
20220615T18:00:00+0000,0.0876596,0
20220615T19:00:00+0000,0.0459576,0
20220615T20:00:00+0000,-0.182979,0
20220615T21:00:00+0000,-0.245106,0
20220615T22:00:00+0000,-0.0672339,0
20220615T23:00:00+0000,0.0272341,0
20220616T00:00:00+0000,-0.180425,0
20220616T01:00:00+0000,0.0340427,0
20220616T02:00:00+0000,0.188936,0
20220616T03:00:00+0000,0.555745,0
20220616T04:00:00+0000,0.675745,0
20220616T05:00:00+0000,0.828085,0
20220616T06:00:00+0000,0.879149,0
20220616T07:00:00+0000,0.852766,0
20220616T08:00:00+0000,0.777021,0
20220616T09:00:00+0000,0.724255,0
20220616T10:00:00+0000,0.628085,0
20220616T11:00:00+0000,0.581277,0
20220616T12:00:00+0000,0.55234,0
20220616T13:00:00+0000,0.530213,0
20220616T14:00:00+0000,0.519149,0
20220616T15:00:00+0000,0.535319,0
20220616T16:00:00+0000,0.55234,0
20220616T17:00:00+0000,0.470638,0
20220616T18:00:00+0000,0.0978724,0
20220616T19:00:00+0000,0.182979,0
20220616T20:00:00+0000,-0.0638297,0
20220616T21:00:00+0000,-0.0289359,0
20220616T22:00:00+0000,0.0748937,0
20220616T23:00:00+0000,0.101277,0
20220617T00:00:00+0000,0.0391491,0
20220617T01:00:00+0000,0.0263831,0
20220617T02:00:00+0000,0.0757447,0
20220617T03:00:00+0000,0.275745,0
20220617T04:00:00+0000,0.638298,0
20220617T05:00:00+0000,0.798298,0
20220617T06:00:00+0000,0.839149,0
20220617T07:00:00+0000,0.83234,0
20220617T08:00:00+0000,0.771064,0
20220617T09:00:00+0000,0.691064,0
20220617T10:00:00+0000,0.611915,0
20220617T11:00:00+0000,0.571915,0
20220617T12:00:00+0000,0.547234,0
20220617T13:00:00+0000,0.508936,0
20220617T14:00:00+0000,0.501277,0
20220617T15:00:00+0000,0.52,0
20220617T16:00:00+0000,0.545532,0
20220617T17:00:00+0000,0.335319,0
20220617T18:00:00+0000,0.241702,0
20220617T19:00:00+0000,-0.107234,0
20220617T20:00:00+0000,-0.373617,0
20220617T21:00:00+0000,-0.108936,0
20220617T22:00:00+0000,-0.535319,0
20220617T23:00:00+0000,-0.521702,0
20220618T00:00:00+0000,0.537872,0
20220618T01:00:00+0000,0.165106,0
20220618T02:00:00+0000,-0.0323404,0
20220618T03:00:00+0000,0.265532,0
20220618T04:00:00+0000,0.633192,0
20220618T05:00:00+0000,0.77617,0
20220618T06:00:00+0000,0.82383,0
20220618T07:00:00+0000,0.775319,0
20220618T08:00:00+0000,0.741277,0
20220618T09:00:00+0000,0.686809,0
20220618T10:00:00+0000,0.63149,0
20220618T11:00:00+0000,0.58383,0
20220618T12:00:00+0000,0.540426,0
20220618T13:00:00+0000,0.524255,0
20220618T14:00:00+0000,0.497021,0
20220618T15:00:00+0000,0.501277,0
20220618T16:00:00+0000,0.533617,0
20220618T17:00:00+0000,0.415319,0
20220618T18:00:00+0000,0.148085,0
20220618T19:00:00+0000,-0.0902126,0
20220618T20:00:00+0000,-0.28851,0
20220618T21:00:00+0000,-0.15234,0
20220618T22:00:00+0000,-0.142128,0
20220618T23:00:00+0000,0.0238299,0
20220619T00:00:00+0000,0.0723406,0
20220619T01:00:00+0000,0.24,0
20220619T02:00:00+0000,0.312341,0
20220619T03:00:00+0000,0.633192,0
20220619T04:00:00+0000,0.715745,0
20220619T05:00:00+0000,0.742128,0
20220619T06:00:00+0000,0.780426,0
20220619T07:00:00+0000,0.734468,0
20220619T08:00:00+0000,0.723404,0
20220619T09:00:00+0000,0.66383,0
20220619T10:00:00+0000,0.611915,0
20220619T11:00:00+0000,0.554043,0
20220619T12:00:00+0000,0.525106,0
20220619T13:00:00+0000,0.506383,0
20220619T14:00:00+0000,0.486809,0
20220619T15:00:00+0000,0.49617,0
20220619T16:00:00+0000,0.522553,0
20220619T17:00:00+0000,0.417872,0
20220619T18:00:00+0000,0.162553,0
20220619T19:00:00+0000,0.0655321,0
20220619T20:00:00+0000,-0.0204253,0
20220619T21:00:00+0000,-0.199149,0
20220619T22:00:00+0000,-0.155745,0
20220619T23:00:00+0000,-0.35234,0
20220620T00:00:00+0000,-0.334468,0
20220620T01:00:00+0000,0.0212767,0
20220620T02:00:00+0000,0.529362,0
20220620T03:00:00+0000,0.465532,0
20220620T04:00:00+0000,0.647659,0
20220620T05:00:00+0000,0.785532,0
20220620T06:00:00+0000,0.839149,0
