# observation_id: 8db7d9ce-f3b2-11ed-a4f1-42ea8684a302,,
# metadata: https://api.forecastarbiter.com/observations/8db7d9ce-f3b2-11ed-a4f1-42ea8684a302/metadata,,
timestamp,value,quality_flag
20220101T08:00:00+0000,0.678119,0
20220101T09:00:00+0000,0.661744,0
20220101T10:00:00+0000,0.667333,0
20220101T11:00:00+0000,0.6831,0
20220101T12:00:00+0000,0.717013,0
20220101T13:00:00+0000,0.747671,0
20220101T14:00:00+0000,0.787813,0
20220101T15:00:00+0000,0.829981,0
20220101T16:00:00+0000,0.840125,0
20220101T17:00:00+0000,0.852644,0
20220101T18:00:00+0000,0.792315,0
20220101T19:00:00+0000,0.753076,0
20220101T20:00:00+0000,0.717898,0
20220101T21:00:00+0000,0.610154,0
20220101T22:00:00+0000,0.648675,0
20220101T23:00:00+0000,0.734438,0
20220102T00:00:00+0000,0.783644,0
20220102T01:00:00+0000,0.822352,0
20220102T02:00:00+0000,0.81824,0
20220102T03:00:00+0000,0.819923,0
20220102T04:00:00+0000,0.78834,0
20220102T05:00:00+0000,0.741449,0
20220102T06:00:00+0000,0.706105,0
20220102T07:00:00+0000,0.672697,0
20220102T08:00:00+0000,0.645525,0
20220102T09:00:00+0000,0.609595,0
20220102T10:00:00+0000,0.616228,0
20220102T11:00:00+0000,0.616485,0
20220102T12:00:00+0000,0.635137,0
20220102T13:00:00+0000,0.669157,0
20220102T14:00:00+0000,0.703446,0
20220102T15:00:00+0000,0.733548,0
20220102T16:00:00+0000,0.76472,0
20220102T17:00:00+0000,0.778277,0
20220102T18:00:00+0000,0.772386,0
20220102T19:00:00+0000,0.717208,0
20220102T20:00:00+0000,0.690983,0
20220102T21:00:00+0000,0.71126,0
20220102T22:00:00+0000,0.730033,0
20220102T23:00:00+0000,0.731476,0
20220103T00:00:00+0000,0.749747,16386
20220103T01:00:00+0000,0.777337,16386
20220103T02:00:00+0000,0.756927,16402
20220103T03:00:00+0000,0.736766,16402
20220103T04:00:00+0000,0.705482,16402
20220103T05:00:00+0000,0.645611,16402
20220103T06:00:00+0000,0.583563,16402
20220103T07:00:00+0000,0.535251,16402
20220103T08:00:00+0000,0.483606,16402
20220103T09:00:00+0000,0.469177,16402
20220103T10:00:00+0000,0.475447,16402
20220103T11:00:00+0000,0.483918,16402
20220103T12:00:00+0000,0.500053,16402
20220103T13:00:00+0000,0.579068,16402
20220103T14:00:00+0000,0.665421,16402
20220103T15:00:00+0000,0.697394,16402
20220103T16:00:00+0000,0.696163,16402
20220103T17:00:00+0000,0.736765,16386
20220103T18:00:00+0000,0.753039,16386
20220103T19:00:00+0000,0.743226,16386
20220103T20:00:00+0000,0.743707,16386
20220103T21:00:00+0000,0.741851,16386
20220103T22:00:00+0000,0.735648,16386
20220103T23:00:00+0000,0.754791,16386
20220104T00:00:00+0000,0.790473,16386
20220104T01:00:00+0000,0.807057,16386
20220104T02:00:00+0000,0.813157,16402
20220104T03:00:00+0000,0.777721,16402
20220104T04:00:00+0000,0.7453,16402
20220104T05:00:00+0000,0.688859,16402
20220104T06:00:00+0000,0.599137,16402
20220104T07:00:00+0000,0.543845,16402
20220104T08:00:00+0000,0.542998,16402
20220104T09:00:00+0000,0.529808,16402
20220104T10:00:00+0000,0.521671,16402
20220104T11:00:00+0000,0.538219,16402
20220104T12:00:00+0000,0.56877,16402
20220104T13:00:00+0000,0.630391,16402
20220104T14:00:00+0000,0.712658,16402
20220104T15:00:00+0000,0.771641,16402
20220104T16:00:00+0000,0.743071,16402
20220104T17:00:00+0000,0.745971,16386
20220104T18:00:00+0000,0.705143,16386
20220104T19:00:00+0000,0.702894,16386
20220104T20:00:00+0000,0.707288,16386
20220104T21:00:00+0000,0.707478,16386
20220104T22:00:00+0000,0.69356,16386
20220104T23:00:00+0000,0.693616,16386
20220105T00:00:00+0000,0.723104,16386
20220105T01:00:00+0000,0.754064,16386
20220105T02:00:00+0000,0.762527,16402
20220105T03:00:00+0000,0.712902,16402
20220105T04:00:00+0000,0.670412,16402
20220105T05:00:00+0000,0.616307,16402
20220105T06:00:00+0000,0.54266,16402
20220105T07:00:00+0000,0.490843,16402
20220105T08:00:00+0000,0.469428,16402
20220105T09:00:00+0000,0.45598,16402
20220105T10:00:00+0000,0.452163,16402
20220105T11:00:00+0000,0.45324,16402
20220105T12:00:00+0000,0.489952,16402
20220105T13:00:00+0000,0.550964,16402
20220105T14:00:00+0000,0.604243,16402
20220105T15:00:00+0000,0.662719,16402
20220105T16:00:00+0000,0.667402,16402
20220105T17:00:00+0000,0.676474,16386
20220105T18:00:00+0000,0.678805,16386
20220105T19:00:00+0000,0.67252,16386
20220105T20:00:00+0000,0.683091,16386
20220105T21:00:00+0000,0.672398,16386
20220105T22:00:00+0000,0.670018,16386
20220105T23:00:00+0000,0.683193,16386
20220106T00:00:00+0000,0.713132,16386
20220106T01:00:00+0000,0.746645,16386
20220106T02:00:00+0000,0.744316,16402
20220106T03:00:00+0000,0.710316,16402
20220106T04:00:00+0000,0.681036,16402
20220106T05:00:00+0000,0.614449,16402
20220106T06:00:00+0000,0.549654,16402
20220106T07:00:00+0000,0.490123,16402
20220106T08:00:00+0000,0.448333,16402
20220106T09:00:00+0000,0.440274,16402
20220106T10:00:00+0000,0.420177,16402
20220106T11:00:00+0000,0.418579,16402
20220106T12:00:00+0000,0.428844,16402
20220106T13:00:00+0000,0.484091,16402
20220106T14:00:00+0000,0.555492,16402
20220106T15:00:00+0000,0.595271,16402
20220106T16:00:00+0000,0.603052,16402
20220106T17:00:00+0000,0.609238,16386
20220106T18:00:00+0000,0.603097,16386
20220106T19:00:00+0000,0.592975,16386
20220106T20:00:00+0000,0.573167,16386
20220106T21:00:00+0000,0.574288,16386
20220106T22:00:00+0000,0.571973,16386
20220106T23:00:00+0000,0.583707,16386
20220107T00:00:00+0000,0.608021,16386
20220107T01:00:00+0000,0.649146,16386
20220107T02:00:00+0000,0.618066,16402
20220107T03:00:00+0000,0.58576,16402
20220107T04:00:00+0000,0.549969,16402
20220107T05:00:00+0000,0.516339,16402
20220107T06:00:00+0000,0.470516,16402
20220107T07:00:00+0000,0.433296,16402
20220107T08:00:00+0000,0.410718,16402
20220107T09:00:00+0000,0.397733,16402
20220107T10:00:00+0000,0.394528,16402
20220107T11:00:00+0000,0.408376,16402
20220107T12:00:00+0000,0.427344,16402
