DT,pres,prcp,dwpt,wdir,temp,wspd,Amity,rhum
2022-01-01 08:00:00,1023.0,0.0,-5.0,340.0,-2.8,5.4,0.678119,85.0
2022-01-01 09:00:00,1023.6,0.0,-5.0,0.0,-3.3,0.0,0.661744,88.0
2022-01-01 10:00:00,1024.3,0.0,-5.0,0.0,-3.3,0.0,0.667333,88.0
2022-01-01 11:00:00,1024.9,0.0,-5.6,0.0,-3.3,0.0,0.6831,84.0
2022-01-01 12:00:00,1024.9,0.0,-6.1,0.0,-3.9,0.0,0.717013,85.0
2022-01-01 13:00:00,1025.4,0.0,-6.1,0.0,-3.9,0.0,0.747671,85.0
2022-01-01 14:00:00,1025.7,0.0,-6.1,0.0,-3.9,0.0,0.787813,85.0
2022-01-01 15:00:00,1026.1,0.0,-6.7,340.0,-4.4,7.6,0.829981,84.0
2022-01-01 16:00:00,1026.2,0.0,-5.6,0.0,-2.8,0.0,0.840125,81.0
2022-01-01 17:00:00,1026.6,0.0,-5.6,10.0,-2.8,5.4,0.852644,81.0
2022-01-01 18:00:00,1026.9,0.0,-5.5,0.0,-2.2,0.0,0.792315,78.0
2022-01-01 19:00:00,1027.4,0.0,-5.5,0.0,-1.7,0.0,0.753076,75.0
2022-01-01 20:00:00,1026.5,0.0,-5.6,0.0,-0.6,0.0,0.717898,69.0
2022-01-01 21:00:00,1026.0,0.0,-3.9,140.0,0.0,5.4,0.610154,75.0
2022-01-01 22:00:00,1025.3,0.0,-3.3,0.0,0.6,0.0,0.648675,75.0
2022-01-01 23:00:00,1024.8,0.0,-2.8,0.0,1.7,0.0,0.734438,72.0
2022-01-02 00:00:00,1024.4,0.0,-2.8,0.0,1.1,0.0,0.783644,75.0
2022-01-02 01:00:00,1024.0,0.0,-3.3,360.0,-0.6,9.4,0.822352,82.0
2022-01-02 02:00:00,1023.6,0.0,-3.3,0.0,-1.1,0.0,0.81824,85.0
2022-01-02 03:00:00,1023.0,0.0,-2.8,0.0,-1.1,0.0,0.819923,88.0
2022-01-02 04:00:00,1022.9,0.0,-3.3,340.0,-1.1,9.4,0.78834,85.0
2022-01-02 05:00:00,1022.6,0.0,-2.8,0.0,-0.6,0.0,0.741449,85.0
2022-01-02 06:00:00,1022.0,0.0,-2.8,0.0,-1.1,0.0,0.706105,88.0
2022-01-02 07:00:00,1021.4,0.0,-2.8,0.0,-1.1,0.0,0.672697,88.0
2022-01-02 08:00:00,1021.0,0.0,-2.8,0.0,-1.1,0.0,0.645525,88.0
2022-01-02 09:00:00,1020.3,0.0,-3.3,0.0,-1.7,0.0,0.609595,89.0
2022-01-02 10:00:00,1020.0,0.0,-3.3,0.0,-1.7,0.0,0.616228,89.0
2022-01-02 11:00:00,1019.3,0.0,-2.2,0.0,-1.1,0.0,0.616485,92.0
2022-01-02 12:00:00,1018.7,0.0,-2.2,0.0,-0.6,0.0,0.635137,89.0
2022-01-02 13:00:00,1017.7,0.0,-2.2,0.0,-0.6,0.0,0.669157,89.0
2022-01-02 14:00:00,1017.3,0.0,-1.8,0.0,0.0,0.0,0.703446,88.0
2022-01-02 15:00:00,1016.8,0.0,-1.8,20.0,0.0,5.4,0.733549,88.0
2022-01-02 16:00:00,1016.1,0.0,-1.8,0.0,0.0,0.0,0.76472,88.0
2022-01-02 17:00:00,1015.1,0.0,-1.2,340.0,0.6,5.4,0.778277,88.0
2022-01-02 18:00:00,1014.3,0.0,-0.7,340.0,1.1,5.4,0.772386,88.0
2022-01-02 19:00:00,1013.3,0.0,0.0,120.0,3.3,5.4,0.717208,79.0
2022-01-02 20:00:00,1011.9,0.0,-1.2,190.0,7.8,24.1,0.690983,53.0
2022-01-02 21:00:00,1010.7,0.0,-1.0,190.0,8.9,33.5,0.71126,50.0
2022-01-02 22:00:00,1009.7,0.3,0.1,190.0,8.9,33.5,0.730033,54.0
2022-01-02 23:00:00,1008.4,1.9,0.1,190.0,8.9,27.7,0.731476,54.0
2022-01-03 00:00:00,1007.5,0.3,1.7,190.0,8.3,40.7,0.749747,63.0
2022-01-03 01:00:00,1005.9,0.3,1.1,180.0,9.4,37.1,0.777337,56.0
2022-01-03 02:00:00,1004.6,0.3,0.6,190.0,9.4,37.1,0.756927,54.0
2022-01-03 03:00:00,1003.5,0.8,2.7,190.0,8.3,33.5,0.736766,68.0
2022-01-03 04:00:00,1002.7,2.3,2.9,190.0,8.9,40.7,0.705482,66.0
2022-01-03 05:00:00,1001.6,0.3,3.9,200.0,8.3,31.7,0.645611,74.0
2022-01-03 06:00:00,1000.4,0.3,3.9,190.0,8.9,35.3,0.583563,71.0
2022-01-03 07:00:00,999.9,0.8,5.1,200.0,8.9,44.6,0.535251,77.0
2022-01-03 08:00:00,1001.0,1.0,5.0,260.0,7.2,18.4,0.483606,86.0
2022-01-03 09:00:00,1000.0,0.5,4.4,230.0,6.7,24.1,0.469177,85.0
2022-01-03 10:00:00,998.1,6.1,5.6,160.0,7.8,24.1,0.475447,86.0
2022-01-03 11:00:00,999.0,7.4,5.7,240.0,7.2,11.2,0.483918,90.0
2022-01-03 12:00:00,999.0,4.8,3.3,250.0,6.1,25.9,0.500053,82.0
2022-01-03 13:00:00,999.4,2.5,3.3,200.0,5.0,13.0,0.579068,89.0
2022-01-03 14:00:00,999.5,1.8,2.9,180.0,5.0,14.8,0.665421,86.0
2022-01-03 15:00:00,1000.0,2.8,2.7,150.0,4.4,13.0,0.697394,89.0
2022-01-03 16:00:00,1000.4,1.0,3.3,160.0,5.0,24.1,0.696163,89.0
2022-01-03 17:00:00,1001.2,2.8,2.9,180.0,5.0,18.4,0.736765,86.0
2022-01-03 18:00:00,1003.0,0.7,2.3,170.0,4.4,22.3,0.753039,86.0
2022-01-03 19:00:00,1002.6,1.3,2.3,170.0,4.4,13.0,0.743226,86.0
2022-01-03 20:00:00,1002.1,0.6,2.9,160.0,5.0,16.6,0.743707,86.0
2022-01-03 21:00:00,1002.6,1.3,2.9,230.0,5.0,18.4,0.741851,86.0
2022-01-03 22:00:00,1002.4,0.4,1.7,220.0,5.0,20.5,0.735648,79.0
2022-01-03 23:00:00,1003.1,0.0,2.8,170.0,5.6,7.6,0.754791,82.0
2022-01-04 00:00:00,1003.7,1.2,2.2,200.0,5.0,24.1,0.790473,82.0
2022-01-04 01:00:00,1004.8,1.8,1.2,190.0,3.3,18.4,0.807057,86.0
2022-01-04 02:00:00,1004.9,0.1,0.6,170.0,2.2,16.6,0.813157,89.0
2022-01-04 03:00:00,1006.2,0.8,1.0,0.0,2.2,0.0,0.777721,92.0
2022-01-04 04:00:00,1007.2,0.3,1.0,160.0,2.2,7.6,0.7453,92.0
2022-01-04 05:00:00,1008.3,0.0,0.6,30.0,2.2,5.4,0.688859,89.0
2022-01-04 06:00:00,1009.2,0.5,1.2,130.0,2.8,5.4,0.599137,89.0
2022-01-04 07:00:00,1010.6,0.3,1.8,130.0,2.8,9.4,0.543845,93.0
2022-01-04 08:00:00,1011.7,0.0,1.7,150.0,3.3,11.2,0.542998,89.0
2022-01-04 09:00:00,1012.9,0.0,1.7,0.0,3.3,0.0,0.529808,89.0
2022-01-04 10:00:00,1013.7,0.0,1.7,130.0,3.3,11.2,0.521671,89.0
2022-01-04 11:00:00,1015.1,0.0,1.7,150.0,3.3,7.6,0.538219,89.0
2022-01-04 12:00:00,1015.1,0.0,1.8,180.0,4.4,18.4,0.56877,83.0
2022-01-04 13:00:00,1015.9,0.5,2.3,220.0,4.4,14.8,0.630391,86.0
2022-01-04 14:00:00,1016.7,0.3,2.3,210.0,4.4,13.0,0.712658,86.0
2022-01-04 15:00:00,1017.1,0.0,2.3,0.0,3.9,0.0,0.771641,89.0
2022-01-04 16:00:00,1018.0,0.0,2.3,150.0,3.9,9.4,0.743071,89.0
2022-01-04 17:00:00,1018.1,0.4,2.7,200.0,4.4,5.4,0.745971,89.0
2022-01-04 18:00:00,1018.4,0.1,3.3,160.0,5.0,13.0,0.705143,89.0
2022-01-04 19:00:00,1018.4,0.3,4.4,0.0,6.7,0.0,0.702894,85.0
2022-01-04 20:00:00,1017.8,0.1,4.4,170.0,6.1,16.6,0.707288,89.0
2022-01-04 21:00:00,1017.5,0.3,5.1,190.0,7.8,14.8,0.707478,83.0
2022-01-04 22:00:00,1017.1,0.3,5.1,160.0,7.8,13.0,0.69356,83.0
2022-01-04 23:00:00,1016.9,0.2,6.1,150.0,7.2,11.2,0.693616,93.0
2022-01-05 00:00:00,1016.2,1.0,6.1,150.0,7.2,11.2,0.723104,93.0
2022-01-05 01:00:00,1015.5,1.3,6.1,160.0,7.2,16.6,0.754064,93.0
2022-01-05 02:00:00,1014.9,0.5,5.7,140.0,7.2,13.0,0.762527,90.0
2022-01-05 03:00:00,1014.5,0.3,5.6,140.0,6.7,7.6,0.712902,93.0
2022-01-05 04:00:00,1014.3,0.5,5.6,150.0,6.7,11.2,0.670412,93.0
2022-01-05 05:00:00,1014.2,0.1,5.7,0.0,7.2,0.0,0.616307,90.0
2022-01-05 06:00:00,1015.3,0.0,6.1,240.0,7.2,11.2,0.54266,93.0
2022-01-05 07:00:00,1016.2,0.3,6.1,240.0,7.2,9.4,0.490843,93.0
2022-01-05 08:00:00,1017.3,0.0,5.6,0.0,6.7,0.0,0.469428,93.0
2022-01-05 09:00:00,1018.9,0.0,5.7,0.0,6.1,0.0,0.45598,97.0
2022-01-05 10:00:00,1019.9,0.0,5.1,0.0,6.1,0.0,0.452163,93.0
2022-01-05 11:00:00,1020.3,0.0,5.0,230.0,6.7,9.4,0.45324,89.0
2022-01-05 12:00:00,1021.5,0.0,5.1,250.0,6.1,9.4,0.489952,93.0
2022-01-05 13:00:00,1021.6,0.0,5.1,230.0,6.1,9.4,0.550964,93.0
2022-01-05 14:00:00,1021.9,0.2,5.1,290.0,6.1,5.4,0.604243,93.0
2022-01-05 15:00:00,1022.4,0.3,4.4,0.0,5.6,0.0,0.662719,92.0
2022-01-05 16:00:00,1022.5,0.5,3.9,0.0,5.6,0.0,0.667402,89.0
2022-01-05 17:00:00,1022.7,0.3,4.4,0.0,5.0,0.0,0.676474,96.0
2022-01-05 18:00:00,1022.8,0.8,5.1,0.0,6.1,0.0,0.678805,93.0
2022-01-05 19:00:00,1022.6,1.0,5.1,130.0,6.1,11.2,0.67252,93.0
2022-01-05 20:00:00,1022.1,1.3,5.0,110.0,6.7,5.4,0.683091,89.0
2022-01-05 21:00:00,1021.7,1.3,5.0,0.0,6.7,0.0,0.672398,89.0
2022-01-05 22:00:00,1020.2,1.8,5.1,90.0,6.1,7.6,0.670018,93.0
2022-01-05 23:00:00,1019.6,2.3,4.4,70.0,6.1,5.4,0.683193,89.0
2022-01-06 00:00:00,1018.8,1.0,4.4,50.0,5.6,7.6,0.713132,92.0
2022-01-06 01:00:00,1017.8,0.8,4.0,0.0,5.0,0.0,0.746645,93.0
2022-01-06 02:00:00,1017.0,1.5,3.6,340.0,4.0,7.0,0.744316,97.0
2022-01-06 03:00:00,1016.6,1.0,4.0,340.0,4.4,7.6,0.710316,97.0
2022-01-06 04:00:00,1016.6,1.5,4.0,310.0,4.4,5.4,0.681036,97.0
2022-01-06 05:00:00,1016.4,1.0,4.0,0.0,5.0,0.0,0.614449,93.0
2022-01-06 06:00:00,1015.5,0.3,4.0,0.0,5.0,0.0,0.549654,93.0
2022-01-06 07:00:00,1014.4,0.1,4.4,0.0,5.0,0.0,0.490123,96.0
2022-01-06 08:00:00,1013.0,0.2,4.4,0.0,5.6,0.0,0.448333,92.0
2022-01-06 09:00:00,1012.5,0.5,5.0,0.0,5.6,0.0,0.440274,96.0
2022-01-06 10:00:00,1011.2,0.8,9.9,190.0,12.2,20.5,0.420177,86.0
2022-01-06 11:00:00,1011.3,0.5,9.9,190.0,12.2,27.7,0.418579,86.0
