DT,prcp,dwpt,pres,rhum,temp,Amity,wdir,wspd
2022-01-01 08:00:00,0.0,-5.0,1023.0,85.0,-2.8,0.678119,340.0,5.4
2022-01-01 09:00:00,0.0,-5.0,1023.6,88.0,-3.3,0.661744,0.0,0.0
2022-01-01 10:00:00,0.0,-5.0,1024.3,88.0,-3.3,0.667333,0.0,0.0
2022-01-01 11:00:00,0.0,-5.6,1024.9,84.0,-3.3,0.6831,0.0,0.0
2022-01-01 12:00:00,0.0,-6.1,1024.9,85.0,-3.9,0.717013,0.0,0.0
2022-01-01 13:00:00,0.0,-6.1,1025.4,85.0,-3.9,0.747671,0.0,0.0
2022-01-01 14:00:00,0.0,-6.1,1025.7,85.0,-3.9,0.787813,0.0,0.0
2022-01-01 15:00:00,0.0,-6.7,1026.1,84.0,-4.4,0.829981,340.0,7.6
2022-01-01 16:00:00,0.0,-5.6,1026.2,81.0,-2.8,0.840125,0.0,0.0
2022-01-01 17:00:00,0.0,-5.6,1026.6,81.0,-2.8,0.852644,10.0,5.4
2022-01-01 18:00:00,0.0,-5.5,1026.9,78.0,-2.2,0.792315,0.0,0.0
2022-01-01 19:00:00,0.0,-5.5,1027.4,75.0,-1.7,0.753076,0.0,0.0
2022-01-01 20:00:00,0.0,-5.6,1026.5,69.0,-0.6,0.717898,0.0,0.0
2022-01-01 21:00:00,0.0,-3.9,1026.0,75.0,0.0,0.610154,140.0,5.4
2022-01-01 22:00:00,0.0,-3.3,1025.3,75.0,0.6,0.648675,0.0,0.0
2022-01-01 23:00:00,0.0,-2.8,1024.8,72.0,1.7,0.734438,0.0,0.0
2022-01-02 00:00:00,0.0,-2.8,1024.4,75.0,1.1,0.783644,0.0,0.0
2022-01-02 01:00:00,0.0,-3.3,1024.0,82.0,-0.6,0.822352,360.0,9.4
2022-01-02 02:00:00,0.0,-3.3,1023.6,85.0,-1.1,0.81824,0.0,0.0
2022-01-02 03:00:00,0.0,-2.8,1023.0,88.0,-1.1,0.819923,0.0,0.0
2022-01-02 04:00:00,0.0,-3.3,1022.9,85.0,-1.1,0.78834,340.0,9.4
2022-01-02 05:00:00,0.0,-2.8,1022.6,85.0,-0.6,0.741449,0.0,0.0
2022-01-02 06:00:00,0.0,-2.8,1022.0,88.0,-1.1,0.706105,0.0,0.0
2022-01-02 07:00:00,0.0,-2.8,1021.4,88.0,-1.1,0.672697,0.0,0.0
2022-01-02 08:00:00,0.0,-2.8,1021.0,88.0,-1.1,0.645525,0.0,0.0
