DT,dwpt,rhum,wdir,Amity,pres,temp,wspd,prcp
2022-01-01 08:00:00,-5.0,85.0,340.0,0.678119,1023.0,-2.8,5.4,0.0
2022-01-01 09:00:00,-5.0,88.0,0.0,0.661744,1023.6,-3.3,0.0,0.0
2022-01-01 10:00:00,-5.0,88.0,0.0,0.667333,1024.3,-3.3,0.0,0.0
2022-01-01 11:00:00,-5.6,84.0,0.0,0.6831,1024.9,-3.3,0.0,0.0
2022-01-01 12:00:00,-6.1,85.0,0.0,0.717013,1024.9,-3.9,0.0,0.0
2022-01-01 13:00:00,-6.1,85.0,0.0,0.747671,1025.4,-3.9,0.0,0.0
2022-01-01 14:00:00,-6.1,85.0,0.0,0.787813,1025.7,-3.9,0.0,0.0
2022-01-01 15:00:00,-6.7,84.0,340.0,0.829981,1026.1,-4.4,7.6,0.0
2022-01-01 16:00:00,-5.6,81.0,0.0,0.840125,1026.2,-2.8,0.0,0.0
2022-01-01 17:00:00,-5.6,81.0,10.0,0.852644,1026.6,-2.8,5.4,0.0
2022-01-01 18:00:00,-5.5,78.0,0.0,0.792315,1026.9,-2.2,0.0,0.0
2022-01-01 19:00:00,-5.5,75.0,0.0,0.753076,1027.4,-1.7,0.0,0.0
2022-01-01 20:00:00,-5.6,69.0,0.0,0.717898,1026.5,-0.6,0.0,0.0
2022-01-01 21:00:00,-3.9,75.0,140.0,0.610154,1026.0,0.0,5.4,0.0
2022-01-01 22:00:00,-3.3,75.0,0.0,0.648675,1025.3,0.6,0.0,0.0
2022-01-01 23:00:00,-2.8,72.0,0.0,0.734438,1024.8,1.7,0.0,0.0
2022-01-02 00:00:00,-2.8,75.0,0.0,0.783644,1024.4,1.1,0.0,0.0
2022-01-02 01:00:00,-3.3,82.0,360.0,0.822352,1024.0,-0.6,9.4,0.0
2022-01-02 02:00:00,-3.3,85.0,0.0,0.81824,1023.6,-1.1,0.0,0.0
2022-01-02 03:00:00,-2.8,88.0,0.0,0.819923,1023.0,-1.1,0.0,0.0
