DT,pres,dwpt,prcp,rhum,wdir,temp,wspd
2022-01-01 00:00:00,1018.0,-2.9,0.0,75.0,50.0,1.0,11.0
2022-01-01 01:00:00,1018.4,-2.8,0.0,75.0,50.0,1.1,11.2
2022-01-01 02:00:00,1019.3,-3.9,0.0,72.0,50.0,0.6,9.4
2022-01-01 03:00:00,1020.1,-5.0,0.0,72.0,50.0,-0.6,9.4
2022-01-01 04:00:00,1021.0,-5.0,0.0,72.0,0.0,-0.6,0.0
2022-01-01 05:00:00,1021.5,-5.0,0.0,78.0,0.0,-1.7,0.0
2022-01-01 06:00:00,1022.2,-5.0,0.0,85.0,0.0,-2.8,0.0
2022-01-01 07:00:00,1022.7,-5.0,0.0,85.0,0.0,-2.8,0.0
2022-01-01 08:00:00,1023.0,-5.0,0.0,85.0,340.0,-2.8,5.4
2022-01-01 09:00:00,1023.6,-5.0,0.0,88.0,0.0,-3.3,0.0
2022-01-01 10:00:00,1024.3,-5.0,0.0,88.0,0.0,-3.3,0.0
2022-01-01 11:00:00,1024.9,-5.6,0.0,84.0,0.0,-3.3,0.0
2022-01-01 12:00:00,1024.9,-6.1,0.0,85.0,0.0,-3.9,0.0
2022-01-01 13:00:00,1025.4,-6.1,0.0,85.0,0.0,-3.9,0.0
2022-01-01 14:00:00,1025.7,-6.1,0.0,85.0,0.0,-3.9,0.0
2022-01-01 15:00:00,1026.1,-6.7,0.0,84.0,340.0,-4.4,7.6
2022-01-01 16:00:00,1026.2,-5.6,0.0,81.0,0.0,-2.8,0.0
2022-01-01 17:00:00,1026.6,-5.6,0.0,81.0,10.0,-2.8,5.4
2022-01-01 18:00:00,1026.9,-5.5,0.0,78.0,0.0,-2.2,0.0
2022-01-01 19:00:00,1027.4,-5.5,0.0,75.0,0.0,-1.7,0.0
2022-01-01 20:00:00,1026.5,-5.6,0.0,69.0,0.0,-0.6,0.0
2022-01-01 21:00:00,1026.0,-3.9,0.0,75.0,140.0,0.0,5.4
2022-01-01 22:00:00,1025.3,-3.3,0.0,75.0,0.0,0.6,0.0
2022-01-01 23:00:00,1024.8,-2.8,0.0,72.0,0.0,1.7,0.0
2022-01-02 00:00:00,1024.4,-2.8,0.0,75.0,0.0,1.1,0.0
2022-01-02 01:00:00,1024.0,-3.3,0.0,82.0,360.0,-0.6,9.4
2022-01-02 02:00:00,1023.6,-3.3,0.0,85.0,0.0,-1.1,0.0
2022-01-02 03:00:00,1023.0,-2.8,0.0,88.0,0.0,-1.1,0.0
2022-01-02 04:00:00,1022.9,-3.3,0.0,85.0,340.0,-1.1,9.4
2022-01-02 05:00:00,1022.6,-2.8,0.0,85.0,0.0,-0.6,0.0
2022-01-02 06:00:00,1022.0,-2.8,0.0,88.0,0.0,-1.1,0.0
2022-01-02 07:00:00,1021.4,-2.8,0.0,88.0,0.0,-1.1,0.0
2022-01-02 08:00:00,1021.0,-2.8,0.0,88.0,0.0,-1.1,0.0
2022-01-02 09:00:00,1020.3,-3.3,0.0,89.0,0.0,-1.7,0.0
2022-01-02 10:00:00,1020.0,-3.3,0.0,89.0,0.0,-1.7,0.0
2022-01-02 11:00:00,1019.3,-2.2,0.0,92.0,0.0,-1.1,0.0
2022-01-02 12:00:00,1018.7,-2.2,0.0,89.0,0.0,-0.6,0.0
2022-01-02 13:00:00,1017.7,-2.2,0.0,89.0,0.0,-0.6,0.0
2022-01-02 14:00:00,1017.3,-1.8,0.0,88.0,0.0,0.0,0.0
2022-01-02 15:00:00,1016.8,-1.8,0.0,88.0,20.0,0.0,5.4
2022-01-02 16:00:00,1016.1,-1.8,0.0,88.0,0.0,0.0,0.0
2022-01-02 17:00:00,1015.1,-1.2,0.0,88.0,340.0,0.6,5.4
2022-01-02 18:00:00,1014.3,-0.7,0.0,88.0,340.0,1.1,5.4
2022-01-02 19:00:00,1013.3,0.0,0.0,79.0,120.0,3.3,5.4
2022-01-02 20:00:00,1011.9,-1.2,0.0,53.0,190.0,7.8,24.1
2022-01-02 21:00:00,1010.7,-1.0,0.0,50.0,190.0,8.9,33.5
2022-01-02 22:00:00,1009.7,0.1,0.3,54.0,190.0,8.9,33.5
2022-01-02 23:00:00,1008.4,0.1,1.9,54.0,190.0,8.9,27.7
2022-01-03 00:00:00,1007.5,1.7,0.3,63.0,190.0,8.3,40.7
2022-01-03 01:00:00,1005.9,1.1,0.3,56.0,180.0,9.4,37.1
2022-01-03 02:00:00,1004.6,0.6,0.3,54.0,190.0,9.4,37.1
2022-01-03 03:00:00,1003.5,2.7,0.8,68.0,190.0,8.3,33.5
2022-01-03 04:00:00,1002.7,2.9,2.3,66.0,190.0,8.9,40.7
2022-01-03 05:00:00,1001.6,3.9,0.3,74.0,200.0,8.3,31.7
2022-01-03 06:00:00,1000.4,3.9,0.3,71.0,190.0,8.9,35.3
2022-01-03 07:00:00,999.9,5.1,0.8,77.0,200.0,8.9,44.6
2022-01-03 08:00:00,1000.0,5.0,1.0,86.0,260.0,7.2,18.4
2022-01-03 09:00:00,998.0,4.4,0.5,85.0,230.0,6.7,24.1
2022-01-03 10:00:00,998.1,5.6,6.1,86.0,160.0,7.8,24.1
2022-01-03 11:00:00,999.0,5.7,7.4,90.0,240.0,7.2,11.2
2022-01-03 12:00:00,999.0,3.3,4.8,82.0,250.0,6.1,25.9
2022-01-03 13:00:00,999.4,3.3,2.5,89.0,200.0,5.0,13.0
2022-01-03 14:00:00,999.5,2.9,1.8,86.0,180.0,5.0,14.8
2022-01-03 15:00:00,1000.0,2.7,2.8,89.0,150.0,4.4,13.0
2022-01-03 16:00:00,1000.4,3.3,1.0,89.0,160.0,5.0,24.1
2022-01-03 17:00:00,1001.2,2.9,2.8,86.0,180.0,5.0,18.4
2022-01-03 18:00:00,1002.0,2.3,0.7,86.0,170.0,4.4,22.3
2022-01-03 19:00:00,1002.6,2.3,1.3,86.0,170.0,4.4,13.0
2022-01-03 20:00:00,1002.1,2.9,0.6,86.0,160.0,5.0,16.6
2022-01-03 21:00:00,1002.6,2.9,1.3,86.0,230.0,5.0,18.4
2022-01-03 22:00:00,1002.4,1.7,0.4,79.0,220.0,5.0,20.5
2022-01-03 23:00:00,1003.1,2.8,0.0,82.0,170.0,5.6,7.6
2022-01-04 00:00:00,1003.7,2.2,1.2,82.0,200.0,5.0,24.1
