DT,dwpt,prcp,temp,rhum,wspd,pres,wdir
2022-01-01 00:00:00,-2.9,0.0,1.0,75.0,11.0,1018.0,50.0
2022-01-01 01:00:00,-2.8,0.0,1.1,75.0,11.2,1018.4,50.0
2022-01-01 02:00:00,-3.9,0.0,0.6,72.0,9.4,1019.3,50.0
2022-01-01 03:00:00,-5.0,0.0,-0.6,72.0,9.4,1020.1,50.0
2022-01-01 04:00:00,-5.0,0.0,-0.6,72.0,0.0,1021.0,0.0
2022-01-01 05:00:00,-5.0,0.0,-1.7,78.0,0.0,1021.5,0.0
2022-01-01 06:00:00,-5.0,0.0,-2.8,85.0,0.0,1022.2,0.0
2022-01-01 07:00:00,-5.0,0.0,-2.8,85.0,0.0,1022.7,0.0
2022-01-01 08:00:00,-5.0,0.0,-2.8,85.0,5.4,1023.0,340.0
2022-01-01 09:00:00,-5.0,0.0,-3.3,88.0,0.0,1023.6,0.0
2022-01-01 10:00:00,-5.0,0.0,-3.3,88.0,0.0,1024.3,0.0
2022-01-01 11:00:00,-5.6,0.0,-3.3,84.0,0.0,1024.9,0.0
2022-01-01 12:00:00,-6.1,0.0,-3.9,85.0,0.0,1024.9,0.0
2022-01-01 13:00:00,-6.1,0.0,-3.9,85.0,0.0,1025.4,0.0
2022-01-01 14:00:00,-6.1,0.0,-3.9,85.0,0.0,1025.7,0.0
2022-01-01 15:00:00,-6.7,0.0,-4.4,84.0,7.6,1026.1,340.0
2022-01-01 16:00:00,-5.6,0.0,-2.8,81.0,0.0,1026.2,0.0
2022-01-01 17:00:00,-5.6,0.0,-2.8,81.0,5.4,1026.6,10.0
2022-01-01 18:00:00,-5.5,0.0,-2.2,78.0,0.0,1026.9,0.0
2022-01-01 19:00:00,-5.5,0.0,-1.7,75.0,0.0,1027.4,0.0
2022-01-01 20:00:00,-5.6,0.0,-0.6,69.0,0.0,1026.5,0.0
2022-01-01 21:00:00,-3.9,0.0,0.0,75.0,5.4,1026.0,140.0
2022-01-01 22:00:00,-3.3,0.0,0.6,75.0,0.0,1025.3,0.0
2022-01-01 23:00:00,-2.8,0.0,1.7,72.0,0.0,1024.8,0.0
2022-01-02 00:00:00,-2.8,0.0,1.1,75.0,0.0,1024.4,0.0
2022-01-02 01:00:00,-3.3,0.0,-0.6,82.0,9.4,1024.0,360.0
2022-01-02 02:00:00,-3.3,0.0,-1.1,85.0,0.0,1023.6,0.0
2022-01-02 03:00:00,-2.8,0.0,-1.1,88.0,0.0,1023.0,0.0
2022-01-02 04:00:00,-3.3,0.0,-1.1,85.0,9.4,1022.9,340.0
2022-01-02 05:00:00,-2.8,0.0,-0.6,85.0,0.0,1022.6,0.0
2022-01-02 06:00:00,-2.8,0.0,-1.1,88.0,0.0,1022.0,0.0
2022-01-02 07:00:00,-2.8,0.0,-1.1,88.0,0.0,1021.4,0.0
2022-01-02 08:00:00,-2.8,0.0,-1.1,88.0,0.0,1021.0,0.0
2022-01-02 09:00:00,-3.3,0.0,-1.7,89.0,0.0,1020.3,0.0
2022-01-02 10:00:00,-3.3,0.0,-1.7,89.0,0.0,1020.0,0.0
2022-01-02 11:00:00,-2.2,0.0,-1.1,92.0,0.0,1019.3,0.0
2022-01-02 12:00:00,-2.2,0.0,-0.6,89.0,0.0,1018.7,0.0
2022-01-02 13:00:00,-2.2,0.0,-0.6,89.0,0.0,1017.7,0.0
2022-01-02 14:00:00,-1.8,0.0,0.0,88.0,0.0,1017.3,0.0
2022-01-02 15:00:00,-1.8,0.0,0.0,88.0,5.4,1016.8,20.0
2022-01-02 16:00:00,-1.8,0.0,0.0,88.0,0.0,1016.1,0.0
2022-01-02 17:00:00,-1.2,0.0,0.6,88.0,5.4,1015.1,340.0
2022-01-02 18:00:00,-0.7,0.0,1.1,88.0,5.4,1014.3,340.0
2022-01-02 19:00:00,0.0,0.0,3.3,79.0,5.4,1013.3,120.0
2022-01-02 20:00:00,-1.2,0.0,7.8,53.0,24.1,1011.9,190.0
2022-01-02 21:00:00,-1.0,0.0,8.9,50.0,33.5,1010.7,190.0
2022-01-02 22:00:00,0.1,0.3,8.9,54.0,33.5,1009.7,190.0
2022-01-02 23:00:00,0.1,1.9,8.9,54.0,27.7,1008.4,190.0
2022-01-03 00:00:00,1.7,0.3,8.3,63.0,40.7,1007.5,190.0
2022-01-03 01:00:00,1.1,0.3,9.4,56.0,37.1,1005.9,180.0
2022-01-03 02:00:00,0.6,0.3,9.4,54.0,37.1,1004.6,190.0
2022-01-03 03:00:00,2.7,0.8,8.3,68.0,33.5,1003.5,190.0
2022-01-03 04:00:00,2.9,2.3,8.9,66.0,40.7,1002.7,190.0
2022-01-03 05:00:00,3.9,0.3,8.3,74.0,31.7,1001.6,200.0
2022-01-03 06:00:00,3.9,0.3,8.9,71.0,35.3,1000.4,190.0
2022-01-03 07:00:00,5.1,0.8,8.9,77.0,44.6,999.9,200.0
2022-01-03 08:00:00,5.0,1.0,7.2,86.0,18.4,1000.0,260.0
2022-01-03 09:00:00,4.4,0.5,6.7,85.0,24.1,998.0,230.0
2022-01-03 10:00:00,5.6,6.1,7.8,86.0,24.1,998.1,160.0
2022-01-03 11:00:00,5.7,7.4,7.2,90.0,11.2,999.0,240.0
