DT,dwpt,pres,prcp,temp,wspd,wdir,rhum
2022-01-01 00:00:00,-2.2,1017.3,0.0,4.4,16.6,50.0,62.0
2022-01-01 01:00:00,-1.8,1018.0,0.0,2.2,11.2,40.0,75.0
2022-01-01 02:00:00,-3.2,1018.9,0.0,1.1,7.6,20.0,73.0
2022-01-01 03:00:00,-4.3,1019.8,0.0,-0.6,9.4,360.0,76.0
2022-01-01 04:00:00,-5.0,1020.8,0.0,-1.7,13.0,350.0,78.0
2022-01-01 05:00:00,-5.0,1021.4,0.0,-2.2,9.4,330.0,81.0
2022-01-01 06:00:00,-5.5,1022.1,0.0,-2.2,11.2,340.0,78.0
2022-01-01 07:00:00,-6.1,1022.7,0.0,-2.8,9.4,20.0,78.0
2022-01-01 08:00:00,-6.6,1022.8,0.0,-2.8,7.6,10.0,75.0
2022-01-01 09:00:00,-6.8,1023.4,0.0,-3.3,5.4,360.0,77.0
2022-01-01 10:00:00,-7.2,1024.2,0.0,-3.9,5.4,350.0,78.0
2022-01-01 11:00:00,-7.3,1024.7,0.0,-3.3,5.4,350.0,74.0
2022-01-01 12:00:00,-7.8,1024.8,0.0,-4.4,0.0,0.0,77.0
2022-01-01 13:00:00,-5.0,1025.1,0.0,-3.3,0.0,0.0,88.0
2022-01-01 14:00:00,-6.0,1025.6,0.0,-2.2,0.0,0.0,75.0
2022-01-01 15:00:00,-6.0,1025.9,0.0,-2.2,0.0,0.0,75.0
2022-01-01 16:00:00,-6.1,1026.0,0.0,-1.7,0.0,0.0,72.0
2022-01-01 17:00:00,-5.5,1026.1,0.0,-1.7,0.0,0.0,75.0
2022-01-01 18:00:00,-5.0,1026.6,0.0,-1.7,5.4,320.0,78.0
2022-01-01 19:00:00,-4.4,1026.9,0.0,0.0,5.4,10.0,72.0
2022-01-01 20:00:00,-4.0,1026.4,0.0,1.1,0.0,0.0,69.0
2022-01-01 21:00:00,-2.1,1025.4,0.0,2.2,0.0,0.0,73.0
