DT,dwpt,prcp,pres,rhum,wdir,temp,Donalsonville,wspd
2022-01-01 05:00:00,22.8,0.0,1017.0,99.0,190.0,22.7,0.172414,13.0
2022-01-01 06:00:00,22.5,0.0,1016.0,99.0,200.0,22.7,0.172414,13.0
2022-01-01 07:00:00,22.3,0.0,1016.0,100.0,190.0,22.3,0.155172,11.2
2022-01-01 08:00:00,22.2,0.0,1016.0,98.0,190.0,22.5,0.155172,13.0
2022-01-01 09:00:00,21.9,0.0,1016.0,98.0,190.0,22.2,0.137931,14.8
2022-01-01 10:00:00,21.9,0.0,1016.0,100.0,190.0,21.9,0.137931,11.2
2022-01-01 11:00:00,20.2,0.0,1016.0,91.0,190.0,21.6,0.137931,11.2
2022-01-01 12:00:00,19.8,0.0,1016.0,94.0,180.0,21.3,0.137931,11.2
2022-01-01 13:00:00,20.8,0.0,1017.0,99.0,180.0,20.6,0.137931,11.2
2022-01-01 14:00:00,21.1,0.0,1017.0,99.0,190.0,21.3,0.103448,13.0
2022-01-01 15:00:00,20.9,0.0,1017.0,92.0,190.0,22.3,0.051724,20.5
2022-01-01 16:00:00,20.1,0.0,1016.0,73.0,170.0,25.3,-0.137931,22.3
2022-01-01 17:00:00,19.3,0.0,1015.0,64.0,200.0,26.7,-0.224138,35.3
2022-01-01 18:00:00,18.5,0.0,1014.0,56.0,210.0,28.1,-0.224138,27.7
2022-01-01 19:00:00,18.3,0.0,1013.0,54.0,200.0,28.5,-0.155172,25.9
2022-01-01 20:00:00,18.1,0.0,1014.0,57.0,200.0,27.4,-0.051724,27.7
2022-01-01 21:00:00,17.9,0.0,1014.0,57.0,220.0,27.2,-0.034483,22.3
2022-01-01 22:00:00,18.0,0.0,1014.0,59.0,210.0,26.7,0.12069,14.8
2022-01-01 23:00:00,18.2,0.0,1013.0,67.0,210.0,24.7,0.189655,22.3
2022-01-02 00:00:00,18.6,0.0,1014.0,73.0,200.0,23.7,0.206897,14.8
2022-01-02 01:00:00,20.0,0.0,1014.0,88.0,180.0,22.1,0.189655,16.6
2022-01-02 02:00:00,21.1,0.0,1014.0,96.0,190.0,21.8,0.189655,16.6
2022-01-02 03:00:00,21.5,0.0,1014.0,96.0,190.0,22.2,0.172414,22.3
2022-01-02 04:00:00,21.8,0.0,1014.0,98.0,200.0,22.1,0.172414,18.4
2022-01-02 05:00:00,21.7,0.0,1013.0,99.0,190.0,21.9,0.155172,16.6
2022-01-02 06:00:00,21.7,0.0,1013.0,99.0,200.0,21.9,0.155172,16.6
2022-01-02 07:00:00,21.8,0.0,1013.0,100.0,190.0,21.8,0.155172,16.6
2022-01-02 08:00:00,21.8,0.0,1012.0,99.0,180.0,22.0,0.155172,16.6
2022-01-02 09:00:00,21.8,0.0,1012.0,100.0,190.0,21.8,0.137931,13.0
2022-01-02 10:00:00,21.9,0.0,1012.0,99.0,190.0,22.1,0.137931,13.0
2022-01-02 11:00:00,21.6,0.0,1012.0,97.0,200.0,22.1,0.137931,16.6
2022-01-02 12:00:00,21.6,0.0,1012.0,98.0,180.0,21.9,0.137931,11.2
2022-01-02 13:00:00,21.6,0.0,1013.0,100.0,190.0,21.6,0.155172,11.2
