DT,pres,dwpt,prcp,rhum,temp,wspd,wdir,Donalsonville
2022-01-01 05:00:00,1017.0,22.8,0.0,99.0,22.7,13.0,190.0,0.172414
2022-01-01 06:00:00,1016.0,22.5,0.0,99.0,22.7,13.0,200.0,0.172414
2022-01-01 07:00:00,1016.0,22.3,0.0,100.0,22.3,11.2,190.0,0.155172
2022-01-01 08:00:00,1016.0,22.2,0.0,98.0,22.5,13.0,190.0,0.155172
2022-01-01 09:00:00,1016.0,21.9,0.0,98.0,22.2,14.8,190.0,0.137931
2022-01-01 10:00:00,1016.0,21.9,0.0,100.0,21.9,11.2,190.0,0.137931
2022-01-01 11:00:00,1016.0,20.2,0.0,91.0,21.6,11.2,190.0,0.137931
2022-01-01 12:00:00,1016.0,19.8,0.0,94.0,21.3,11.2,180.0,0.137931
2022-01-01 13:00:00,1016.0,21.0,0.0,100.0,20.6,11.2,180.0,0.137931
2022-01-01 14:00:00,1017.0,21.1,0.0,99.0,21.3,13.0,190.0,0.103448
2022-01-01 15:00:00,1017.0,20.9,0.0,92.0,22.3,20.5,190.0,0.051724
2022-01-01 16:00:00,1016.0,20.1,0.0,73.0,25.3,22.3,170.0,-0.137931
2022-01-01 17:00:00,1015.0,19.3,0.0,64.0,26.7,35.3,200.0,-0.224138
2022-01-01 18:00:00,1014.0,18.5,0.0,56.0,28.1,27.7,210.0,-0.224138
2022-01-01 19:00:00,1013.0,18.3,0.0,54.0,28.5,25.9,200.0,-0.155172
2022-01-01 20:00:00,1013.0,18.1,0.0,57.0,27.4,27.7,200.0,-0.051724
2022-01-01 21:00:00,1014.0,17.9,0.0,57.0,27.2,22.3,220.0,-0.034483
2022-01-01 22:00:00,1014.0,18.0,0.0,59.0,26.7,14.8,210.0,0.12069
2022-01-01 23:00:00,1014.0,18.2,0.0,67.0,24.7,22.3,210.0,0.189655
2022-01-02 00:00:00,1014.0,18.6,0.0,73.0,23.7,14.8,200.0,0.206897
2022-01-02 01:00:00,1014.0,20.0,0.0,88.0,22.1,16.6,180.0,0.189655
2022-01-02 02:00:00,1014.0,21.1,0.0,96.0,21.8,16.6,190.0,0.189655
2022-01-02 03:00:00,1014.0,21.5,0.0,96.0,22.2,22.3,190.0,0.172414
2022-01-02 04:00:00,1014.0,21.8,0.0,98.0,22.1,18.4,200.0,0.172414
2022-01-02 05:00:00,1013.0,21.7,0.0,99.0,21.9,16.6,190.0,0.155172
2022-01-02 06:00:00,1013.0,21.7,0.0,99.0,21.9,16.6,200.0,0.155172
2022-01-02 07:00:00,1013.0,21.8,0.0,100.0,21.8,16.6,190.0,0.155172
2022-01-02 08:00:00,1012.0,21.8,0.0,99.0,22.0,16.6,180.0,0.155172
2022-01-02 09:00:00,1012.0,21.8,0.0,100.0,21.8,13.0,190.0,0.137931
2022-01-02 10:00:00,1012.0,21.9,0.0,99.0,22.1,13.0,190.0,0.137931
2022-01-02 11:00:00,1012.0,21.6,0.0,97.0,22.1,16.6,200.0,0.137931
2022-01-02 12:00:00,1012.0,21.6,0.0,98.0,21.9,11.2,180.0,0.137931
2022-01-02 13:00:00,1013.0,21.6,0.0,100.0,21.6,11.2,190.0,0.155172
2022-01-02 14:00:00,1013.0,22.3,0.2,94.0,23.3,11.2,210.0,0.12069
2022-01-02 15:00:00,1014.0,22.2,0.3,86.0,24.7,20.5,210.0,0.051724
2022-01-02 16:00:00,1014.0,22.2,0.2,85.0,24.9,16.6,220.0,0.068966
2022-01-02 17:00:00,1012.0,22.0,0.3,74.0,27.0,24.1,220.0,-0.051724
2022-01-02 18:00:00,1010.0,21.6,1.6,73.0,26.8,24.1,230.0,-0.034483
2022-01-02 19:00:00,1010.0,21.4,1.2,66.0,28.4,29.5,220.0,-0.017241
2022-01-02 20:00:00,1010.0,22.0,4.6,71.0,27.7,37.1,220.0,0.068966
2022-01-02 21:00:00,1009.0,22.4,0.4,81.0,25.9,29.5,210.0,0.12069
2022-01-02 22:00:00,1010.0,20.2,2.3,87.0,22.5,24.1,270.0,0.189655
2022-01-02 23:00:00,1010.0,20.0,9.7,100.0,20.4,27.7,260.0,0.172414
2022-01-03 00:00:00,1010.0,19.7,34.5,96.0,19.7,25.9,230.0,0.189655
2022-01-03 01:00:00,1009.0,19.3,18.8,96.0,20.0,14.8,230.0,0.189655
2022-01-03 02:00:00,1008.0,19.4,1.0,97.0,20.1,18.4,210.0,0.172414
2022-01-03 03:00:00,1010.0,18.7,1.3,98.0,20.5,20.5,200.0,0.172414
2022-01-03 04:00:00,1012.0,18.5,2.0,98.0,18.8,51.8,280.0,0.172414
2022-01-03 05:00:00,1015.0,11.7,0.1,93.0,12.8,50.0,290.0,0.155172
2022-01-03 06:00:00,1015.0,9.2,0.0,88.0,11.1,38.9,290.0,0.137931
2022-01-03 07:00:00,1017.0,6.8,0.0,87.0,8.8,29.5,290.0,0.12069
2022-01-03 08:00:00,1017.0,4.9,0.0,86.0,7.1,27.7,290.0,0.12069
2022-01-03 09:00:00,1019.0,3.3,0.0,83.0,6.0,40.7,290.0,0.12069
2022-01-03 10:00:00,1020.0,1.8,0.0,82.0,4.6,40.7,300.0,0.137931
2022-01-03 11:00:00,1021.0,1.0,0.0,83.0,3.6,31.7,290.0,0.172414
2022-01-03 12:00:00,1022.0,0.7,0.0,83.0,3.3,31.7,310.0,0.189655
