DT,prcp,pres,dwpt,rhum,wdir,temp,wspd,Donalsonville
2022-01-01 05:00:00,0.0,1017.0,22.8,99.0,190.0,22.7,13.0,0.172414
2022-01-01 06:00:00,0.0,1016.0,22.5,99.0,200.0,22.7,13.0,0.172414
2022-01-01 07:00:00,0.0,1016.0,22.3,100.0,190.0,22.3,11.2,0.155172
2022-01-01 08:00:00,0.0,1016.0,22.2,98.0,190.0,22.5,13.0,0.155172
2022-01-01 09:00:00,0.0,1016.0,21.9,98.0,190.0,22.2,14.8,0.137931
2022-01-01 10:00:00,0.0,1016.0,21.9,100.0,190.0,21.9,11.2,0.137931
2022-01-01 11:00:00,0.0,1016.0,20.2,91.0,190.0,21.6,11.2,0.137931
2022-01-01 12:00:00,0.0,1016.0,19.8,94.0,180.0,21.3,11.2,0.137931
2022-01-01 13:00:00,0.0,1016.0,21.0,100.0,180.0,20.6,11.2,0.137931
2022-01-01 14:00:00,0.0,1017.0,21.1,99.0,190.0,21.3,13.0,0.103448
2022-01-01 15:00:00,0.0,1017.0,20.9,92.0,190.0,22.3,20.5,0.051724
2022-01-01 16:00:00,0.0,1016.0,20.1,73.0,170.0,25.3,22.3,-0.137931
2022-01-01 17:00:00,0.0,1015.0,19.3,64.0,200.0,26.7,35.3,-0.224138
2022-01-01 18:00:00,0.0,1014.0,18.5,56.0,210.0,28.1,27.7,-0.224138
2022-01-01 19:00:00,0.0,1013.0,18.3,54.0,200.0,28.5,25.9,-0.155172
2022-01-01 20:00:00,0.0,1013.0,18.1,57.0,200.0,27.4,27.7,-0.051724
2022-01-01 21:00:00,0.0,1014.0,17.9,57.0,220.0,27.2,22.3,-0.034483
2022-01-01 22:00:00,0.0,1014.0,18.0,59.0,210.0,26.7,14.8,0.12069
2022-01-01 23:00:00,0.0,1014.0,18.2,67.0,210.0,24.7,22.3,0.189655
2022-01-02 00:00:00,0.0,1014.0,18.6,73.0,200.0,23.7,14.8,0.206897
2022-01-02 01:00:00,0.0,1014.0,20.0,88.0,180.0,22.1,16.6,0.189655
2022-01-02 02:00:00,0.0,1014.0,21.1,96.0,190.0,21.8,16.6,0.189655
2022-01-02 03:00:00,0.0,1014.0,21.5,96.0,190.0,22.2,22.3,0.172414
2022-01-02 04:00:00,0.0,1014.0,21.8,98.0,200.0,22.1,18.4,0.172414
2022-01-02 05:00:00,0.0,1013.0,21.7,99.0,190.0,21.9,16.6,0.155172
2022-01-02 06:00:00,0.0,1013.0,21.7,99.0,200.0,21.9,16.6,0.155172
2022-01-02 07:00:00,0.0,1013.0,21.8,100.0,190.0,21.8,16.6,0.155172
2022-01-02 08:00:00,0.0,1012.0,21.8,99.0,180.0,22.0,16.6,0.155172
2022-01-02 09:00:00,0.0,1012.0,21.8,100.0,190.0,21.8,13.0,0.137931
2022-01-02 10:00:00,0.0,1012.0,21.9,99.0,190.0,22.1,13.0,0.137931
2022-01-02 11:00:00,0.0,1012.0,21.6,97.0,200.0,22.1,16.6,0.137931
2022-01-02 12:00:00,0.0,1012.0,21.6,98.0,180.0,21.9,11.2,0.137931
2022-01-02 13:00:00,0.0,1013.0,21.6,100.0,190.0,21.6,11.2,0.155172
2022-01-02 14:00:00,0.2,1013.0,22.3,94.0,210.0,23.3,11.2,0.12069
2022-01-02 15:00:00,0.3,1014.0,22.2,86.0,210.0,24.7,20.5,0.051724
2022-01-02 16:00:00,0.2,1014.0,22.2,85.0,220.0,24.9,16.6,0.068966
2022-01-02 17:00:00,0.3,1012.0,22.0,74.0,220.0,27.0,24.1,-0.051724
2022-01-02 18:00:00,1.6,1010.0,21.6,73.0,230.0,26.8,24.1,-0.034483
2022-01-02 19:00:00,1.2,1010.0,21.4,66.0,220.0,28.4,29.5,-0.017241
2022-01-02 20:00:00,4.6,1010.0,22.0,71.0,220.0,27.7,37.1,0.068966
2022-01-02 21:00:00,0.4,1009.0,22.4,81.0,210.0,25.9,29.5,0.12069
2022-01-02 22:00:00,2.3,1010.0,20.2,87.0,270.0,22.5,24.1,0.189655
2022-01-02 23:00:00,9.7,1010.0,20.0,100.0,260.0,20.4,27.7,0.172414
2022-01-03 00:00:00,34.5,1010.0,19.7,96.0,230.0,19.7,25.9,0.189655
2022-01-03 01:00:00,18.8,1009.0,19.3,96.0,230.0,20.0,14.8,0.189655
2022-01-03 02:00:00,1.0,1008.0,19.4,97.0,210.0,20.1,18.4,0.172414
2022-01-03 03:00:00,1.3,1010.0,18.7,98.0,200.0,20.5,20.5,0.172414
2022-01-03 04:00:00,2.0,1012.0,18.5,98.0,280.0,18.8,51.8,0.172414
2022-01-03 05:00:00,0.1,1015.0,11.7,93.0,290.0,12.8,50.0,0.155172
