DT,prcp,dwpt,temp,wdir,pres,wspd,Donalsonville,rhum
2022-01-01 05:00:00,0.0,22.8,22.7,190.0,1017.0,13.0,0.172414,99.0
2022-01-01 06:00:00,0.0,22.5,22.7,200.0,1016.0,13.0,0.172414,99.0
2022-01-01 07:00:00,0.0,22.3,22.3,190.0,1016.0,11.2,0.155172,100.0
2022-01-01 08:00:00,0.0,22.2,22.5,190.0,1016.0,13.0,0.155172,98.0
2022-01-01 09:00:00,0.0,21.9,22.2,190.0,1016.0,14.8,0.137931,98.0
2022-01-01 10:00:00,0.0,21.9,21.9,190.0,1016.0,11.2,0.137931,100.0
2022-01-01 11:00:00,0.0,20.2,21.6,190.0,1016.0,11.2,0.137931,91.0
2022-01-01 12:00:00,0.0,19.8,21.3,180.0,1016.0,11.2,0.137931,94.0
2022-01-01 13:00:00,0.0,21.0,20.6,180.0,1016.0,11.2,0.137931,100.0
2022-01-01 14:00:00,0.0,21.1,21.3,190.0,1017.0,13.0,0.103448,99.0
2022-01-01 15:00:00,0.0,20.9,22.3,190.0,1017.0,20.5,0.051724,92.0
2022-01-01 16:00:00,0.0,20.1,25.3,170.0,1016.0,22.3,-0.137931,73.0
2022-01-01 17:00:00,0.0,19.3,26.7,200.0,1015.0,35.3,-0.224138,64.0
2022-01-01 18:00:00,0.0,18.5,28.1,210.0,1014.0,27.7,-0.224138,56.0
2022-01-01 19:00:00,0.0,18.3,28.5,200.0,1013.0,25.9,-0.155172,54.0
2022-01-01 20:00:00,0.0,18.1,27.4,200.0,1013.0,27.7,-0.051724,57.0
2022-01-01 21:00:00,0.0,17.9,27.2,220.0,1014.0,22.3,-0.034483,57.0
2022-01-01 22:00:00,0.0,18.0,26.7,210.0,1014.0,14.8,0.12069,59.0
2022-01-01 23:00:00,0.0,18.2,24.7,210.0,1014.0,22.3,0.189655,67.0
2022-01-02 00:00:00,0.0,18.6,23.7,200.0,1014.0,14.8,0.206897,73.0
2022-01-02 01:00:00,0.0,20.0,22.1,180.0,1014.0,16.6,0.189655,88.0
2022-01-02 02:00:00,0.0,21.1,21.8,190.0,1014.0,16.6,0.189655,96.0
2022-01-02 03:00:00,0.0,21.5,22.2,190.0,1014.0,22.3,0.172414,96.0
2022-01-02 04:00:00,0.0,21.8,22.1,200.0,1014.0,18.4,0.172414,98.0
2022-01-02 05:00:00,0.0,21.7,21.9,190.0,1013.0,16.6,0.155172,99.0
2022-01-02 06:00:00,0.0,21.7,21.9,200.0,1013.0,16.6,0.155172,99.0
2022-01-02 07:00:00,0.0,21.8,21.8,190.0,1013.0,16.6,0.155172,100.0
2022-01-02 08:00:00,0.0,21.8,22.0,180.0,1012.0,16.6,0.155172,99.0
2022-01-02 09:00:00,0.0,21.8,21.8,190.0,1012.0,13.0,0.137931,100.0
2022-01-02 10:00:00,0.0,21.9,22.1,190.0,1012.0,13.0,0.137931,99.0
2022-01-02 11:00:00,0.0,21.6,22.1,200.0,1012.0,16.6,0.137931,97.0
2022-01-02 12:00:00,0.0,21.6,21.9,180.0,1012.0,11.2,0.137931,98.0
2022-01-02 13:00:00,0.0,21.6,21.6,190.0,1013.0,11.2,0.155172,100.0
