DT,prcp,dwpt,pres,rhum,temp,wspd,Donalsonville,wdir
2022-01-01 05:00:00,0.0,22.8,1017.0,99.0,22.7,13.0,0.172414,190.0
2022-01-01 06:00:00,0.0,22.5,1016.0,99.0,22.7,13.0,0.172414,200.0
2022-01-01 07:00:00,0.0,22.3,1016.0,100.0,22.3,11.2,0.155172,190.0
2022-01-01 08:00:00,0.0,22.2,1016.0,98.0,22.5,13.0,0.155172,190.0
2022-01-01 09:00:00,0.0,21.9,1016.0,98.0,22.2,14.8,0.137931,190.0
2022-01-01 10:00:00,0.0,21.9,1016.0,100.0,21.9,11.2,0.137931,190.0
2022-01-01 11:00:00,0.0,20.2,1016.0,91.0,21.6,11.2,0.137931,190.0
2022-01-01 12:00:00,0.0,19.8,1016.0,94.0,21.3,11.2,0.137931,180.0
2022-01-01 13:00:00,0.0,20.8,1017.0,99.0,20.6,11.2,0.137931,180.0
2022-01-01 14:00:00,0.0,21.1,1017.0,99.0,21.3,13.0,0.103448,190.0
2022-01-01 15:00:00,0.0,20.9,1017.0,92.0,22.3,20.5,0.051724,190.0
2022-01-01 16:00:00,0.0,20.1,1016.0,73.0,25.3,22.3,-0.137931,170.0
2022-01-01 17:00:00,0.0,19.3,1015.0,64.0,26.7,35.3,-0.224138,200.0
2022-01-01 18:00:00,0.0,18.5,1014.0,56.0,28.1,27.7,-0.224138,210.0
2022-01-01 19:00:00,0.0,18.3,1013.0,54.0,28.5,25.9,-0.155172,200.0
2022-01-01 20:00:00,0.0,18.1,1013.0,57.0,27.4,27.7,-0.051724,200.0
2022-01-01 21:00:00,0.0,17.9,1014.0,57.0,27.2,22.3,-0.034483,220.0
2022-01-01 22:00:00,0.0,18.0,1014.0,59.0,26.7,14.8,0.12069,210.0
2022-01-01 23:00:00,0.0,18.2,1014.0,67.0,24.7,22.3,0.189655,210.0
2022-01-02 00:00:00,0.0,18.6,1014.0,73.0,23.7,14.8,0.206897,200.0
2022-01-02 01:00:00,0.0,20.0,1014.0,88.0,22.1,16.6,0.189655,180.0
2022-01-02 02:00:00,0.0,21.1,1014.0,96.0,21.8,16.6,0.189655,190.0
2022-01-02 03:00:00,0.0,21.5,1014.0,96.0,22.2,22.3,0.172414,190.0
2022-01-02 04:00:00,0.0,21.8,1014.0,98.0,22.1,18.4,0.172414,200.0
2022-01-02 05:00:00,0.0,21.7,1013.0,99.0,21.9,16.6,0.155172,190.0
2022-01-02 06:00:00,0.0,21.7,1013.0,99.0,21.9,16.6,0.155172,200.0
2022-01-02 07:00:00,0.0,21.8,1013.0,100.0,21.8,16.6,0.155172,190.0
2022-01-02 08:00:00,0.0,21.8,1012.0,99.0,22.0,16.6,0.155172,180.0
2022-01-02 09:00:00,0.0,21.8,1012.0,100.0,21.8,13.0,0.137931,190.0
2022-01-02 10:00:00,0.0,21.9,1012.0,99.0,22.1,13.0,0.137931,190.0
2022-01-02 11:00:00,0.0,21.6,1012.0,97.0,22.1,16.6,0.137931,200.0
2022-01-02 12:00:00,0.0,21.6,1013.0,98.0,21.9,11.2,0.137931,180.0
2022-01-02 13:00:00,0.0,21.6,1013.0,100.0,21.6,11.2,0.155172,190.0
2022-01-02 14:00:00,0.2,22.3,1014.0,94.0,23.3,11.2,0.12069,210.0
2022-01-02 15:00:00,0.3,22.2,1014.0,86.0,24.7,20.5,0.051724,210.0
2022-01-02 16:00:00,0.2,22.2,1013.0,85.0,24.9,16.6,0.068966,220.0
2022-01-02 17:00:00,0.3,22.0,1012.0,74.0,27.0,24.1,-0.051724,220.0
2022-01-02 18:00:00,1.6,21.6,1011.0,73.0,26.8,24.1,-0.034483,230.0
2022-01-02 19:00:00,1.2,21.4,1010.0,66.0,28.4,29.5,-0.017241,220.0
2022-01-02 20:00:00,4.6,22.0,1009.0,71.0,27.7,37.1,0.068966,220.0
2022-01-02 21:00:00,0.4,22.4,1010.0,81.0,25.9,29.5,0.12069,210.0
2022-01-02 22:00:00,2.3,20.2,1010.0,87.0,22.5,24.1,0.189655,270.0
2022-01-02 23:00:00,9.7,20.0,1010.0,100.0,20.4,27.7,0.172414,260.0
2022-01-03 00:00:00,34.5,19.7,1010.0,96.0,19.7,25.9,0.189655,230.0
2022-01-03 01:00:00,18.8,19.3,1009.0,96.0,20.0,14.8,0.189655,230.0
2022-01-03 02:00:00,1.0,19.4,1008.0,97.0,20.1,18.4,0.172414,210.0
2022-01-03 03:00:00,1.3,18.7,1008.0,98.0,20.5,20.5,0.172414,200.0
2022-01-03 04:00:00,2.0,18.5,1012.0,98.0,18.8,51.8,0.172414,280.0
2022-01-03 05:00:00,0.1,11.7,1015.0,93.0,12.8,50.0,0.155172,290.0
2022-01-03 06:00:00,0.0,9.2,1016.0,88.0,11.1,38.9,0.137931,290.0
2022-01-03 07:00:00,0.0,6.8,1017.0,87.0,8.8,29.5,0.12069,290.0
2022-01-03 08:00:00,0.0,4.9,1018.0,86.0,7.1,27.7,0.12069,290.0
2022-01-03 09:00:00,0.0,3.3,1019.0,83.0,6.0,40.7,0.12069,290.0
2022-01-03 10:00:00,0.0,1.8,1020.0,82.0,4.6,40.7,0.137931,300.0
2022-01-03 11:00:00,0.0,1.0,1021.0,83.0,3.6,31.7,0.172414,290.0
2022-01-03 12:00:00,0.0,0.7,1022.0,83.0,3.3,31.7,0.189655,310.0
2022-01-03 13:00:00,0.0,0.2,1024.0,82.0,3.0,31.7,0.396552,310.0
2022-01-03 14:00:00,0.0,0.4,1025.0,81.0,3.3,25.9,0.465517,320.0
2022-01-03 15:00:00,0.0,0.5,1026.0,79.0,3.8,24.1,0.482759,310.0
2022-01-03 16:00:00,0.0,0.6,1026.0,77.0,4.3,22.3,0.465517,320.0
2022-01-03 17:00:00,0.0,1.0,1025.0,74.0,5.3,20.5,0.431034,310.0
2022-01-03 18:00:00,0.0,1.1,1025.0,73.0,5.6,22.3,0.431034,320.0
2022-01-03 19:00:00,0.0,1.4,1025.0,70.0,6.5,24.1,0.37931,320.0
2022-01-03 20:00:00,0.0,1.2,1025.0,66.0,7.1,24.1,0.12069,330.0
2022-01-03 21:00:00,0.0,1.1,1025.0,60.0,8.4,18.4,0.137931,360.0
2022-01-03 22:00:00,0.0,1.0,1025.0,62.0,7.8,20.5,0.293103,350.0
2022-01-03 23:00:00,0.0,1.0,1026.0,68.0,6.5,16.6,0.551724,350.0
2022-01-04 00:00:00,0.0,1.5,1026.0,77.0,5.2,11.2,0.655172,330.0
2022-01-04 01:00:00,0.0,1.3,1026.0,79.0,4.6,18.4,0.396552,350.0
2022-01-04 02:00:00,0.0,1.1,1026.0,79.0,4.4,11.2,0.396552,360.0
2022-01-04 03:00:00,0.0,0.9,1027.0,81.0,3.9,9.4,0.37931,350.0
2022-01-04 04:00:00,0.0,1.8,1027.0,95.0,2.5,9.4,0.37931,290.0
2022-01-04 05:00:00,0.0,1.7,1027.0,95.0,2.4,11.2,0.37931,300.0
2022-01-04 06:00:00,0.0,1.4,1027.0,95.0,2.1,11.2,0.362069,360.0
2022-01-04 07:00:00,0.0,0.8,1027.0,92.0,2.0,9.4,0.362069,10.0
