DT,dwpt,pres,prcp,rhum,temp,Donalsonville,wspd,wdir
2022-01-01 05:00:00,22.8,1017.0,0.0,99.0,22.7,0.172414,13.0,190.0
2022-01-01 06:00:00,22.5,1016.0,0.0,99.0,22.7,0.172414,13.0,200.0
2022-01-01 07:00:00,22.3,1016.0,0.0,100.0,22.3,0.155172,11.2,190.0
2022-01-01 08:00:00,22.2,1016.0,0.0,98.0,22.5,0.155172,13.0,190.0
2022-01-01 09:00:00,21.9,1016.0,0.0,98.0,22.2,0.137931,14.8,190.0
2022-01-01 10:00:00,21.9,1016.0,0.0,100.0,21.9,0.137931,11.2,190.0
2022-01-01 11:00:00,20.2,1016.0,0.0,91.0,21.6,0.137931,11.2,190.0
2022-01-01 12:00:00,19.8,1016.0,0.0,94.0,21.3,0.137931,11.2,180.0
2022-01-01 13:00:00,20.8,1017.0,0.0,99.0,20.6,0.137931,11.2,180.0
2022-01-01 14:00:00,21.1,1017.0,0.0,99.0,21.3,0.103448,13.0,190.0
2022-01-01 15:00:00,20.9,1017.0,0.0,92.0,22.3,0.051724,20.5,190.0
2022-01-01 16:00:00,20.1,1016.0,0.0,73.0,25.3,-0.137931,22.3,170.0
2022-01-01 17:00:00,19.3,1015.0,0.0,64.0,26.7,-0.224138,35.3,200.0
2022-01-01 18:00:00,18.5,1014.0,0.0,56.0,28.1,-0.224138,27.7,210.0
2022-01-01 19:00:00,18.3,1013.0,0.0,54.0,28.5,-0.155172,25.9,200.0
2022-01-01 20:00:00,18.1,1013.0,0.0,57.0,27.4,-0.051724,27.7,200.0
2022-01-01 21:00:00,17.9,1014.0,0.0,57.0,27.2,-0.034483,22.3,220.0
2022-01-01 22:00:00,18.0,1014.0,0.0,59.0,26.7,0.12069,14.8,210.0
2022-01-01 23:00:00,18.2,1014.0,0.0,67.0,24.7,0.189655,22.3,210.0
2022-01-02 00:00:00,18.6,1014.0,0.0,73.0,23.7,0.206897,14.8,200.0
2022-01-02 01:00:00,20.0,1014.0,0.0,88.0,22.1,0.189655,16.6,180.0
2022-01-02 02:00:00,21.1,1014.0,0.0,96.0,21.8,0.189655,16.6,190.0
2022-01-02 03:00:00,21.5,1014.0,0.0,96.0,22.2,0.172414,22.3,190.0
2022-01-02 04:00:00,21.8,1014.0,0.0,98.0,22.1,0.172414,18.4,200.0
2022-01-02 05:00:00,21.7,1013.0,0.0,99.0,21.9,0.155172,16.6,190.0
2022-01-02 06:00:00,21.7,1013.0,0.0,99.0,21.9,0.155172,16.6,200.0
2022-01-02 07:00:00,21.8,1013.0,0.0,100.0,21.8,0.155172,16.6,190.0
2022-01-02 08:00:00,21.8,1012.0,0.0,99.0,22.0,0.155172,16.6,180.0
2022-01-02 09:00:00,21.8,1012.0,0.0,100.0,21.8,0.137931,13.0,190.0
2022-01-02 10:00:00,21.9,1012.0,0.0,99.0,22.1,0.137931,13.0,190.0
2022-01-02 11:00:00,21.6,1012.0,0.0,97.0,22.1,0.137931,16.6,200.0
2022-01-02 12:00:00,21.6,1013.0,0.0,98.0,21.9,0.137931,11.2,180.0
2022-01-02 13:00:00,21.6,1013.0,0.0,100.0,21.6,0.155172,11.2,190.0
2022-01-02 14:00:00,22.3,1014.0,0.2,94.0,23.3,0.12069,11.2,210.0
2022-01-02 15:00:00,22.2,1014.0,0.3,86.0,24.7,0.051724,20.5,210.0
2022-01-02 16:00:00,22.2,1013.0,0.2,85.0,24.9,0.068966,16.6,220.0
2022-01-02 17:00:00,22.0,1012.0,0.3,74.0,27.0,-0.051724,24.1,220.0
2022-01-02 18:00:00,21.6,1011.0,1.6,73.0,26.8,-0.034483,24.1,230.0
