DT,rhum,pres,prcp,dwpt,temp,Donalsonville,wdir,wspd
2022-01-01 05:00:00,99.0,1017.0,0.0,22.8,22.7,0.172414,190.0,13.0
2022-01-01 06:00:00,99.0,1016.0,0.0,22.5,22.7,0.172414,200.0,13.0
2022-01-01 07:00:00,100.0,1016.0,0.0,22.3,22.3,0.155172,190.0,11.2
2022-01-01 08:00:00,98.0,1016.0,0.0,22.2,22.5,0.155172,190.0,13.0
2022-01-01 09:00:00,98.0,1016.0,0.0,21.9,22.2,0.137931,190.0,14.8
2022-01-01 10:00:00,100.0,1016.0,0.0,21.9,21.9,0.137931,190.0,11.2
2022-01-01 11:00:00,91.0,1016.0,0.0,20.2,21.6,0.137931,190.0,11.2
2022-01-01 12:00:00,94.0,1016.0,0.0,19.8,21.3,0.137931,180.0,11.2
2022-01-01 13:00:00,99.0,1017.0,0.0,20.8,20.6,0.137931,180.0,11.2
2022-01-01 14:00:00,99.0,1017.0,0.0,21.1,21.3,0.103448,190.0,13.0
2022-01-01 15:00:00,92.0,1017.0,0.0,20.9,22.3,0.051724,190.0,20.5
2022-01-01 16:00:00,73.0,1016.0,0.0,20.1,25.3,-0.137931,170.0,22.3
2022-01-01 17:00:00,64.0,1015.0,0.0,19.3,26.7,-0.224138,200.0,35.3
2022-01-01 18:00:00,56.0,1014.0,0.0,18.5,28.1,-0.224138,210.0,27.7
2022-01-01 19:00:00,54.0,1013.0,0.0,18.3,28.5,-0.155172,200.0,25.9
2022-01-01 20:00:00,57.0,1013.0,0.0,18.1,27.4,-0.051724,200.0,27.7
2022-01-01 21:00:00,57.0,1014.0,0.0,17.9,27.2,-0.034483,220.0,22.3
2022-01-01 22:00:00,59.0,1014.0,0.0,18.0,26.7,0.12069,210.0,14.8
2022-01-01 23:00:00,67.0,1014.0,0.0,18.2,24.7,0.189655,210.0,22.3
2022-01-02 00:00:00,73.0,1014.0,0.0,18.6,23.7,0.206897,200.0,14.8
2022-01-02 01:00:00,88.0,1014.0,0.0,20.0,22.1,0.189655,180.0,16.6
2022-01-02 02:00:00,96.0,1014.0,0.0,21.1,21.8,0.189655,190.0,16.6
2022-01-02 03:00:00,96.0,1014.0,0.0,21.5,22.2,0.172414,190.0,22.3
2022-01-02 04:00:00,98.0,1014.0,0.0,21.8,22.1,0.172414,200.0,18.4
2022-01-02 05:00:00,99.0,1013.0,0.0,21.7,21.9,0.155172,190.0,16.6
2022-01-02 06:00:00,99.0,1013.0,0.0,21.7,21.9,0.155172,200.0,16.6
2022-01-02 07:00:00,100.0,1013.0,0.0,21.8,21.8,0.155172,190.0,16.6
2022-01-02 08:00:00,99.0,1012.0,0.0,21.8,22.0,0.155172,180.0,16.6
2022-01-02 09:00:00,100.0,1012.0,0.0,21.8,21.8,0.137931,190.0,13.0
2022-01-02 10:00:00,99.0,1012.0,0.0,21.9,22.1,0.137931,190.0,13.0
2022-01-02 11:00:00,97.0,1012.0,0.0,21.6,22.1,0.137931,200.0,16.6
2022-01-02 12:00:00,98.0,1013.0,0.0,21.6,21.9,0.137931,180.0,11.2
2022-01-02 13:00:00,100.0,1013.0,0.0,21.6,21.6,0.155172,190.0,11.2
2022-01-02 14:00:00,94.0,1014.0,0.2,22.3,23.3,0.12069,210.0,11.2
2022-01-02 15:00:00,86.0,1014.0,0.3,22.2,24.7,0.051724,210.0,20.5
2022-01-02 16:00:00,85.0,1013.0,0.2,22.2,24.9,0.068966,220.0,16.6
2022-01-02 17:00:00,74.0,1012.0,0.3,22.0,27.0,-0.051724,220.0,24.1
2022-01-02 18:00:00,73.0,1011.0,1.6,21.6,26.8,-0.034483,230.0,24.1
2022-01-02 19:00:00,66.0,1010.0,1.2,21.4,28.4,-0.017241,220.0,29.5
2022-01-02 20:00:00,71.0,1010.0,4.6,22.0,27.7,0.068966,220.0,37.1
2022-01-02 21:00:00,81.0,1010.0,0.4,22.4,25.9,0.12069,210.0,29.5
2022-01-02 22:00:00,87.0,1010.0,2.3,20.2,22.5,0.189655,270.0,24.1
2022-01-02 23:00:00,100.0,1010.0,9.7,20.0,20.4,0.172414,260.0,27.7
2022-01-03 00:00:00,96.0,1010.0,34.5,19.7,19.7,0.189655,230.0,25.9
2022-01-03 01:00:00,96.0,1010.0,18.8,19.3,20.0,0.189655,230.0,14.8
2022-01-03 02:00:00,97.0,1008.0,1.0,19.4,20.1,0.172414,210.0,18.4
2022-01-03 03:00:00,98.0,1008.0,1.3,18.7,20.5,0.172414,200.0,20.5
2022-01-03 04:00:00,98.0,1012.0,2.0,18.5,18.8,0.172414,280.0,51.8
2022-01-03 05:00:00,93.0,1015.0,0.1,11.7,12.8,0.155172,290.0,50.0
2022-01-03 06:00:00,88.0,1015.0,0.0,9.2,11.1,0.137931,290.0,38.9
2022-01-03 07:00:00,87.0,1017.0,0.0,6.8,8.8,0.12069,290.0,29.5
2022-01-03 08:00:00,86.0,1018.0,0.0,4.9,7.1,0.12069,290.0,27.7
2022-01-03 09:00:00,83.0,1019.0,0.0,3.3,6.0,0.12069,290.0,40.7
2022-01-03 10:00:00,82.0,1020.0,0.0,1.8,4.6,0.137931,300.0,40.7
2022-01-03 11:00:00,83.0,1021.0,0.0,1.0,3.6,0.172414,290.0,31.7
2022-01-03 12:00:00,83.0,1022.0,0.0,0.7,3.3,0.189655,310.0,31.7
2022-01-03 13:00:00,82.0,1024.0,0.0,0.2,3.0,0.396552,310.0,31.7
2022-01-03 14:00:00,81.0,1025.0,0.0,0.4,3.3,0.465517,320.0,25.9
2022-01-03 15:00:00,79.0,1026.0,0.0,0.5,3.8,0.482759,310.0,24.1
2022-01-03 16:00:00,77.0,1026.0,0.0,0.6,4.3,0.465517,320.0,22.3
2022-01-03 17:00:00,74.0,1025.0,0.0,1.0,5.3,0.431034,310.0,20.5
2022-01-03 18:00:00,73.0,1025.0,0.0,1.1,5.6,0.431034,320.0,22.3
2022-01-03 19:00:00,70.0,1025.0,0.0,1.4,6.5,0.37931,320.0,24.1
2022-01-03 20:00:00,66.0,1025.0,0.0,1.2,7.1,0.12069,330.0,24.1
2022-01-03 21:00:00,60.0,1025.0,0.0,1.1,8.4,0.137931,360.0,18.4
2022-01-03 22:00:00,62.0,1025.0,0.0,1.0,7.8,0.293103,350.0,20.5
2022-01-03 23:00:00,68.0,1026.0,0.0,1.0,6.5,0.551724,350.0,16.6
2022-01-04 00:00:00,77.0,1026.0,0.0,1.5,5.2,0.655172,330.0,11.2
2022-01-04 01:00:00,79.0,1026.0,0.0,1.3,4.6,0.396552,350.0,18.4
2022-01-04 02:00:00,79.0,1026.0,0.0,1.1,4.4,0.396552,360.0,11.2
2022-01-04 03:00:00,81.0,1027.0,0.0,0.9,3.9,0.37931,350.0,9.4
2022-01-04 04:00:00,95.0,1027.0,0.0,1.8,2.5,0.37931,290.0,9.4
2022-01-04 05:00:00,95.0,1027.0,0.0,1.7,2.4,0.37931,300.0,11.2
2022-01-04 06:00:00,95.0,1027.0,0.0,1.4,2.1,0.362069,360.0,11.2
2022-01-04 07:00:00,92.0,1027.0,0.0,0.8,2.0,0.362069,10.0,9.4
2022-01-04 08:00:00,92.0,1027.0,0.0,0.6,1.8,0.362069,360.0,9.4
2022-01-04 09:00:00,96.0,1026.0,0.0,0.7,1.3,0.344828,360.0,5.4
2022-01-04 10:00:00,97.0,1026.0,0.0,0.6,1.0,0.37931,40.0,11.2
2022-01-04 11:00:00,97.0,1027.0,0.0,0.5,0.9,0.396552,40.0,11.2
2022-01-04 12:00:00,97.0,1027.0,0.0,0.4,0.8,0.448276,30.0,9.4
2022-01-04 13:00:00,97.0,1028.0,0.0,0.9,1.3,0.689655,50.0,9.4
2022-01-04 14:00:00,93.0,1028.0,0.0,1.9,2.9,0.689655,50.0,7.6
2022-01-04 15:00:00,89.0,1028.0,0.0,3.5,5.2,0.551724,60.0,13.0
2022-01-04 16:00:00,79.0,1027.0,0.0,4.5,7.9,0.448276,90.0,14.8
2022-01-04 17:00:00,70.0,1026.0,0.0,5.2,10.4,0.465517,70.0,11.2
2022-01-04 18:00:00,66.0,1025.0,0.0,5.7,11.9,0.465517,30.0,7.6
2022-01-04 19:00:00,63.0,1023.0,0.0,6.1,13.0,0.344828,90.0,13.0
2022-01-04 20:00:00,64.0,1023.0,0.0,6.9,13.6,0.448276,90.0,13.0
2022-01-04 21:00:00,63.0,1023.0,0.0,7.0,13.9,0.310345,70.0,16.6
2022-01-04 22:00:00,64.0,1022.0,0.0,7.3,14.0,0.344828,90.0,11.2
2022-01-04 23:00:00,79.0,1023.0,0.0,7.5,11.0,0.517241,100.0,9.4
2022-01-05 00:00:00,87.0,1022.0,0.0,8.3,10.4,0.603448,0.0,0.0
2022-01-05 01:00:00,95.0,1022.0,0.0,8.4,9.2,0.362069,260.0,9.4
2022-01-05 02:00:00,98.0,1022.0,0.0,7.8,8.1,0.344828,0.0,0.0
2022-01-05 03:00:00,100.0,1022.0,0.0,8.4,8.4,0.344828,280.0,5.4
2022-01-05 04:00:00,96.0,1021.0,0.0,8.5,9.1,0.327586,310.0,9.4
2022-01-05 05:00:00,98.0,1021.0,0.0,8.7,9.0,0.310345,0.0,0.0
2022-01-05 06:00:00,95.0,1020.0,0.0,8.7,9.5,0.293103,330.0,7.6
2022-01-05 07:00:00,97.0,1020.0,0.1,9.1,9.6,0.275862,0.0,0.0
2022-01-05 08:00:00,96.0,1020.0,0.2,9.2,9.8,0.275862,300.0,11.2
2022-01-05 09:00:00,95.0,1020.0,0.0,9.2,10.0,0.258621,310.0,9.4
2022-01-05 10:00:00,94.0,1020.0,0.0,9.2,10.1,0.241379,330.0,7.6
2022-01-05 11:00:00,93.0,1020.0,0.1,9.2,10.3,0.293103,360.0,7.6
2022-01-05 12:00:00,91.0,1020.0,0.0,9.1,10.5,0.344828,330.0,11.2
2022-01-05 13:00:00,90.0,1020.0,0.0,8.8,10.4,0.568966,360.0,9.4
2022-01-05 14:00:00,85.0,1020.0,0.0,8.6,11.0,0.534483,350.0,7.6
2022-01-05 15:00:00,75.0,1020.0,0.0,8.6,12.9,0.344828,20.0,9.4
2022-01-05 16:00:00,62.0,1019.0,0.0,8.2,15.4,0.189655,360.0,14.8
2022-01-05 17:00:00,55.0,1018.0,0.0,7.6,16.7,0.12069,300.0,14.8
2022-01-05 18:00:00,50.0,1017.0,0.0,7.0,17.5,0.103448,280.0,14.8
2022-01-05 19:00:00,50.0,1016.0,0.0,7.0,17.5,0.241379,280.0,18.4
2022-01-05 20:00:00,52.0,1016.0,0.0,7.0,16.9,0.293103,280.0,13.0
2022-01-05 21:00:00,44.0,1016.0,0.0,6.5,19.0,0.293103,290.0,13.0
2022-01-05 22:00:00,49.0,1016.0,0.0,7.0,17.9,0.396552,290.0,14.8
2022-01-05 23:00:00,61.0,1017.0,0.0,7.8,15.3,0.448276,360.0,7.6
2022-01-06 00:00:00,76.0,1017.0,0.0,9.0,13.1,0.5,0.0,0.0
2022-01-06 01:00:00,92.0,1017.0,0.0,9.6,10.8,0.241379,0.0,0.0
2022-01-06 02:00:00,96.0,1017.0,0.0,8.5,9.1,0.241379,0.0,0.0
2022-01-06 03:00:00,98.0,1017.0,0.0,8.6,8.9,0.241379,0.0,0.0
2022-01-06 04:00:00,100.0,1017.0,0.0,7.4,7.4,0.224138,0.0,0.0
2022-01-06 05:00:00,97.0,1016.0,0.0,7.1,7.5,0.224138,210.0,5.4
2022-01-06 06:00:00,97.0,1016.0,0.0,7.1,7.5,0.224138,0.0,0.0
2022-01-06 07:00:00,91.0,1017.0,0.0,7.3,6.0,0.206897,0.0,0.0
2022-01-06 08:00:00,92.0,1017.0,0.0,6.5,6.6,0.206897,290.0,7.6
2022-01-06 09:00:00,88.0,1017.0,0.0,7.3,6.3,0.206897,0.0,0.0
2022-01-06 10:00:00,91.0,1017.0,0.0,7.3,5.5,0.224138,0.0,0.0
2022-01-06 11:00:00,94.0,1017.0,0.0,6.2,5.1,0.258621,150.0,5.4
2022-01-06 12:00:00,96.0,1017.0,0.0,5.9,4.4,0.327586,90.0,7.6
2022-01-06 13:00:00,100.0,1017.0,0.0,9.0,4.8,0.534483,0.0,0.0
2022-01-06 14:00:00,100.0,1017.0,0.0,8.6,8.6,0.482759,100.0,5.4
