DT,dwpt,prcp,wdir,rhum,pres,wspd,temp,Donalsonville
2022-01-01 05:00:00,22.8,0.0,190.0,99.0,1017.0,13.0,22.7,0.172414
2022-01-01 06:00:00,22.5,0.0,200.0,99.0,1016.0,13.0,22.7,0.172414
2022-01-01 07:00:00,22.3,0.0,190.0,100.0,1016.0,11.2,22.3,0.155172
2022-01-01 08:00:00,22.2,0.0,190.0,98.0,1016.0,13.0,22.5,0.155172
2022-01-01 09:00:00,21.9,0.0,190.0,98.0,1016.0,14.8,22.2,0.137931
2022-01-01 10:00:00,21.9,0.0,190.0,100.0,1016.0,11.2,21.9,0.137931
2022-01-01 11:00:00,20.2,0.0,190.0,91.0,1016.0,11.2,21.6,0.137931
2022-01-01 12:00:00,19.8,0.0,180.0,94.0,1016.0,11.2,21.3,0.137931
2022-01-01 13:00:00,20.8,0.0,180.0,99.0,1017.0,11.2,20.6,0.137931
2022-01-01 14:00:00,21.1,0.0,190.0,99.0,1017.0,13.0,21.3,0.103448
2022-01-01 15:00:00,20.9,0.0,190.0,92.0,1017.0,20.5,22.3,0.051724
2022-01-01 16:00:00,20.1,0.0,170.0,73.0,1016.0,22.3,25.3,-0.137931
2022-01-01 17:00:00,19.3,0.0,200.0,64.0,1015.0,35.3,26.7,-0.224138
2022-01-01 18:00:00,18.5,0.0,210.0,56.0,1014.0,27.7,28.1,-0.224138
2022-01-01 19:00:00,18.3,0.0,200.0,54.0,1013.0,25.9,28.5,-0.155172
2022-01-01 20:00:00,18.1,0.0,200.0,57.0,1013.0,27.7,27.4,-0.051724
2022-01-01 21:00:00,17.9,0.0,220.0,57.0,1014.0,22.3,27.2,-0.034483
2022-01-01 22:00:00,18.0,0.0,210.0,59.0,1014.0,14.8,26.7,0.12069
2022-01-01 23:00:00,18.2,0.0,210.0,67.0,1014.0,22.3,24.7,0.189655
2022-01-02 00:00:00,18.6,0.0,200.0,73.0,1014.0,14.8,23.7,0.206897
2022-01-02 01:00:00,20.0,0.0,180.0,88.0,1014.0,16.6,22.1,0.189655
2022-01-02 02:00:00,21.1,0.0,190.0,96.0,1014.0,16.6,21.8,0.189655
2022-01-02 03:00:00,21.5,0.0,190.0,96.0,1014.0,22.3,22.2,0.172414
2022-01-02 04:00:00,21.8,0.0,200.0,98.0,1014.0,18.4,22.1,0.172414
2022-01-02 05:00:00,21.7,0.0,190.0,99.0,1013.0,16.6,21.9,0.155172
2022-01-02 06:00:00,21.7,0.0,200.0,99.0,1013.0,16.6,21.9,0.155172
2022-01-02 07:00:00,21.8,0.0,190.0,100.0,1013.0,16.6,21.8,0.155172
2022-01-02 08:00:00,21.8,0.0,180.0,99.0,1012.0,16.6,22.0,0.155172
2022-01-02 09:00:00,21.8,0.0,190.0,100.0,1012.0,13.0,21.8,0.137931
2022-01-02 10:00:00,21.9,0.0,190.0,99.0,1012.0,13.0,22.1,0.137931
2022-01-02 11:00:00,21.6,0.0,200.0,97.0,1012.0,16.6,22.1,0.137931
2022-01-02 12:00:00,21.6,0.0,180.0,98.0,1013.0,11.2,21.9,0.137931
2022-01-02 13:00:00,21.6,0.0,190.0,100.0,1013.0,11.2,21.6,0.155172
2022-01-02 14:00:00,22.3,0.2,210.0,94.0,1014.0,11.2,23.3,0.12069
2022-01-02 15:00:00,22.2,0.3,210.0,86.0,1014.0,20.5,24.7,0.051724
2022-01-02 16:00:00,22.2,0.2,220.0,85.0,1013.0,16.6,24.9,0.068966
2022-01-02 17:00:00,22.0,0.3,220.0,74.0,1012.0,24.1,27.0,-0.051724
2022-01-02 18:00:00,21.6,1.6,230.0,73.0,1011.0,24.1,26.8,-0.034483
2022-01-02 19:00:00,21.4,1.2,220.0,66.0,1010.0,29.5,28.4,-0.017241
2022-01-02 20:00:00,22.0,4.6,220.0,71.0,1010.0,37.1,27.7,0.068966
2022-01-02 21:00:00,22.4,0.4,210.0,81.0,1010.0,29.5,25.9,0.12069
2022-01-02 22:00:00,20.2,2.3,270.0,87.0,1010.0,24.1,22.5,0.189655
2022-01-02 23:00:00,20.0,9.7,260.0,100.0,1010.0,27.7,20.4,0.172414
2022-01-03 00:00:00,19.7,34.5,230.0,96.0,1010.0,25.9,19.7,0.189655
2022-01-03 01:00:00,19.3,18.8,230.0,96.0,1010.0,14.8,20.0,0.189655
2022-01-03 02:00:00,19.4,1.0,210.0,97.0,1008.0,18.4,20.1,0.172414
2022-01-03 03:00:00,18.7,1.3,200.0,98.0,1008.0,20.5,20.5,0.172414
2022-01-03 04:00:00,18.5,2.0,280.0,98.0,1012.0,51.8,18.8,0.172414
2022-01-03 05:00:00,11.7,0.1,290.0,93.0,1015.0,50.0,12.8,0.155172
2022-01-03 06:00:00,9.2,0.0,290.0,88.0,1015.0,38.9,11.1,0.137931
2022-01-03 07:00:00,6.8,0.0,290.0,87.0,1017.0,29.5,8.8,0.12069
2022-01-03 08:00:00,4.9,0.0,290.0,86.0,1018.0,27.7,7.1,0.12069
2022-01-03 09:00:00,3.3,0.0,290.0,83.0,1019.0,40.7,6.0,0.12069
2022-01-03 10:00:00,1.8,0.0,300.0,82.0,1020.0,40.7,4.6,0.137931
2022-01-03 11:00:00,1.0,0.0,290.0,83.0,1021.0,31.7,3.6,0.172414
2022-01-03 12:00:00,0.7,0.0,310.0,83.0,1022.0,31.7,3.3,0.189655
