DT,dwpt,prcp,wdir,pres,rhum,temp,wspd
2022-01-01 00:00:00,20.0,0.0,200.0,1016.0,83.0,23.0,7.0
2022-01-01 01:00:00,19.9,0.0,200.0,1016.0,88.0,22.0,9.4
2022-01-01 02:00:00,19.9,0.0,200.0,1016.0,88.0,22.0,7.6
2022-01-01 03:00:00,19.9,0.0,190.0,1016.0,88.0,22.0,7.6
2022-01-01 04:00:00,19.9,0.0,200.0,1016.0,88.0,22.0,7.6
2022-01-01 05:00:00,19.9,0.0,200.0,1016.0,88.0,22.0,5.4
2022-01-01 06:00:00,19.9,0.0,190.0,1016.0,88.0,22.0,7.6
2022-01-01 07:00:00,19.9,0.1,200.0,1016.0,88.0,22.0,5.4
2022-01-01 08:00:00,19.9,0.1,200.0,1016.0,88.0,22.0,7.6
2022-01-01 09:00:00,20.0,0.1,200.0,1015.0,94.0,21.0,7.6
2022-01-01 10:00:00,20.0,0.1,190.0,1015.0,94.0,21.0,9.4
2022-01-01 11:00:00,20.0,0.3,190.0,1015.0,94.0,21.0,9.4
2022-01-01 12:00:00,20.0,0.1,200.0,1016.0,94.0,21.0,9.4
2022-01-01 13:00:00,20.0,0.1,190.0,1016.0,94.0,21.0,7.6
2022-01-01 14:00:00,20.0,0.0,190.0,1016.0,94.0,21.0,11.2
2022-01-01 15:00:00,20.0,0.0,200.0,1016.0,83.0,23.0,11.2
2022-01-01 16:00:00,18.0,0.0,210.0,1016.0,65.0,25.0,20.5
2022-01-01 17:00:00,17.9,0.0,200.0,1014.0,61.0,26.0,16.6
2022-01-01 18:00:00,16.0,0.0,210.0,1013.0,51.0,27.0,27.7
2022-01-01 19:00:00,15.0,0.0,200.0,1013.0,45.0,28.0,22.3
2022-01-01 20:00:00,16.0,0.0,210.0,1013.0,51.0,27.0,25.9
2022-01-01 21:00:00,16.0,0.0,230.0,1013.0,51.0,27.0,18.4
2022-01-01 22:00:00,15.9,0.0,220.0,1013.0,57.0,25.0,20.5
2022-01-01 23:00:00,17.0,0.0,210.0,1013.0,65.0,24.0,18.4
2022-01-02 00:00:00,18.1,0.0,200.0,1013.0,74.0,23.0,13.0
2022-01-02 01:00:00,18.0,0.0,190.0,1013.0,78.0,22.0,11.2
