DT,dwpt,prcp,pres,temp,rhum,wspd,wdir,Donalsonville
2022-01-01 05:00:00,19.9,0.8,1010.6,20.7,95.0,9.7,166.0,0.172414
2022-01-01 06:00:00,20.1,4.0,1011.0,20.8,96.0,7.6,161.0,0.172414
2022-01-01 07:00:00,20.1,2.8,1011.3,20.6,97.0,14.0,156.0,0.155172
2022-01-01 08:00:00,20.1,1.5,1011.8,20.6,97.0,9.7,176.0,0.155172
2022-01-01 09:00:00,20.1,0.6,1011.9,20.6,97.0,11.5,184.0,0.137931
2022-01-01 10:00:00,20.1,2.2,1011.5,20.9,95.0,8.6,161.0,0.137931
2022-01-01 11:00:00,20.3,0.2,1010.7,21.0,96.0,10.8,166.0,0.137931
2022-01-01 12:00:00,20.4,0.5,1010.3,21.1,96.0,11.2,161.0,0.137931
2022-01-01 13:00:00,20.1,1.0,1010.3,20.8,96.0,14.4,172.0,0.137931
2022-01-01 14:00:00,19.9,0.6,1010.4,20.6,96.0,10.8,183.0,0.103448
2022-01-01 15:00:00,20.1,0.3,1010.2,20.8,96.0,9.0,159.0,0.051724
2022-01-01 16:00:00,20.2,0.2,1010.5,21.2,94.0,10.8,171.0,-0.137931
2022-01-01 17:00:00,20.0,0.4,1011.3,20.8,95.0,10.4,155.0,-0.224138
2022-01-01 18:00:00,19.5,0.8,1011.9,20.5,94.0,12.6,148.0,-0.224138
2022-01-01 19:00:00,19.5,0.2,1012.3,21.9,86.0,14.8,148.0,-0.155172
2022-01-01 20:00:00,19.9,0.2,1012.6,22.7,84.0,15.8,134.0,-0.051724
2022-01-01 21:00:00,19.7,0.3,1012.5,22.9,82.0,19.1,147.0,-0.034483
2022-01-01 22:00:00,19.8,0.8,1012.1,22.4,85.0,18.0,151.0,0.12069
2022-01-01 23:00:00,19.9,0.5,1011.3,23.1,82.0,15.8,158.0,0.189655
2022-01-02 00:00:00,19.8,0.4,1009.9,22.8,83.0,20.2,148.0,0.206897
2022-01-02 01:00:00,20.0,0.2,1009.8,22.8,84.0,22.7,156.0,0.189655
2022-01-02 02:00:00,19.7,0.3,1009.8,21.1,92.0,13.7,128.0,0.189655
2022-01-02 03:00:00,19.5,0.2,1010.2,21.8,87.0,14.4,132.0,0.172414
2022-01-02 04:00:00,20.4,0.2,1010.6,21.9,91.0,12.2,138.0,0.172414
2022-01-02 05:00:00,20.6,0.2,1011.0,21.8,93.0,13.3,137.0,0.155172
2022-01-02 06:00:00,20.4,0.6,1012.0,21.6,93.0,10.8,133.0,0.155172
2022-01-02 07:00:00,20.4,0.5,1012.3,21.2,95.0,11.9,139.0,0.155172
2022-01-02 08:00:00,20.6,0.1,1012.4,21.4,95.0,13.7,130.0,0.155172
2022-01-02 09:00:00,20.0,0.2,1012.7,21.0,94.0,13.0,125.0,0.137931
2022-01-02 10:00:00,20.3,0.1,1012.0,21.0,96.0,11.2,127.0,0.137931
2022-01-02 11:00:00,20.2,0.2,1011.6,20.9,96.0,10.8,125.0,0.137931
2022-01-02 12:00:00,20.1,0.1,1011.5,20.6,97.0,14.0,142.0,0.137931
2022-01-02 13:00:00,19.6,0.2,1011.3,20.3,96.0,13.7,146.0,0.155172
2022-01-02 14:00:00,19.2,0.4,1011.3,19.9,96.0,13.7,133.0,0.12069
2022-01-02 15:00:00,19.3,0.2,1011.2,20.1,95.0,10.1,129.0,0.051724
2022-01-02 16:00:00,20.0,0.1,1011.1,20.7,96.0,9.0,137.0,0.068966
