timestamp,p0,p10,p20,p30,p40,p50,p60,p70,p80,p90,p100
2023-06-16T05:00:00.000000Z,0.258621,0.258621,0.258621,0.258621,0.258621,0.258621,0.275862,0.293103,0.344828,0.3964995628737048,0.465517
2023-06-16T06:00:00.000000Z,0.206897,0.224138,0.224138,0.224138,0.224138,0.224138,0.241379,0.258621,0.275862,0.275862,0.293103
2023-06-16T07:00:00.000000Z,0.206897,0.206897,0.224138,0.224138,0.241379,0.275862,0.293103,0.293103,0.310345,0.3712289300354984,0.465517
2023-06-16T08:00:00.000000Z,0.189655,0.20134378720528556,0.206897,0.206897,0.224138,0.241379,0.258621,0.275862,0.293103,0.362069,0.465517
2023-06-16T09:00:00.000000Z,0.155172,0.172414,0.172414,0.189655,0.206897,0.224138,0.258621,0.258621,0.293103,0.344828,0.465517
2023-06-16T10:00:00.000000Z,0.189655,0.189655,0.189655,0.189655,0.206897,0.224138,0.241379,0.275862,0.293103,0.362069,0.465517
2023-06-16T11:00:00.000000Z,0.172414,0.172414,0.172414,0.189655,0.206897,0.224138,0.241379,0.241379,0.241379,0.241379,0.258621
2023-06-16T12:00:00.000000Z,0.258621,0.275862,0.275862,0.275862,0.293103,0.344828,0.37931,0.413793,0.431034,0.482759,0.568966
2023-06-16T13:00:00.000000Z,0.258621,0.275862,0.275862,0.275862,0.293103,0.310345,0.362069,0.431034,0.6199452059992304,0.6621152924816074,1.0
2023-06-16T14:00:00.000000Z,0.224138,0.241379,0.241379,0.241379,0.258621,0.258621,0.275862,0.275862,0.293103,0.344828,0.431034
2023-06-16T15:00:00.000000Z,0.172414,0.172414,0.172414,0.172414,0.189655,0.189655,0.206897,0.241379,0.258621,0.258621,0.258621
2023-06-16T16:00:00.000000Z,0.0,0.017241,0.034483,0.06810390000000105,0.086207,0.12069,0.12069,0.137931,0.155172,0.172414,0.206897
2023-06-16T17:00:00.000000Z,0.0,0.0,0.0,0.024522189987114973,0.051724,0.068966,0.086207,0.12069,0.12069,0.137931,0.155172
2023-06-16T18:00:00.000000Z,0.0,0.0,0.0,0.0,0.034483,0.051724,0.051724,0.068966,0.12069,0.172414,0.241379
2023-06-16T19:00:00.000000Z,0.0,0.0,0.0,0.0038442770270292644,0.04760660051546,0.051724,0.068966,0.103448,0.12069,0.172414,0.206897
2023-06-16T20:00:00.000000Z,0.051724,0.068966,0.103448,0.12069,0.137931,0.155172,0.172414,0.189655,0.206897,0.258621,0.344828
2023-06-16T21:00:00.000000Z,0.017241,0.017241,0.034483,0.051724,0.068966,0.09482749999999952,0.12069,0.1345792246778492,0.155172,0.172414,0.206897
2023-06-16T22:00:00.000000Z,0.12069,0.13033964320274394,0.137931,0.155172,0.172414,0.189655,0.21072737553746737,0.224138,0.241379,0.275862,0.344828
2023-06-16T23:00:00.000000Z,0.12069,0.12069,0.12489893706185112,0.137931,0.155172,0.155172,0.172414,0.206897,0.224138,0.241379,0.241379
2023-06-17T00:00:00.000000Z,0.224138,0.241379,0.241379,0.241379,0.24224109999999896,0.258621,0.293103,0.362069,0.482759,0.635597098567318,1.0
2023-06-17T01:00:00.000000Z,0.2614100724847244,0.310345,0.310345,0.310345,0.310345,0.327586,0.344828,0.362069,0.396552,1.0,1.0
2023-06-17T02:00:00.000000Z,0.275862,0.293103,0.310345,0.327586,0.327586,0.327586,0.344828,0.37931,0.448276,1.0,1.0
2023-06-17T03:00:00.000000Z,0.258621,0.258621,0.275862,0.293103,0.310345,0.327586,0.344828,0.3732756499999997,0.413793,1.0,1.0
2023-06-17T04:00:00.000000Z,0.241379,0.258621,0.275862,0.293103,0.293103,0.293103,0.3084809999999895,0.327586,0.362069,0.37931,0.396552
