DT,prcp,pres,dwpt,wdir,wspd,San_Antonio,rhum,temp
2022-05-30 16:00:00,0.0,1006.0,19.3,170.0,35.3,0.578838,45.0,32.8
2022-05-30 17:00:00,0.0,1005.8,18.9,160.0,22.3,0.606616,44.0,32.8
2022-05-30 18:00:00,0.0,1005.4,18.5,180.0,29.5,0.659866,39.0,34.4
2022-05-30 19:00:00,0.0,1005.4,18.5,180.0,29.5,0.668857,39.0,34.4
2022-05-30 20:00:00,0.0,1004.0,19.1,180.0,24.1,0.724931,38.0,35.6
2022-05-30 21:00:00,0.0,1004.1,17.6,150.0,29.5,0.733518,37.0,34.4
2022-05-30 22:00:00,0.0,1004.1,17.6,150.0,29.5,0.795586,37.0,34.4
2022-05-30 23:00:00,0.0,1003.8,18.3,130.0,33.5,0.846992,41.0,33.3
2022-05-31 00:00:00,0.0,1003.8,18.3,150.0,35.3,0.849239,41.0,33.3
2022-05-31 01:00:00,0.0,1005.6,20.0,130.0,37.1,0.834198,57.0,29.4
2022-05-31 02:00:00,0.0,1006.7,21.1,130.0,37.1,0.802386,67.0,27.8
2022-05-31 03:00:00,0.0,1006.7,21.1,140.0,31.7,0.72787,67.0,27.8
2022-05-31 04:00:00,0.0,1008.3,21.8,140.0,33.5,0.646554,77.0,26.1
2022-05-31 05:00:00,0.0,1008.5,22.2,140.0,25.9,0.570367,79.0,26.1
2022-05-31 06:00:00,0.0,1008.3,22.2,130.0,25.9,0.582815,79.0,26.1
2022-05-31 07:00:00,0.0,1008.3,22.2,130.0,25.9,0.542992,79.0,26.1
2022-05-31 08:00:00,0.0,1008.2,22.2,150.0,18.4,0.518845,79.0,26.1
2022-05-31 09:00:00,0.0,1008.4,21.7,150.0,16.6,0.497176,79.0,25.6
2022-05-31 10:00:00,0.0,1008.6,21.7,150.0,14.8,0.470493,79.0,25.6
2022-05-31 11:00:00,0.0,1009.0,22.3,150.0,20.5,0.497464,82.0,25.6
2022-05-31 12:00:00,0.0,1009.0,22.3,150.0,20.5,0.523974,82.0,25.6
2022-05-31 13:00:00,0.0,1009.0,22.9,150.0,25.9,0.505071,85.0,25.6
2022-05-31 14:00:00,0.0,1009.8,22.1,150.0,22.3,0.516252,65.0,29.4
2022-05-31 15:00:00,0.0,1009.8,21.7,150.0,22.3,0.555901,61.0,30.0
2022-05-31 16:00:00,0.0,1009.5,20.5,150.0,31.7,0.56178,50.0,32.2
2022-05-31 17:00:00,0.0,1009.5,20.5,150.0,33.5,0.60967,50.0,32.2
2022-05-31 18:00:00,0.0,1009.1,19.9,150.0,27.7,0.644306,44.0,33.9
2022-05-31 19:00:00,0.0,1007.9,18.2,150.0,25.9,0.694963,35.0,36.1
2022-05-31 20:00:00,0.0,1007.5,17.8,130.0,27.7,0.733114,34.0,36.1
2022-05-31 21:00:00,0.0,1007.2,17.8,130.0,27.7,0.792704,34.0,36.1
2022-05-31 22:00:00,0.0,1007.0,17.7,130.0,29.5,0.826418,36.0,35.0
2022-05-31 23:00:00,0.0,1007.0,17.7,130.0,29.5,0.866759,36.0,35.0
2022-06-01 00:00:00,0.0,1007.9,19.3,120.0,35.3,0.852063,48.0,31.7
2022-06-01 01:00:00,0.0,1008.6,20.0,130.0,27.7,0.805037,55.0,30.0
2022-06-01 02:00:00,0.0,1009.8,20.6,130.0,29.5,0.793684,63.0,28.3
2022-06-01 03:00:00,0.0,1009.8,20.6,130.0,29.5,0.72787,63.0,28.3
2022-06-01 04:00:00,0.0,1010.9,21.0,130.0,25.9,0.662575,71.0,26.7
2022-06-01 05:00:00,0.0,1011.1,21.7,140.0,22.3,0.590883,79.0,25.6
2022-06-01 06:00:00,0.0,1010.8,22.3,140.0,22.3,0.509509,82.0,25.6
2022-06-01 07:00:00,0.0,1010.8,22.3,150.0,24.1,0.487782,82.0,25.6
