DT,dwpt,prcp,rhum,pres,San_Antonio,temp,wspd,wdir
2022-05-30 16:00:00,19.3,0.0,45.0,1006.0,0.578838,32.8,35.3,170.0
2022-05-30 17:00:00,18.9,0.0,44.0,1005.8,0.606616,32.8,22.3,160.0
2022-05-30 18:00:00,18.5,0.0,39.0,1005.4,0.659866,34.4,29.5,180.0
2022-05-30 19:00:00,18.5,0.0,39.0,1005.4,0.668857,34.4,29.5,180.0
2022-05-30 20:00:00,19.1,0.0,38.0,1004.0,0.724931,35.6,24.1,180.0
2022-05-30 21:00:00,17.6,0.0,37.0,1004.1,0.733518,34.4,29.5,150.0
2022-05-30 22:00:00,17.6,0.0,37.0,1004.1,0.795586,34.4,29.5,150.0
2022-05-30 23:00:00,18.3,0.0,41.0,1003.8,0.846992,33.3,33.5,130.0
2022-05-31 00:00:00,18.3,0.0,41.0,1003.8,0.849239,33.3,35.3,150.0
2022-05-31 01:00:00,20.0,0.0,57.0,1005.6,0.834198,29.4,37.1,130.0
2022-05-31 02:00:00,21.1,0.0,67.0,1006.7,0.802386,27.8,37.1,130.0
2022-05-31 03:00:00,21.1,0.0,67.0,1006.7,0.72787,27.8,31.7,140.0
2022-05-31 04:00:00,21.8,0.0,77.0,1008.3,0.646554,26.1,33.5,140.0
2022-05-31 05:00:00,22.2,0.0,79.0,1008.5,0.570367,26.1,25.9,140.0
2022-05-31 06:00:00,22.2,0.0,79.0,1008.3,0.582815,26.1,25.9,130.0
2022-05-31 07:00:00,22.2,0.0,79.0,1008.3,0.542992,26.1,25.9,130.0
2022-05-31 08:00:00,22.2,0.0,79.0,1008.2,0.518845,26.1,18.4,150.0
2022-05-31 09:00:00,21.7,0.0,79.0,1008.4,0.497176,25.6,16.6,150.0
2022-05-31 10:00:00,21.7,0.0,79.0,1008.6,0.470493,25.6,14.8,150.0
2022-05-31 11:00:00,22.3,0.0,82.0,1009.0,0.497464,25.6,20.5,150.0
2022-05-31 12:00:00,22.3,0.0,82.0,1009.0,0.523974,25.6,20.5,150.0
2022-05-31 13:00:00,22.9,0.0,85.0,1009.0,0.505071,25.6,25.9,150.0
2022-05-31 14:00:00,22.1,0.0,65.0,1009.8,0.516252,29.4,22.3,150.0
2022-05-31 15:00:00,21.7,0.0,61.0,1009.8,0.555901,30.0,22.3,150.0
2022-05-31 16:00:00,20.5,0.0,50.0,1009.5,0.56178,32.2,31.7,150.0
2022-05-31 17:00:00,20.5,0.0,50.0,1009.5,0.60967,32.2,33.5,150.0
2022-05-31 18:00:00,19.9,0.0,44.0,1009.1,0.644306,33.9,27.7,150.0
2022-05-31 19:00:00,18.2,0.0,35.0,1007.9,0.694963,36.1,25.9,150.0
2022-05-31 20:00:00,17.8,0.0,34.0,1007.5,0.733114,36.1,27.7,130.0
2022-05-31 21:00:00,17.8,0.0,34.0,1007.2,0.792704,36.1,27.7,130.0
2022-05-31 22:00:00,17.7,0.0,36.0,1007.0,0.826418,35.0,29.5,130.0
2022-05-31 23:00:00,17.7,0.0,36.0,1007.0,0.866759,35.0,29.5,130.0
2022-06-01 00:00:00,19.3,0.0,48.0,1007.9,0.852063,31.7,35.3,120.0
2022-06-01 01:00:00,20.0,0.0,55.0,1008.6,0.805037,30.0,27.7,130.0
2022-06-01 02:00:00,20.6,0.0,63.0,1009.8,0.793684,28.3,29.5,130.0
2022-06-01 03:00:00,20.6,0.0,63.0,1009.8,0.72787,28.3,29.5,130.0
2022-06-01 04:00:00,21.0,0.0,71.0,1010.9,0.662575,26.7,25.9,130.0
2022-06-01 05:00:00,21.7,0.0,79.0,1011.1,0.590883,25.6,22.3,140.0
2022-06-01 06:00:00,22.3,0.0,82.0,1010.8,0.509509,25.6,22.3,140.0
2022-06-01 07:00:00,22.3,0.0,82.0,1010.8,0.487782,25.6,24.1,150.0
2022-06-01 08:00:00,22.3,0.0,82.0,1010.8,0.465307,25.6,24.1,150.0
2022-06-01 09:00:00,22.3,0.0,82.0,1011.0,0.448479,25.6,16.6,150.0
2022-06-01 10:00:00,22.3,0.0,82.0,1011.0,0.498041,25.6,16.6,150.0
