DT,prcp,dwpt,pres,temp,rhum,wdir,San_Antonio,wspd
2022-05-30 16:00:00,0.0,19.3,1006.0,32.8,45.0,170.0,0.578838,35.3
2022-05-30 17:00:00,0.0,18.9,1005.8,32.8,44.0,160.0,0.606616,22.3
2022-05-30 18:00:00,0.0,18.5,1005.4,34.4,39.0,180.0,0.659866,29.5
2022-05-30 19:00:00,0.0,18.5,1005.4,34.4,39.0,180.0,0.668857,29.5
2022-05-30 20:00:00,0.0,19.1,1004.0,35.6,38.0,180.0,0.724931,24.1
2022-05-30 21:00:00,0.0,17.6,1004.1,34.4,37.0,150.0,0.733518,29.5
2022-05-30 22:00:00,0.0,17.6,1004.1,34.4,37.0,150.0,0.795586,29.5
2022-05-30 23:00:00,0.0,18.3,1003.8,33.3,41.0,130.0,0.846992,33.5
2022-05-31 00:00:00,0.0,18.3,1003.8,33.3,41.0,150.0,0.849239,35.3
2022-05-31 01:00:00,0.0,20.0,1005.6,29.4,57.0,130.0,0.834198,37.1
2022-05-31 02:00:00,0.0,21.1,1006.7,27.8,67.0,130.0,0.802386,37.1
2022-05-31 03:00:00,0.0,21.1,1006.7,27.8,67.0,140.0,0.72787,31.7
2022-05-31 04:00:00,0.0,21.8,1008.3,26.1,77.0,140.0,0.646554,33.5
2022-05-31 05:00:00,0.0,22.2,1008.5,26.1,79.0,140.0,0.570367,25.9
2022-05-31 06:00:00,0.0,22.2,1008.3,26.1,79.0,130.0,0.582815,25.9
2022-05-31 07:00:00,0.0,22.2,1008.3,26.1,79.0,130.0,0.542992,25.9
2022-05-31 08:00:00,0.0,22.2,1008.2,26.1,79.0,150.0,0.518845,18.4
2022-05-31 09:00:00,0.0,21.7,1008.4,25.6,79.0,150.0,0.497176,16.6
2022-05-31 10:00:00,0.0,21.7,1008.6,25.6,79.0,150.0,0.470493,14.8
2022-05-31 11:00:00,0.0,22.3,1009.0,25.6,82.0,150.0,0.497464,20.5
2022-05-31 12:00:00,0.0,22.3,1009.0,25.6,82.0,150.0,0.523974,20.5
2022-05-31 13:00:00,0.0,22.9,1009.0,25.6,85.0,150.0,0.505071,25.9
2022-05-31 14:00:00,0.0,22.1,1009.8,29.4,65.0,150.0,0.516252,22.3
2022-05-31 15:00:00,0.0,21.7,1009.8,30.0,61.0,150.0,0.555901,22.3
2022-05-31 16:00:00,0.0,20.5,1009.5,32.2,50.0,150.0,0.56178,31.7
2022-05-31 17:00:00,0.0,20.5,1009.5,32.2,50.0,150.0,0.60967,33.5
2022-05-31 18:00:00,0.0,19.9,1009.1,33.9,44.0,150.0,0.644306,27.7
2022-05-31 19:00:00,0.0,18.2,1007.9,36.1,35.0,150.0,0.694963,25.9
2022-05-31 20:00:00,0.0,17.8,1007.5,36.1,34.0,130.0,0.733114,27.7
2022-05-31 21:00:00,0.0,17.8,1007.2,36.1,34.0,130.0,0.792704,27.7
2022-05-31 22:00:00,0.0,17.7,1007.0,35.0,36.0,130.0,0.826418,29.5
2022-05-31 23:00:00,0.0,17.7,1007.0,35.0,36.0,130.0,0.866759,29.5
2022-06-01 00:00:00,0.0,19.3,1007.9,31.7,48.0,120.0,0.852063,35.3
