DT,prcp,dwpt,wspd,rhum,wdir,temp,San_Antonio,pres
2022-05-30 16:00:00,0.0,19.3,35.3,45.0,170.0,32.8,0.578838,1006.0
2022-05-30 17:00:00,0.0,18.9,22.3,44.0,160.0,32.8,0.606616,1005.8
2022-05-30 18:00:00,0.0,18.5,29.5,39.0,180.0,34.4,0.659866,1005.4
2022-05-30 19:00:00,0.0,18.5,29.5,39.0,180.0,34.4,0.668857,1005.4
2022-05-30 20:00:00,0.0,19.1,24.1,38.0,180.0,35.6,0.724931,1004.0
2022-05-30 21:00:00,0.0,17.6,29.5,37.0,150.0,34.4,0.733518,1004.1
2022-05-30 22:00:00,0.0,17.6,29.5,37.0,150.0,34.4,0.795586,1004.1
2022-05-30 23:00:00,0.0,18.3,33.5,41.0,130.0,33.3,0.846992,1003.8
2022-05-31 00:00:00,0.0,18.3,35.3,41.0,150.0,33.3,0.849239,1003.8
2022-05-31 01:00:00,0.0,20.0,37.1,57.0,130.0,29.4,0.834198,1005.6
2022-05-31 02:00:00,0.0,21.1,37.1,67.0,130.0,27.8,0.802386,1006.7
2022-05-31 03:00:00,0.0,21.1,31.7,67.0,140.0,27.8,0.72787,1006.7
2022-05-31 04:00:00,0.0,21.8,33.5,77.0,140.0,26.1,0.646554,1008.3
2022-05-31 05:00:00,0.0,22.2,25.9,79.0,140.0,26.1,0.570367,1008.5
2022-05-31 06:00:00,0.0,22.2,25.9,79.0,130.0,26.1,0.582815,1008.3
2022-05-31 07:00:00,0.0,22.2,25.9,79.0,130.0,26.1,0.542992,1008.3
2022-05-31 08:00:00,0.0,22.2,18.4,79.0,150.0,26.1,0.518845,1008.2
2022-05-31 09:00:00,0.0,21.7,16.6,79.0,150.0,25.6,0.497176,1008.4
2022-05-31 10:00:00,0.0,21.7,14.8,79.0,150.0,25.6,0.470493,1008.6
2022-05-31 11:00:00,0.0,22.3,20.5,82.0,150.0,25.6,0.497464,1009.0
2022-05-31 12:00:00,0.0,22.3,20.5,82.0,150.0,25.6,0.523974,1009.0
2022-05-31 13:00:00,0.0,22.9,25.9,85.0,150.0,25.6,0.505071,1009.0
2022-05-31 14:00:00,0.0,22.1,22.3,65.0,150.0,29.4,0.516252,1009.8
2022-05-31 15:00:00,0.0,21.7,22.3,61.0,150.0,30.0,0.555901,1009.8
2022-05-31 16:00:00,0.0,20.5,31.7,50.0,150.0,32.2,0.56178,1009.5
2022-05-31 17:00:00,0.0,20.5,33.5,50.0,150.0,32.2,0.60967,1009.5
2022-05-31 18:00:00,0.0,19.9,27.7,44.0,150.0,33.9,0.644306,1009.1
2022-05-31 19:00:00,0.0,18.2,25.9,35.0,150.0,36.1,0.694963,1007.9
2022-05-31 20:00:00,0.0,17.8,27.7,34.0,130.0,36.1,0.733114,1007.5
2022-05-31 21:00:00,0.0,17.8,27.7,34.0,130.0,36.1,0.792704,1007.2
