DT,pres,dwpt,prcp,rhum,wspd,wdir,temp
2022-05-30 00:00:00,1002.1,21.0,0.0,55.0,33.5,140.0,31.1
2022-05-30 01:00:00,1002.8,21.7,0.0,65.0,37.1,130.0,28.9
2022-05-30 02:00:00,1003.6,21.7,0.0,65.0,31.7,130.0,27.2
2022-05-30 03:00:00,1003.6,16.2,0.0,51.0,31.7,130.0,27.2
2022-05-30 04:00:00,1005.0,21.7,0.0,79.0,27.7,150.0,25.6
2022-05-30 05:00:00,1004.9,21.1,0.0,76.0,27.7,150.0,25.6
2022-05-30 06:00:00,1004.8,21.1,0.0,76.0,22.3,150.0,25.6
2022-05-30 07:00:00,1004.8,21.1,0.0,76.0,22.3,160.0,25.6
2022-05-30 08:00:00,1004.8,21.1,0.0,76.0,22.3,160.0,25.6
2022-05-30 09:00:00,1004.5,21.1,0.0,76.0,24.1,150.0,25.6
2022-05-30 10:00:00,1004.5,21.1,0.0,76.0,27.7,170.0,25.6
2022-05-30 11:00:00,1005.1,21.1,0.0,76.0,16.6,170.0,25.6
2022-05-30 12:00:00,1005.4,21.8,0.0,77.0,16.6,150.0,26.1
2022-05-30 13:00:00,1005.4,21.8,0.0,77.0,16.6,150.0,26.1
2022-05-30 14:00:00,1006.0,21.1,0.0,61.0,31.7,170.0,29.4
2022-05-30 15:00:00,1006.0,20.7,0.0,54.0,33.5,160.0,31.1
2022-05-30 16:00:00,1005.7,20.1,0.0,49.0,35.3,150.0,32.2
2022-05-30 17:00:00,1005.7,20.1,0.0,49.0,27.7,160.0,32.2
2022-05-30 18:00:00,1004.8,20.2,0.0,42.0,31.7,140.0,35.0
2022-05-30 19:00:00,1004.1,19.1,0.0,38.0,29.5,180.0,35.6
2022-05-30 20:00:00,1003.4,16.8,0.0,32.0,22.3,170.0,36.1
2022-05-30 21:00:00,1003.4,19.0,0.0,39.0,33.5,170.0,35.0
2022-05-30 22:00:00,1003.4,19.0,0.0,39.0,27.7,150.0,35.0
2022-05-30 23:00:00,1003.5,19.4,0.0,44.0,25.9,140.0,33.3
2022-05-31 00:00:00,1004.1,20.1,0.0,52.0,35.3,130.0,31.1
2022-05-31 01:00:00,1005.4,20.6,0.0,59.0,27.7,140.0,29.4
2022-05-31 02:00:00,1006.5,21.8,0.0,68.0,27.7,140.0,28.3
2022-05-31 03:00:00,1006.5,21.8,0.0,68.0,33.5,140.0,28.3
2022-05-31 04:00:00,1007.9,22.1,0.0,76.0,20.5,140.0,26.7
2022-05-31 05:00:00,1008.1,22.2,0.0,79.0,16.6,140.0,26.1
2022-05-31 06:00:00,1008.0,22.2,0.0,79.0,20.5,140.0,26.1
2022-05-31 07:00:00,1008.0,22.2,0.0,79.0,20.5,140.0,26.1
2022-05-31 08:00:00,1007.9,22.3,0.0,85.0,11.2,150.0,25.0
2022-05-31 09:00:00,1008.0,22.3,0.0,85.0,9.4,150.0,25.0
2022-05-31 10:00:00,1008.0,22.3,0.0,85.0,9.4,150.0,25.0
2022-05-31 11:00:00,1008.7,22.3,0.0,85.0,11.2,140.0,25.0
2022-05-31 12:00:00,1008.7,22.3,0.0,85.0,11.2,140.0,25.0
2022-05-31 13:00:00,1009.3,22.2,0.0,74.0,13.0,150.0,27.2
2022-05-31 14:00:00,1009.3,22.7,0.0,65.0,22.3,140.0,30.0
2022-05-31 15:00:00,1009.3,22.7,0.0,65.0,22.3,140.0,30.0
2022-05-31 16:00:00,1008.9,21.0,0.0,50.0,22.3,170.0,32.8
2022-05-31 17:00:00,1008.9,21.0,0.0,50.0,22.3,170.0,32.8
2022-05-31 18:00:00,1007.9,20.2,0.0,42.0,20.5,150.0,35.0
2022-05-31 19:00:00,1007.2,19.9,0.0,40.0,25.9,150.0,35.6
