DT,dwpt,prcp,pres,temp,wdir,rhum,wspd
2022-05-30 00:00:00,16.9,0.0,1002.0,32.7,150.0,39.0,33.5
2022-05-30 01:00:00,19.8,0.0,1003.5,28.0,150.0,61.0,37.1
2022-05-30 02:00:00,19.8,0.0,1003.5,28.0,150.0,61.0,29.5
2022-05-30 03:00:00,21.5,0.0,1004.5,26.1,140.0,76.0,29.5
2022-05-30 04:00:00,22.0,0.0,1005.2,24.9,150.0,84.0,22.3
2022-05-30 05:00:00,21.9,0.0,1005.5,24.8,150.0,84.0,31.7
2022-05-30 06:00:00,21.5,0.0,1005.4,24.8,150.0,82.0,29.5
2022-05-30 07:00:00,21.3,0.0,1005.4,24.8,160.0,81.0,25.9
2022-05-30 08:00:00,21.3,0.0,1005.4,24.8,160.0,81.0,20.5
2022-05-30 09:00:00,21.1,0.0,1005.0,25.0,170.0,79.0,25.9
2022-05-30 10:00:00,21.1,0.0,1004.7,24.8,170.0,80.0,27.7
2022-05-30 11:00:00,21.1,0.0,1004.7,24.8,170.0,80.0,22.3
2022-05-30 12:00:00,21.5,0.0,1005.8,25.4,170.0,79.0,24.1
2022-05-30 13:00:00,21.5,0.2,1005.8,25.4,170.0,79.0,24.1
2022-05-30 14:00:00,21.4,0.2,1006.5,26.2,170.0,75.0,31.7
2022-05-30 15:00:00,21.3,0.1,1006.5,27.7,180.0,68.0,27.7
2022-05-30 16:00:00,20.7,0.0,1006.6,28.4,180.0,63.0,25.9
2022-05-30 17:00:00,20.0,0.0,1006.5,30.0,190.0,55.0,22.3
2022-05-30 18:00:00,19.1,0.0,1005.8,32.2,150.0,46.0,33.5
2022-05-30 19:00:00,17.9,0.0,1004.7,34.3,160.0,38.0,20.5
2022-05-30 20:00:00,17.9,0.0,1004.7,34.3,160.0,38.0,20.5
2022-05-30 21:00:00,18.1,0.0,1004.4,33.6,140.0,40.0,33.5
2022-05-30 22:00:00,17.2,0.0,1004.4,33.4,140.0,38.0,29.5
2022-05-30 23:00:00,17.2,0.0,1004.4,33.4,140.0,38.0,29.5
2022-05-31 00:00:00,18.3,0.0,1004.4,32.1,140.0,44.0,33.5
2022-05-31 01:00:00,20.4,0.0,1006.2,28.1,140.0,63.0,25.9
