DT,prcp,dwpt,pres,temp,rhum,wdir,wspd
2022-05-30 00:00:00,0.0,21.0,1002.1,31.1,55.0,140.0,33.5
2022-05-30 01:00:00,0.0,21.7,1002.8,28.9,65.0,130.0,37.1
2022-05-30 02:00:00,0.0,21.7,1003.6,27.2,65.0,130.0,31.7
2022-05-30 03:00:00,0.0,16.2,1003.6,27.2,51.0,130.0,31.7
2022-05-30 04:00:00,0.0,21.7,1005.0,25.6,79.0,150.0,27.7
2022-05-30 05:00:00,0.0,21.1,1004.9,25.6,76.0,150.0,27.7
2022-05-30 06:00:00,0.0,21.1,1004.8,25.6,76.0,150.0,22.3
2022-05-30 07:00:00,0.0,21.1,1004.8,25.6,76.0,160.0,22.3
2022-05-30 08:00:00,0.0,21.1,1004.8,25.6,76.0,160.0,22.3
2022-05-30 09:00:00,0.0,21.1,1004.5,25.6,76.0,150.0,24.1
2022-05-30 10:00:00,0.0,21.1,1004.5,25.6,76.0,170.0,27.7
2022-05-30 11:00:00,0.0,21.1,1005.1,25.6,76.0,170.0,16.6
2022-05-30 12:00:00,0.0,21.8,1005.4,26.1,77.0,150.0,16.6
2022-05-30 13:00:00,0.0,21.8,1005.4,26.1,77.0,150.0,16.6
2022-05-30 14:00:00,0.0,21.1,1006.0,29.4,61.0,170.0,31.7
2022-05-30 15:00:00,0.0,20.7,1006.0,31.1,54.0,160.0,33.5
2022-05-30 16:00:00,0.0,20.1,1005.7,32.2,49.0,150.0,35.3
2022-05-30 17:00:00,0.0,20.1,1005.7,32.2,49.0,160.0,27.7
2022-05-30 18:00:00,0.0,20.2,1004.8,35.0,42.0,140.0,31.7
2022-05-30 19:00:00,0.0,19.1,1004.1,35.6,38.0,180.0,29.5
2022-05-30 20:00:00,0.0,16.8,1003.4,36.1,32.0,170.0,22.3
2022-05-30 21:00:00,0.0,19.0,1003.4,35.0,39.0,170.0,33.5
2022-05-30 22:00:00,0.0,19.0,1003.4,35.0,39.0,150.0,27.7
2022-05-30 23:00:00,0.0,19.4,1003.5,33.3,44.0,140.0,25.9
2022-05-31 00:00:00,0.0,20.1,1004.1,31.1,52.0,130.0,35.3
2022-05-31 01:00:00,0.0,20.6,1005.4,29.4,59.0,140.0,27.7
2022-05-31 02:00:00,0.0,21.8,1006.5,28.3,68.0,140.0,27.7
2022-05-31 03:00:00,0.0,21.8,1006.5,28.3,68.0,140.0,33.5
2022-05-31 04:00:00,0.0,22.1,1007.9,26.7,76.0,140.0,20.5
2022-05-31 05:00:00,0.0,22.2,1008.1,26.1,79.0,140.0,16.6
2022-05-31 06:00:00,0.0,22.2,1008.0,26.1,79.0,140.0,20.5
2022-05-31 07:00:00,0.0,22.2,1008.0,26.1,79.0,140.0,20.5
2022-05-31 08:00:00,0.0,22.3,1007.9,25.0,85.0,150.0,11.2
2022-05-31 09:00:00,0.0,22.3,1008.0,25.0,85.0,150.0,9.4
2022-05-31 10:00:00,0.0,22.3,1008.0,25.0,85.0,150.0,9.4
2022-05-31 11:00:00,0.0,22.3,1008.7,25.0,85.0,140.0,11.2
2022-05-31 12:00:00,0.0,22.3,1008.7,25.0,85.0,140.0,11.2
2022-05-31 13:00:00,0.0,22.2,1009.3,27.2,74.0,150.0,13.0
2022-05-31 14:00:00,0.0,22.7,1009.3,30.0,65.0,140.0,22.3
2022-05-31 15:00:00,0.0,22.7,1009.3,30.0,65.0,140.0,22.3
2022-05-31 16:00:00,0.0,21.0,1008.9,32.8,50.0,170.0,22.3
2022-05-31 17:00:00,0.0,21.0,1008.9,32.8,50.0,170.0,22.3
2022-05-31 18:00:00,0.0,20.2,1007.9,35.0,42.0,150.0,20.5
2022-05-31 19:00:00,0.0,19.9,1007.2,35.6,40.0,150.0,25.9
2022-05-31 20:00:00,0.0,17.8,1006.8,36.1,34.0,140.0,25.9
2022-05-31 21:00:00,0.0,17.8,1006.5,36.1,34.0,140.0,25.9
2022-05-31 22:00:00,0.0,19.0,1006.5,36.1,37.0,130.0,33.5
2022-05-31 23:00:00,0.0,19.3,1006.8,34.4,41.0,130.0,25.9
2022-06-01 00:00:00,0.0,20.6,1007.6,31.7,52.0,130.0,27.7
2022-06-01 01:00:00,0.0,20.6,1008.2,30.0,57.0,130.0,27.7
2022-06-01 02:00:00,0.0,21.8,1009.5,28.3,68.0,130.0,27.7
2022-06-01 03:00:00,0.0,21.8,1009.5,28.3,68.0,130.0,27.7
2022-06-01 04:00:00,0.0,22.1,1010.6,26.7,76.0,130.0,20.5
2022-06-01 05:00:00,0.0,22.3,1010.5,25.6,82.0,130.0,14.8
2022-06-01 06:00:00,0.0,22.8,1010.3,26.1,82.0,140.0,24.1
2022-06-01 07:00:00,0.0,22.8,1010.3,26.1,82.0,140.0,24.1
2022-06-01 08:00:00,0.0,22.9,1010.4,25.6,85.0,160.0,11.2
2022-06-01 09:00:00,0.0,22.9,1010.5,25.6,85.0,130.0,9.4
2022-06-01 10:00:00,0.0,22.9,1010.7,25.0,88.0,120.0,9.4
2022-06-01 11:00:00,0.0,22.9,1010.7,25.6,85.0,130.0,7.6
2022-06-01 12:00:00,0.0,22.9,1013.0,25.6,85.0,130.0,7.6
2022-06-01 13:00:00,0.0,23.2,1011.5,27.2,79.0,140.0,14.8
2022-06-01 14:00:00,0.0,22.7,1011.5,27.8,74.0,140.0,14.8
2022-06-01 15:00:00,0.0,21.6,1011.5,31.1,57.0,130.0,18.4
2022-06-01 16:00:00,0.0,21.6,1011.5,31.1,57.0,130.0,18.4
2022-06-01 17:00:00,0.0,21.8,1012.0,33.3,51.0,130.0,24.1
2022-06-01 18:00:00,0.0,20.2,1009.5,35.0,42.0,140.0,11.2
2022-06-01 19:00:00,0.0,17.8,1008.7,36.7,33.0,170.0,14.8
2022-06-01 20:00:00,0.0,18.2,1008.2,36.1,35.0,150.0,16.6
2022-06-01 21:00:00,0.0,18.2,1008.2,36.1,35.0,150.0,16.6
2022-06-01 22:00:00,0.0,20.6,1008.2,35.0,43.0,110.0,18.4
2022-06-01 23:00:00,0.0,21.7,1006.6,32.8,52.0,110.0,27.7
2022-06-02 00:00:00,0.0,20.6,1007.3,31.7,52.0,120.0,22.3
2022-06-02 01:00:00,0.0,20.6,1009.2,30.0,57.0,130.0,27.7
2022-06-02 02:00:00,0.0,20.6,1009.2,30.0,57.0,130.0,27.7
2022-06-02 03:00:00,0.0,20.5,1012.4,27.2,67.0,130.0,18.4
2022-06-02 04:00:00,0.0,21.8,1012.0,26.1,77.0,140.0,16.6
2022-06-02 05:00:00,0.0,21.8,1012.0,26.1,77.0,140.0,16.6
2022-06-02 06:00:00,0.0,21.1,1012.3,26.1,74.0,170.0,13.0
2022-06-02 07:00:00,0.0,21.1,1012.5,26.1,74.0,160.0,13.0
2022-06-02 08:00:00,0.0,21.7,1011.7,24.4,85.0,130.0,11.2
2022-06-02 09:00:00,0.0,21.0,1011.4,23.9,84.0,160.0,9.4
2022-06-02 10:00:00,0.0,21.8,1011.7,23.9,88.0,0.0,0.0
2022-06-02 11:00:00,0.0,21.1,1011.8,22.8,90.0,160.0,5.4
2022-06-02 12:00:00,0.0,22.3,1012.5,25.0,85.0,120.0,7.6
2022-06-02 13:00:00,0.0,22.3,1012.5,25.0,85.0,120.0,7.6
2022-06-02 14:00:00,0.0,22.1,1013.4,26.7,76.0,0.0,0.0
2022-06-02 15:00:00,0.0,21.8,1013.6,29.4,68.0,30.0,5.4
2022-06-02 16:00:00,0.0,20.0,1013.1,31.7,50.0,30.0,9.4
2022-06-02 17:00:00,0.0,20.1,1012.5,32.2,49.0,0.0,0.0
2022-06-02 18:00:00,0.0,20.1,1012.5,32.2,49.0,0.0,0.0
2022-06-02 19:00:00,0.0,17.6,1010.6,34.4,37.0,60.0,18.4
2022-06-02 20:00:00,0.0,18.9,1009.8,34.4,40.0,90.0,13.0
2022-06-02 21:00:00,0.0,17.6,1009.2,34.4,37.0,90.0,13.0
2022-06-02 22:00:00,0.0,17.6,1009.2,34.4,37.0,90.0,13.0
2022-06-02 23:00:00,0.0,18.4,1008.4,33.9,40.0,90.0,11.2
2022-06-03 00:00:00,0.0,18.3,1008.2,33.3,41.0,70.0,16.6
2022-06-03 01:00:00,0.0,18.0,1008.4,31.7,44.0,80.0,14.8
2022-06-03 02:00:00,0.0,19.4,1009.8,30.0,53.0,80.0,11.2
2022-06-03 03:00:00,0.0,19.4,1009.8,30.0,53.0,80.0,11.2
2022-06-03 04:00:00,0.0,19.5,1011.4,28.3,59.0,100.0,14.8
2022-06-03 05:00:00,0.0,19.3,1011.9,27.8,60.0,90.0,13.0
2022-06-03 06:00:00,0.0,19.3,1011.9,27.2,62.0,90.0,7.6
2022-06-03 07:00:00,0.0,19.3,1011.9,27.2,62.0,90.0,7.6
2022-06-03 08:00:00,0.0,19.3,1010.6,26.7,64.0,90.0,5.4
2022-06-03 09:00:00,0.0,20.7,1010.7,26.1,72.0,0.0,0.0
2022-06-03 10:00:00,0.0,20.6,1011.2,25.6,74.0,60.0,5.4
2022-06-03 11:00:00,0.0,20.0,1011.3,25.6,71.0,80.0,7.6
2022-06-03 12:00:00,0.0,20.0,1011.3,25.6,71.0,80.0,7.6
2022-06-03 13:00:00,0.0,20.5,1011.9,26.7,69.0,100.0,11.2
