DT,prcp,pres,wdir,wspd,dwpt,rhum,temp
2022-05-30 00:00:00,0.0,1002.0,150.0,33.5,16.9,39.0,32.7
2022-05-30 01:00:00,0.0,1003.5,150.0,37.1,19.8,61.0,28.0
2022-05-30 02:00:00,0.0,1003.5,150.0,29.5,19.8,61.0,28.0
2022-05-30 03:00:00,0.0,1004.5,140.0,29.5,21.5,76.0,26.1
2022-05-30 04:00:00,0.0,1005.2,150.0,22.3,22.0,84.0,24.9
2022-05-30 05:00:00,0.0,1005.5,150.0,31.7,21.9,84.0,24.8
2022-05-30 06:00:00,0.0,1005.4,150.0,29.5,21.5,82.0,24.8
2022-05-30 07:00:00,0.0,1005.4,160.0,25.9,21.3,81.0,24.8
2022-05-30 08:00:00,0.0,1005.4,160.0,20.5,21.3,81.0,24.8
2022-05-30 09:00:00,0.0,1005.0,170.0,25.9,21.1,79.0,25.0
2022-05-30 10:00:00,0.0,1004.7,170.0,27.7,21.1,80.0,24.8
2022-05-30 11:00:00,0.0,1004.7,170.0,22.3,21.1,80.0,24.8
2022-05-30 12:00:00,0.0,1005.8,170.0,24.1,21.5,79.0,25.4
2022-05-30 13:00:00,0.2,1005.8,170.0,24.1,21.5,79.0,25.4
2022-05-30 14:00:00,0.2,1006.5,170.0,31.7,21.4,75.0,26.2
2022-05-30 15:00:00,0.1,1006.5,180.0,27.7,21.3,68.0,27.7
2022-05-30 16:00:00,0.0,1006.6,180.0,25.9,20.7,63.0,28.4
2022-05-30 17:00:00,0.0,1006.5,190.0,22.3,20.0,55.0,30.0
2022-05-30 18:00:00,0.0,1005.8,150.0,33.5,19.1,46.0,32.2
2022-05-30 19:00:00,0.0,1004.7,160.0,20.5,17.9,38.0,34.3
2022-05-30 20:00:00,0.0,1004.7,160.0,20.5,17.9,38.0,34.3
2022-05-30 21:00:00,0.0,1004.4,140.0,33.5,18.1,40.0,33.6
2022-05-30 22:00:00,0.0,1004.4,140.0,29.5,17.2,38.0,33.4
2022-05-30 23:00:00,0.0,1004.4,140.0,29.5,17.2,38.0,33.4
2022-05-31 00:00:00,0.0,1004.4,140.0,33.5,18.3,44.0,32.1
2022-05-31 01:00:00,0.0,1006.2,140.0,25.9,20.4,63.0,28.1
2022-05-31 02:00:00,0.0,1007.2,140.0,25.9,21.2,71.0,26.9
2022-05-31 03:00:00,0.0,1007.2,150.0,27.7,21.2,71.0,26.9
2022-05-31 04:00:00,0.0,1008.5,150.0,18.4,22.8,86.0,25.3
2022-05-31 05:00:00,0.0,1008.8,150.0,22.3,22.9,86.0,25.4
2022-05-31 06:00:00,0.0,1008.8,160.0,22.3,22.9,90.0,24.7
2022-05-31 07:00:00,0.0,1008.8,160.0,22.3,22.9,90.0,24.7
2022-05-31 08:00:00,0.0,1008.5,150.0,14.8,22.7,92.0,24.1
2022-05-31 09:00:00,0.1,1008.8,150.0,16.6,23.2,93.0,24.4
2022-05-31 10:00:00,0.0,1008.8,170.0,9.4,23.4,96.0,24.1
2022-05-31 11:00:00,0.0,1008.8,170.0,9.4,23.4,96.0,24.1
2022-05-31 12:00:00,0.0,1009.2,150.0,9.4,23.6,99.0,23.8
2022-05-31 13:00:00,0.2,1009.6,160.0,14.8,23.7,92.0,25.1
2022-05-31 14:00:00,0.1,1009.9,160.0,24.1,23.4,85.0,26.1
2022-05-31 15:00:00,0.1,1009.9,160.0,24.1,22.0,63.0,29.8
2022-05-31 16:00:00,0.0,1009.9,170.0,20.5,20.6,54.0,31.0
2022-05-31 17:00:00,0.0,1009.9,170.0,20.5,20.6,54.0,31.0
2022-05-31 18:00:00,0.0,1009.5,170.0,14.8,20.4,51.0,31.8
2022-05-31 19:00:00,0.0,1008.8,140.0,24.1,20.2,44.0,34.2
2022-05-31 20:00:00,0.0,1008.4,150.0,25.9,18.2,38.0,34.6
2022-05-31 21:00:00,0.0,1008.1,150.0,24.1,18.0,36.0,35.3
2022-05-31 22:00:00,0.0,1007.5,140.0,27.7,17.6,35.0,34.3
2022-05-31 23:00:00,0.0,1007.5,140.0,27.7,17.1,36.0,34.3
2022-06-01 00:00:00,0.0,1007.9,130.0,31.7,18.3,42.0,32.9
2022-06-01 01:00:00,0.0,1008.5,140.0,25.9,19.4,51.0,30.7
2022-06-01 02:00:00,0.0,1010.2,140.0,18.4,21.0,68.0,27.4
2022-06-01 03:00:00,0.0,1010.2,140.0,18.4,21.0,68.0,27.4
2022-06-01 04:00:00,0.0,1011.3,140.0,14.8,22.7,86.0,25.2
2022-06-01 05:00:00,0.0,1011.3,140.0,20.5,23.1,89.0,25.0
2022-06-01 06:00:00,0.0,1010.8,140.0,22.3,23.4,92.0,24.8
2022-06-01 07:00:00,0.0,1011.2,140.0,22.3,23.8,96.0,24.5
2022-06-01 08:00:00,0.0,1011.2,160.0,20.5,23.8,96.0,24.5
2022-06-01 09:00:00,0.0,1011.2,160.0,13.0,23.6,94.0,24.6
2022-06-01 10:00:00,0.0,1011.2,160.0,13.0,23.6,94.0,24.6
2022-06-01 11:00:00,0.0,1011.2,150.0,11.2,23.9,96.0,24.6
2022-06-01 12:00:00,0.0,1011.5,160.0,11.2,24.4,99.0,24.6
2022-06-01 13:00:00,0.1,1011.9,150.0,13.0,24.7,98.0,25.0
2022-06-01 14:00:00,0.0,1012.7,160.0,13.0,23.1,78.0,27.3
2022-06-01 15:00:00,0.2,1012.7,160.0,13.0,23.1,78.0,27.3
2022-06-01 16:00:00,0.0,1011.9,160.0,18.4,21.7,56.0,31.5
2022-06-01 17:00:00,0.0,1011.9,160.0,18.4,21.7,56.0,31.5
2022-06-01 18:00:00,0.2,1011.2,140.0,14.8,21.0,53.0,31.8
2022-06-01 19:00:00,0.1,1009.8,170.0,16.6,19.0,40.0,34.6
2022-06-01 20:00:00,1.5,1010.2,170.0,16.6,20.9,49.0,33.0
2022-06-01 21:00:00,1.1,1009.9,110.0,27.7,22.0,56.0,31.9
2022-06-01 22:00:00,0.1,1009.9,110.0,27.7,22.0,56.0,31.9
2022-06-01 23:00:00,0.0,1008.5,120.0,27.7,21.3,55.0,31.4
