DT,prcp,dwpt,rhum,pres,temp,wdir,wspd,San_Antonio
2022-05-30 16:00:00,0.0,19.3,45.0,1006.0,32.8,170.0,35.3,0.578838
2022-05-30 17:00:00,0.0,18.9,44.0,1005.8,32.8,160.0,22.3,0.606616
2022-05-30 18:00:00,0.0,18.5,39.0,1005.4,34.4,180.0,29.5,0.659866
2022-05-30 19:00:00,0.0,18.5,39.0,1005.4,34.4,180.0,29.5,0.668857
2022-05-30 20:00:00,0.0,19.1,38.0,1004.0,35.6,180.0,24.1,0.724931
2022-05-30 21:00:00,0.0,17.6,37.0,1004.1,34.4,150.0,29.5,0.733518
2022-05-30 22:00:00,0.0,17.6,37.0,1004.1,34.4,150.0,29.5,0.795586
2022-05-30 23:00:00,0.0,18.3,41.0,1003.8,33.3,130.0,33.5,0.846992
2022-05-31 00:00:00,0.0,18.3,41.0,1003.8,33.3,150.0,35.3,0.849239
2022-05-31 01:00:00,0.0,20.0,57.0,1005.6,29.4,130.0,37.1,0.834198
2022-05-31 02:00:00,0.0,21.1,67.0,1006.7,27.8,130.0,37.1,0.802386
2022-05-31 03:00:00,0.0,21.1,67.0,1006.7,27.8,140.0,31.7,0.72787
2022-05-31 04:00:00,0.0,21.8,77.0,1008.3,26.1,140.0,33.5,0.646554
2022-05-31 05:00:00,0.0,22.2,79.0,1008.5,26.1,140.0,25.9,0.570367
2022-05-31 06:00:00,0.0,22.2,79.0,1008.3,26.1,130.0,25.9,0.582815
2022-05-31 07:00:00,0.0,22.2,79.0,1008.3,26.1,130.0,25.9,0.542992
2022-05-31 08:00:00,0.0,22.2,79.0,1008.2,26.1,150.0,18.4,0.518845
2022-05-31 09:00:00,0.0,21.7,79.0,1008.4,25.6,150.0,16.6,0.497176
2022-05-31 10:00:00,0.0,21.7,79.0,1008.6,25.6,150.0,14.8,0.470493
2022-05-31 11:00:00,0.0,22.3,82.0,1009.0,25.6,150.0,20.5,0.497464
2022-05-31 12:00:00,0.0,22.3,82.0,1009.0,25.6,150.0,20.5,0.523974
2022-05-31 13:00:00,0.0,22.9,85.0,1009.0,25.6,150.0,25.9,0.505071
2022-05-31 14:00:00,0.0,22.1,65.0,1009.8,29.4,150.0,22.3,0.516252
2022-05-31 15:00:00,0.0,21.7,61.0,1009.8,30.0,150.0,22.3,0.555901
2022-05-31 16:00:00,0.0,20.5,50.0,1009.5,32.2,150.0,31.7,0.56178
2022-05-31 17:00:00,0.0,20.5,50.0,1009.5,32.2,150.0,33.5,0.60967
2022-05-31 18:00:00,0.0,19.9,44.0,1009.1,33.9,150.0,27.7,0.644306
2022-05-31 19:00:00,0.0,18.2,35.0,1007.9,36.1,150.0,25.9,0.694963
2022-05-31 20:00:00,0.0,17.8,34.0,1007.5,36.1,130.0,27.7,0.733114
2022-05-31 21:00:00,0.0,17.8,34.0,1007.2,36.1,130.0,27.7,0.792704
2022-05-31 22:00:00,0.0,17.7,36.0,1007.0,35.0,130.0,29.5,0.826418
2022-05-31 23:00:00,0.0,17.7,36.0,1007.0,35.0,130.0,29.5,0.866759
2022-06-01 00:00:00,0.0,19.3,48.0,1007.9,31.7,120.0,35.3,0.852063
2022-06-01 01:00:00,0.0,20.0,55.0,1008.6,30.0,130.0,27.7,0.805037
2022-06-01 02:00:00,0.0,20.6,63.0,1009.8,28.3,130.0,29.5,0.793684
2022-06-01 03:00:00,0.0,20.6,63.0,1009.8,28.3,130.0,29.5,0.72787
2022-06-01 04:00:00,0.0,21.0,71.0,1010.9,26.7,130.0,25.9,0.662575
