DT,prcp,pres,dwpt,rhum,temp,wdir,wspd,Waianae
2022-05-31 10:00:00,0.0,1016.7,20.2,82.0,23.4,67.0,9.4,0.565957
2022-05-31 11:00:00,0.0,1016.2,20.2,84.0,23.1,69.0,8.3,0.517447
2022-05-31 12:00:00,0.0,1015.6,20.4,87.0,22.7,63.0,7.2,0.482553
2022-05-31 13:00:00,0.0,1015.1,20.5,88.0,22.6,66.0,7.2,0.462979
2022-05-31 14:00:00,0.0,1015.2,20.4,87.0,22.7,59.0,6.8,0.464681
2022-05-31 15:00:00,0.0,1015.2,20.5,89.0,22.4,60.0,6.5,0.467234
2022-05-31 16:00:00,0.0,1015.7,20.5,90.0,22.2,56.0,6.1,0.470638
2022-05-31 17:00:00,0.0,1016.0,18.9,75.0,23.6,69.0,10.4,0.344681
2022-05-31 18:00:00,0.0,1016.2,18.2,64.0,25.5,81.0,12.6,0.422128
2022-05-31 19:00:00,0.0,1016.3,16.6,53.0,27.0,94.0,14.4,0.257021
2022-05-31 20:00:00,0.0,1016.2,15.8,47.0,28.2,97.0,15.5,-0.0842552
2022-05-31 21:00:00,0.0,1015.9,15.3,43.0,29.2,98.0,15.8,-0.05617
2022-05-31 22:00:00,0.0,1015.6,14.6,39.0,30.1,98.0,15.8,0.00936176
2022-05-31 23:00:00,0.0,1015.2,14.8,38.0,30.8,104.0,14.8,0.0987235
2022-06-01 00:00:00,0.0,1014.9,16.4,44.0,30.0,93.0,14.8,0.206809
2022-06-01 01:00:00,0.0,1014.8,17.4,50.0,28.9,74.0,14.4,0.409362
2022-06-01 02:00:00,0.0,1014.7,17.4,52.0,28.2,62.0,13.0,0.165107
2022-06-01 03:00:00,0.0,1014.9,16.9,53.0,27.3,60.0,11.9,0.332766
2022-06-01 04:00:00,0.0,1015.2,17.0,57.0,26.2,68.0,13.3,0.618723
2022-06-01 05:00:00,0.0,1015.7,18.1,66.0,24.9,69.0,14.4,0.80766
2022-06-01 06:00:00,0.0,1016.7,19.5,75.0,24.2,64.0,13.3,0.838298
2022-06-01 07:00:00,0.0,1017.3,19.9,79.0,23.8,64.0,11.9,0.811915
2022-06-01 08:00:00,0.0,1017.7,20.3,82.0,23.6,67.0,11.5,0.741277
2022-06-01 09:00:00,0.0,1017.8,20.6,85.0,23.3,66.0,11.2,0.655319
