DT,prcp,dwpt,pres,wdir,rhum,wspd,Waianae,temp
2022-05-31 10:00:00,0.0,20.2,1016.7,67.0,82.0,9.4,0.565957,23.4
2022-05-31 11:00:00,0.0,20.2,1016.2,69.0,84.0,8.3,0.517447,23.1
2022-05-31 12:00:00,0.0,20.4,1015.6,63.0,87.0,7.2,0.482553,22.7
2022-05-31 13:00:00,0.0,20.5,1015.1,66.0,88.0,7.2,0.462979,22.6
2022-05-31 14:00:00,0.0,20.4,1015.2,59.0,87.0,6.8,0.464681,22.7
2022-05-31 15:00:00,0.0,20.5,1015.2,60.0,89.0,6.5,0.467234,22.4
2022-05-31 16:00:00,0.0,20.5,1015.7,56.0,90.0,6.1,0.470638,22.2
2022-05-31 17:00:00,0.0,18.9,1016.0,69.0,75.0,10.4,0.344681,23.6
2022-05-31 18:00:00,0.0,18.2,1016.2,81.0,64.0,12.6,0.422128,25.5
2022-05-31 19:00:00,0.0,16.6,1016.3,94.0,53.0,14.4,0.257021,27.0
2022-05-31 20:00:00,0.0,15.8,1016.2,97.0,47.0,15.5,-0.0842552,28.2
2022-05-31 21:00:00,0.0,15.3,1015.9,98.0,43.0,15.8,-0.05617,29.2
2022-05-31 22:00:00,0.0,14.6,1015.6,98.0,39.0,15.8,0.00936176,30.1
2022-05-31 23:00:00,0.0,14.8,1015.2,104.0,38.0,14.8,0.0987235,30.8
2022-06-01 00:00:00,0.0,16.4,1014.9,93.0,44.0,14.8,0.206809,30.0
2022-06-01 01:00:00,0.0,17.4,1014.8,74.0,50.0,14.4,0.409362,28.9
2022-06-01 02:00:00,0.0,17.4,1014.7,62.0,52.0,13.0,0.165107,28.2
2022-06-01 03:00:00,0.0,16.9,1014.9,60.0,53.0,11.9,0.332766,27.3
2022-06-01 04:00:00,0.0,17.0,1015.2,68.0,57.0,13.3,0.618723,26.2
2022-06-01 05:00:00,0.0,18.1,1015.7,69.0,66.0,14.4,0.80766,24.9
2022-06-01 06:00:00,0.0,19.5,1016.7,64.0,75.0,13.3,0.838298,24.2
2022-06-01 07:00:00,0.0,19.9,1017.3,64.0,79.0,11.9,0.811915,23.8
2022-06-01 08:00:00,0.0,20.3,1017.7,67.0,82.0,11.5,0.741277,23.6
2022-06-01 09:00:00,0.0,20.6,1017.8,66.0,85.0,11.2,0.655319,23.3
2022-06-01 10:00:00,0.0,20.9,1017.3,68.0,88.0,9.4,0.582979,23.0
2022-06-01 11:00:00,0.0,20.7,1016.7,62.0,87.0,10.1,0.533617,23.0
2022-06-01 12:00:00,0.0,20.7,1016.3,59.0,88.0,9.0,0.494468,22.8
2022-06-01 13:00:00,0.0,20.3,1016.1,61.0,86.0,9.0,0.469787,22.8
2022-06-01 14:00:00,0.0,20.2,1016.0,58.0,86.0,9.4,0.481702,22.7
2022-06-01 15:00:00,0.0,20.2,1016.3,57.0,87.0,9.4,0.488511,22.5
2022-06-01 16:00:00,0.0,20.9,1016.7,59.0,90.0,8.6,0.510638,22.6
2022-06-01 17:00:00,0.0,19.8,1017.2,65.0,80.0,13.7,0.315745,23.4
2022-06-01 18:00:00,0.0,19.5,1017.4,78.0,71.0,13.7,0.0382981,25.1
2022-06-01 19:00:00,0.0,18.7,1017.4,85.0,61.0,16.6,-0.0910637,26.8
2022-06-01 20:00:00,0.0,18.3,1017.5,87.0,56.0,17.3,-0.348936,27.9
2022-06-01 21:00:00,0.0,17.4,1017.1,95.0,49.0,16.6,-0.300425,29.2
2022-06-01 22:00:00,0.0,16.8,1016.8,93.0,45.0,16.9,-0.391489,30.0
2022-06-01 23:00:00,0.0,16.2,1016.3,92.0,43.0,16.6,-0.174468,30.1
2022-06-02 00:00:00,0.0,15.5,1015.9,91.0,42.0,14.8,-0.0425531,29.8
2022-06-02 01:00:00,0.0,15.7,1015.7,90.0,42.0,13.7,-0.196596,30.0
2022-06-02 02:00:00,0.0,15.4,1015.5,59.0,44.0,9.7,0.10383,28.9
2022-06-02 03:00:00,0.0,15.7,1015.7,66.0,47.0,12.6,0.348085,28.1
2022-06-02 04:00:00,0.0,16.0,1015.9,73.0,52.0,15.1,0.653617,26.7
2022-06-02 05:00:00,0.0,18.7,1016.7,70.0,68.0,14.4,0.824681,25.0
2022-06-02 06:00:00,0.0,20.0,1017.3,66.0,78.0,12.6,0.844255,24.1
2022-06-02 07:00:00,0.0,19.9,1017.9,71.0,79.0,12.2,0.806809,23.8
2022-06-02 08:00:00,0.0,19.7,1018.4,74.0,79.0,11.9,0.731064,23.6
2022-06-02 09:00:00,0.0,20.2,1018.0,76.0,83.0,10.4,0.668085,23.2
2022-06-02 10:00:00,0.0,20.2,1017.6,80.0,84.0,8.3,0.586383,23.1
2022-06-02 11:00:00,0.0,20.0,1017.4,75.0,83.0,7.6,0.548085,23.0
2022-06-02 12:00:00,0.0,20.3,1016.9,71.0,86.0,6.8,0.48766,22.8
2022-06-02 13:00:00,0.0,20.2,1016.7,68.0,87.0,6.5,0.479149,22.5
2022-06-02 14:00:00,0.0,20.6,1016.6,62.0,90.0,6.5,0.468085,22.3
2022-06-02 15:00:00,0.0,20.8,1016.8,58.0,92.0,6.8,0.468936,22.2
2022-06-02 16:00:00,0.0,20.8,1017.2,55.0,92.0,6.5,0.483404,22.2
2022-06-02 17:00:00,0.0,19.3,1017.8,65.0,77.0,7.9,0.348936,23.6
2022-06-02 18:00:00,0.0,18.5,1018.0,79.0,65.0,11.9,0.299574,25.6
2022-06-02 19:00:00,0.0,17.8,1017.8,85.0,56.0,13.3,0.109787,27.3
2022-06-02 20:00:00,0.0,17.1,1017.5,87.0,50.0,13.0,0.0944683,28.5
2022-06-02 21:00:00,0.0,16.4,1017.3,90.0,45.0,13.0,-0.174468,29.6
2022-06-02 22:00:00,0.0,16.1,1017.0,96.0,43.0,10.4,-0.094468,30.0
2022-06-02 23:00:00,0.0,15.7,1016.4,93.0,42.0,7.2,-0.188085,30.0
2022-06-03 00:00:00,0.0,17.0,1016.2,87.0,47.0,4.7,-0.00510627,29.5
2022-06-03 01:00:00,0.0,17.9,1015.9,67.0,51.0,4.7,0.171064,29.1
2022-06-03 02:00:00,0.0,17.9,1015.9,62.0,52.0,7.6,0.317447,28.7
2022-06-03 03:00:00,0.0,17.8,1016.0,56.0,56.0,9.7,0.531915,27.4
2022-06-03 04:00:00,0.0,18.0,1016.3,68.0,60.0,11.9,0.667234,26.4
2022-06-03 05:00:00,0.0,18.6,1016.8,71.0,67.0,13.7,0.795745,25.2
2022-06-03 06:00:00,0.0,20.0,1017.2,66.0,77.0,13.3,0.80766,24.3
2022-06-03 07:00:00,0.0,20.6,1017.7,69.0,82.0,12.2,0.795745,23.9
2022-06-03 08:00:00,0.0,20.6,1018.2,70.0,84.0,11.2,0.716596,23.5
2022-06-03 09:00:00,0.0,20.7,1018.3,70.0,85.0,10.8,0.650213,23.4
2022-06-03 10:00:00,0.0,20.6,1017.8,65.0,86.0,10.4,0.577021,23.1
2022-06-03 11:00:00,0.0,20.6,1017.1,73.0,87.0,8.3,0.534468,22.9
2022-06-03 12:00:00,0.0,20.8,1016.7,70.0,89.0,7.9,0.502979,22.7
2022-06-03 13:00:00,0.0,21.1,1016.4,59.0,92.0,6.5,0.480851,22.5
2022-06-03 14:00:00,0.0,21.1,1016.4,52.0,93.0,6.1,0.47234,22.3
2022-06-03 15:00:00,0.0,21.3,1016.7,44.0,95.0,6.5,0.488511,22.1
2022-06-03 16:00:00,0.0,21.2,1016.9,38.0,93.0,5.0,0.481702,22.4
2022-06-03 17:00:00,0.0,20.0,1017.2,57.0,82.0,6.8,0.356596,23.2
2022-06-03 18:00:00,0.0,19.5,1017.6,69.0,72.0,7.6,0.120851,24.9
2022-06-03 19:00:00,0.0,18.7,1017.8,73.0,62.0,6.5,-0.0587233,26.6
2022-06-03 20:00:00,0.0,17.7,1017.6,73.0,54.0,4.0,-0.288511,27.9
2022-06-03 21:00:00,0.0,17.5,1017.5,34.0,51.0,0.7,-0.28,28.6
2022-06-03 22:00:00,0.0,17.7,1017.3,210.0,51.0,1.8,-0.318298,28.8
2022-06-03 23:00:00,0.1,18.9,1016.9,215.0,55.0,4.3,-0.295319,28.8
2022-06-04 00:00:00,0.3,19.2,1016.7,223.0,58.0,6.1,-0.0842552,28.2
2022-06-04 01:00:00,0.2,18.7,1016.5,224.0,56.0,5.0,-0.0314893,28.3
2022-06-04 02:00:00,0.0,18.9,1016.2,160.0,59.0,9.4,0.201702,27.6
2022-06-04 03:00:00,0.0,18.6,1016.2,119.0,58.0,5.8,0.388085,27.6
2022-06-04 04:00:00,0.0,18.4,1016.4,75.0,60.0,9.4,0.542128,26.8
2022-06-04 05:00:00,0.0,18.2,1016.9,59.0,64.0,13.0,0.771915,25.5
2022-06-04 06:00:00,0.0,19.3,1017.5,64.0,73.0,12.2,0.838298,24.5
2022-06-04 07:00:00,0.0,19.8,1017.8,62.0,78.0,10.1,0.791489,23.9
2022-06-04 08:00:00,0.0,20.0,1018.3,62.0,80.0,10.4,0.731915,23.7
2022-06-04 09:00:00,0.0,20.3,1018.3,65.0,83.0,9.0,0.666383,23.4
2022-06-04 10:00:00,0.0,20.6,1018.1,71.0,86.0,7.9,0.601702,23.1
2022-06-04 11:00:00,0.0,20.9,1017.6,70.0,89.0,6.8,0.554043,22.8
2022-06-04 12:00:00,0.0,20.7,1017.0,65.0,89.0,6.5,0.514042,22.6
2022-06-04 13:00:00,0.0,21.0,1016.7,60.0,92.0,5.8,0.479149,22.4
2022-06-04 14:00:00,0.0,21.1,1016.6,55.0,94.0,5.8,0.469787,22.1
2022-06-04 15:00:00,0.0,21.1,1016.7,58.0,95.0,5.8,0.464681,21.9
2022-06-04 16:00:00,0.0,21.0,1017.1,56.0,95.0,5.4,0.486809,21.8
2022-06-04 17:00:00,0.0,19.5,1017.4,61.0,80.0,7.6,0.364255,23.1
2022-06-04 18:00:00,0.0,18.4,1017.6,72.0,67.0,10.1,0.114894,24.9
2022-06-04 19:00:00,0.0,17.2,1017.5,78.0,56.0,11.2,-0.189787,26.7
2022-06-04 20:00:00,0.0,16.1,1017.4,80.0,48.0,10.8,-0.125106,28.1
2022-06-04 21:00:00,0.0,15.2,1017.4,83.0,43.0,8.6,-0.198298,29.0
2022-06-04 22:00:00,0.0,14.4,1017.0,75.0,39.0,5.8,-0.411915,29.8
2022-06-04 23:00:00,0.0,16.1,1016.6,165.0,44.0,2.2,-0.497872,29.6
2022-06-05 00:00:00,0.0,17.0,1016.4,230.0,48.0,5.0,-0.482553,29.1
2022-06-05 01:00:00,0.0,16.7,1016.2,243.0,49.0,3.2,-0.258723,28.4
2022-06-05 02:00:00,0.0,17.4,1015.9,12.0,54.0,2.2,-0.0110637,27.5
2022-06-05 03:00:00,0.0,17.8,1015.7,5.0,57.0,5.0,0.219575,27.0
2022-06-05 04:00:00,0.0,16.6,1015.8,78.0,55.0,9.7,0.561702,26.4
2022-06-05 05:00:00,0.0,17.9,1016.4,55.0,64.0,11.2,0.780426,25.2
