DT,prcp,dwpt,pres,rhum,temp,wspd,wdir,Waianae
2022-05-31 10:00:00,0.0,20.2,1016.7,82.0,23.4,9.4,67.0,0.565957
2022-05-31 11:00:00,0.0,20.2,1016.2,84.0,23.1,8.3,69.0,0.517447
2022-05-31 12:00:00,0.0,20.4,1015.6,87.0,22.7,7.2,63.0,0.482553
2022-05-31 13:00:00,0.0,20.5,1015.1,88.0,22.6,7.2,66.0,0.462979
2022-05-31 14:00:00,0.0,20.4,1015.2,87.0,22.7,6.8,59.0,0.464681
2022-05-31 15:00:00,0.0,20.5,1015.2,89.0,22.4,6.5,60.0,0.467234
2022-05-31 16:00:00,0.0,20.5,1015.7,90.0,22.2,6.1,56.0,0.470638
2022-05-31 17:00:00,0.0,18.9,1016.0,75.0,23.6,10.4,69.0,0.344681
2022-05-31 18:00:00,0.0,18.2,1016.2,64.0,25.5,12.6,81.0,0.422128
2022-05-31 19:00:00,0.0,16.6,1016.3,53.0,27.0,14.4,94.0,0.257021
2022-05-31 20:00:00,0.0,15.8,1016.2,47.0,28.2,15.5,97.0,-0.0842552
2022-05-31 21:00:00,0.0,15.3,1015.9,43.0,29.2,15.8,98.0,-0.05617
2022-05-31 22:00:00,0.0,14.6,1015.6,39.0,30.1,15.8,98.0,0.00936176
2022-05-31 23:00:00,0.0,14.8,1015.2,38.0,30.8,14.8,104.0,0.0987235
2022-06-01 00:00:00,0.0,16.4,1014.9,44.0,30.0,14.8,93.0,0.206809
2022-06-01 01:00:00,0.0,17.4,1014.8,50.0,28.9,14.4,74.0,0.409362
2022-06-01 02:00:00,0.0,17.4,1014.7,52.0,28.2,13.0,62.0,0.165107
2022-06-01 03:00:00,0.0,16.9,1014.9,53.0,27.3,11.9,60.0,0.332766
2022-06-01 04:00:00,0.0,17.0,1015.2,57.0,26.2,13.3,68.0,0.618723
2022-06-01 05:00:00,0.0,18.1,1015.7,66.0,24.9,14.4,69.0,0.80766
2022-06-01 06:00:00,0.0,19.5,1016.7,75.0,24.2,13.3,64.0,0.838298
2022-06-01 07:00:00,0.0,19.9,1017.3,79.0,23.8,11.9,64.0,0.811915
2022-06-01 08:00:00,0.0,20.3,1017.7,82.0,23.6,11.5,67.0,0.741277
2022-06-01 09:00:00,0.0,20.6,1017.8,85.0,23.3,11.2,66.0,0.655319
2022-06-01 10:00:00,0.0,20.9,1017.3,88.0,23.0,9.4,68.0,0.582979
2022-06-01 11:00:00,0.0,20.7,1016.7,87.0,23.0,10.1,62.0,0.533617
2022-06-01 12:00:00,0.0,20.7,1016.3,88.0,22.8,9.0,59.0,0.494468
2022-06-01 13:00:00,0.0,20.3,1016.1,86.0,22.8,9.0,61.0,0.469787
2022-06-01 14:00:00,0.0,20.2,1016.0,86.0,22.7,9.4,58.0,0.481702
2022-06-01 15:00:00,0.0,20.2,1016.3,87.0,22.5,9.4,57.0,0.488511
2022-06-01 16:00:00,0.0,20.9,1016.7,90.0,22.6,8.6,59.0,0.510638
2022-06-01 17:00:00,0.0,19.8,1017.2,80.0,23.4,13.7,65.0,0.315745
2022-06-01 18:00:00,0.0,19.5,1017.4,71.0,25.1,13.7,78.0,0.0382981
2022-06-01 19:00:00,0.0,18.7,1017.4,61.0,26.8,16.6,85.0,-0.0910637
2022-06-01 20:00:00,0.0,18.3,1017.5,56.0,27.9,17.3,87.0,-0.348936
2022-06-01 21:00:00,0.0,17.4,1017.1,49.0,29.2,16.6,95.0,-0.300425
2022-06-01 22:00:00,0.0,16.8,1016.8,45.0,30.0,16.9,93.0,-0.391489
