DT,dwpt,prcp,pres,rhum,wspd,Waianae,temp,wdir
2022-05-31 10:00:00,20.2,0.0,1016.7,82.0,9.4,0.565957,23.4,67.0
2022-05-31 11:00:00,20.2,0.0,1016.2,84.0,8.3,0.517447,23.1,69.0
2022-05-31 12:00:00,20.4,0.0,1015.6,87.0,7.2,0.482553,22.7,63.0
2022-05-31 13:00:00,20.5,0.0,1015.1,88.0,7.2,0.462979,22.6,66.0
2022-05-31 14:00:00,20.4,0.0,1015.2,87.0,6.8,0.464681,22.7,59.0
2022-05-31 15:00:00,20.5,0.0,1015.2,89.0,6.5,0.467234,22.4,60.0
2022-05-31 16:00:00,20.5,0.0,1015.7,90.0,6.1,0.470638,22.2,56.0
2022-05-31 17:00:00,18.9,0.0,1016.0,75.0,10.4,0.344681,23.6,69.0
2022-05-31 18:00:00,18.2,0.0,1016.2,64.0,12.6,0.422128,25.5,81.0
2022-05-31 19:00:00,16.6,0.0,1016.3,53.0,14.4,0.257021,27.0,94.0
2022-05-31 20:00:00,15.8,0.0,1016.2,47.0,15.5,-0.0842552,28.2,97.0
2022-05-31 21:00:00,15.3,0.0,1015.9,43.0,15.8,-0.05617,29.2,98.0
2022-05-31 22:00:00,14.6,0.0,1015.6,39.0,15.8,0.00936176,30.1,98.0
2022-05-31 23:00:00,14.8,0.0,1015.2,38.0,14.8,0.0987235,30.8,104.0
2022-06-01 00:00:00,16.4,0.0,1014.9,44.0,14.8,0.206809,30.0,93.0
2022-06-01 01:00:00,17.4,0.0,1014.8,50.0,14.4,0.409362,28.9,74.0
2022-06-01 02:00:00,17.4,0.0,1014.7,52.0,13.0,0.165107,28.2,62.0
2022-06-01 03:00:00,16.9,0.0,1014.9,53.0,11.9,0.332766,27.3,60.0
2022-06-01 04:00:00,17.0,0.0,1015.2,57.0,13.3,0.618723,26.2,68.0
2022-06-01 05:00:00,18.1,0.0,1015.7,66.0,14.4,0.80766,24.9,69.0
2022-06-01 06:00:00,19.5,0.0,1016.7,75.0,13.3,0.838298,24.2,64.0
2022-06-01 07:00:00,19.9,0.0,1017.3,79.0,11.9,0.811915,23.8,64.0
2022-06-01 08:00:00,20.3,0.0,1017.7,82.0,11.5,0.741277,23.6,67.0
2022-06-01 09:00:00,20.6,0.0,1017.8,85.0,11.2,0.655319,23.3,66.0
2022-06-01 10:00:00,20.9,0.0,1017.3,88.0,9.4,0.582979,23.0,68.0
2022-06-01 11:00:00,20.7,0.0,1016.7,87.0,10.1,0.533617,23.0,62.0
2022-06-01 12:00:00,20.7,0.0,1016.3,88.0,9.0,0.494468,22.8,59.0
2022-06-01 13:00:00,20.3,0.0,1016.1,86.0,9.0,0.469787,22.8,61.0
2022-06-01 14:00:00,20.2,0.0,1016.0,86.0,9.4,0.481702,22.7,58.0
2022-06-01 15:00:00,20.2,0.0,1016.3,87.0,9.4,0.488511,22.5,57.0
2022-06-01 16:00:00,20.9,0.0,1016.7,90.0,8.6,0.510638,22.6,59.0
2022-06-01 17:00:00,19.8,0.0,1017.2,80.0,13.7,0.315745,23.4,65.0
2022-06-01 18:00:00,19.5,0.0,1017.4,71.0,13.7,0.0382981,25.1,78.0
2022-06-01 19:00:00,18.7,0.0,1017.4,61.0,16.6,-0.0910637,26.8,85.0
2022-06-01 20:00:00,18.3,0.0,1017.5,56.0,17.3,-0.348936,27.9,87.0
2022-06-01 21:00:00,17.4,0.0,1017.1,49.0,16.6,-0.300425,29.2,95.0
2022-06-01 22:00:00,16.8,0.0,1016.8,45.0,16.9,-0.391489,30.0,93.0
2022-06-01 23:00:00,16.2,0.0,1016.3,43.0,16.6,-0.174468,30.1,92.0
2022-06-02 00:00:00,15.5,0.0,1015.9,42.0,14.8,-0.0425531,29.8,91.0
2022-06-02 01:00:00,15.7,0.0,1015.7,42.0,13.7,-0.196596,30.0,90.0
2022-06-02 02:00:00,15.4,0.0,1015.5,44.0,9.7,0.10383,28.9,59.0
2022-06-02 03:00:00,15.7,0.0,1015.7,47.0,12.6,0.348085,28.1,66.0
2022-06-02 04:00:00,16.0,0.0,1015.9,52.0,15.1,0.653617,26.7,73.0
2022-06-02 05:00:00,18.7,0.0,1016.7,68.0,14.4,0.824681,25.0,70.0
2022-06-02 06:00:00,20.0,0.0,1017.3,78.0,12.6,0.844255,24.1,66.0
2022-06-02 07:00:00,19.9,0.0,1017.9,79.0,12.2,0.806809,23.8,71.0
2022-06-02 08:00:00,19.7,0.0,1018.4,79.0,11.9,0.731064,23.6,74.0
2022-06-02 09:00:00,20.2,0.0,1018.0,83.0,10.4,0.668085,23.2,76.0
2022-06-02 10:00:00,20.2,0.0,1017.6,84.0,8.3,0.586383,23.1,80.0
2022-06-02 11:00:00,20.0,0.0,1017.4,83.0,7.6,0.548085,23.0,75.0
2022-06-02 12:00:00,20.3,0.0,1016.9,86.0,6.8,0.48766,22.8,71.0
2022-06-02 13:00:00,20.2,0.0,1016.7,87.0,6.5,0.479149,22.5,68.0
2022-06-02 14:00:00,20.6,0.0,1016.6,90.0,6.5,0.468085,22.3,62.0
2022-06-02 15:00:00,20.8,0.0,1016.8,92.0,6.8,0.468936,22.2,58.0
2022-06-02 16:00:00,20.8,0.0,1017.2,92.0,6.5,0.483404,22.2,55.0
2022-06-02 17:00:00,19.3,0.0,1017.8,77.0,7.9,0.348936,23.6,65.0
2022-06-02 18:00:00,18.5,0.0,1018.0,65.0,11.9,0.299574,25.6,79.0
2022-06-02 19:00:00,17.8,0.0,1017.8,56.0,13.3,0.109787,27.3,85.0
2022-06-02 20:00:00,17.1,0.0,1017.5,50.0,13.0,0.0944683,28.5,87.0
2022-06-02 21:00:00,16.4,0.0,1017.3,45.0,13.0,-0.174468,29.6,90.0
2022-06-02 22:00:00,16.1,0.0,1017.0,43.0,10.4,-0.094468,30.0,96.0
2022-06-02 23:00:00,15.7,0.0,1016.4,42.0,7.2,-0.188085,30.0,93.0
2022-06-03 00:00:00,17.0,0.0,1016.2,47.0,4.7,-0.00510627,29.5,87.0
2022-06-03 01:00:00,17.9,0.0,1015.9,51.0,4.7,0.171064,29.1,67.0
2022-06-03 02:00:00,17.9,0.0,1015.9,52.0,7.6,0.317447,28.7,62.0
2022-06-03 03:00:00,17.8,0.0,1016.0,56.0,9.7,0.531915,27.4,56.0
2022-06-03 04:00:00,18.0,0.0,1016.3,60.0,11.9,0.667234,26.4,68.0
2022-06-03 05:00:00,18.6,0.0,1016.8,67.0,13.7,0.795745,25.2,71.0
2022-06-03 06:00:00,20.0,0.0,1017.2,77.0,13.3,0.80766,24.3,66.0
2022-06-03 07:00:00,20.6,0.0,1017.7,82.0,12.2,0.795745,23.9,69.0
2022-06-03 08:00:00,20.6,0.0,1018.2,84.0,11.2,0.716596,23.5,70.0
2022-06-03 09:00:00,20.7,0.0,1018.3,85.0,10.8,0.650213,23.4,70.0
2022-06-03 10:00:00,20.6,0.0,1017.8,86.0,10.4,0.577021,23.1,65.0
2022-06-03 11:00:00,20.6,0.0,1017.1,87.0,8.3,0.534468,22.9,73.0
2022-06-03 12:00:00,20.8,0.0,1016.7,89.0,7.9,0.502979,22.7,70.0
2022-06-03 13:00:00,21.1,0.0,1016.4,92.0,6.5,0.480851,22.5,59.0
2022-06-03 14:00:00,21.1,0.0,1016.4,93.0,6.1,0.47234,22.3,52.0
2022-06-03 15:00:00,21.3,0.0,1016.7,95.0,6.5,0.488511,22.1,44.0
2022-06-03 16:00:00,21.2,0.0,1016.9,93.0,5.0,0.481702,22.4,38.0
2022-06-03 17:00:00,20.0,0.0,1017.2,82.0,6.8,0.356596,23.2,57.0
2022-06-03 18:00:00,19.5,0.0,1017.6,72.0,7.6,0.120851,24.9,69.0
2022-06-03 19:00:00,18.7,0.0,1017.8,62.0,6.5,-0.0587233,26.6,73.0
2022-06-03 20:00:00,17.7,0.0,1017.6,54.0,4.0,-0.288511,27.9,73.0
2022-06-03 21:00:00,17.5,0.0,1017.5,51.0,0.7,-0.28,28.6,34.0
2022-06-03 22:00:00,17.7,0.0,1017.3,51.0,1.8,-0.318298,28.8,210.0
2022-06-03 23:00:00,18.9,0.1,1016.9,55.0,4.3,-0.295319,28.8,215.0
2022-06-04 00:00:00,19.2,0.3,1016.7,58.0,6.1,-0.0842552,28.2,223.0
2022-06-04 01:00:00,18.7,0.2,1016.5,56.0,5.0,-0.0314893,28.3,224.0
2022-06-04 02:00:00,18.9,0.0,1016.2,59.0,9.4,0.201702,27.6,160.0
2022-06-04 03:00:00,18.6,0.0,1016.2,58.0,5.8,0.388085,27.6,119.0
2022-06-04 04:00:00,18.4,0.0,1016.4,60.0,9.4,0.542128,26.8,75.0
2022-06-04 05:00:00,18.2,0.0,1016.9,64.0,13.0,0.771915,25.5,59.0
2022-06-04 06:00:00,19.3,0.0,1017.5,73.0,12.2,0.838298,24.5,64.0
2022-06-04 07:00:00,19.8,0.0,1017.8,78.0,10.1,0.791489,23.9,62.0
2022-06-04 08:00:00,20.0,0.0,1018.3,80.0,10.4,0.731915,23.7,62.0
2022-06-04 09:00:00,20.3,0.0,1018.3,83.0,9.0,0.666383,23.4,65.0
2022-06-04 10:00:00,20.6,0.0,1018.1,86.0,7.9,0.601702,23.1,71.0
2022-06-04 11:00:00,20.9,0.0,1017.6,89.0,6.8,0.554043,22.8,70.0
2022-06-04 12:00:00,20.7,0.0,1017.0,89.0,6.5,0.514042,22.6,65.0
2022-06-04 13:00:00,21.0,0.0,1016.7,92.0,5.8,0.479149,22.4,60.0
2022-06-04 14:00:00,21.1,0.0,1016.6,94.0,5.8,0.469787,22.1,55.0
2022-06-04 15:00:00,21.1,0.0,1016.7,95.0,5.8,0.464681,21.9,58.0
2022-06-04 16:00:00,21.0,0.0,1017.1,95.0,5.4,0.486809,21.8,56.0
2022-06-04 17:00:00,19.5,0.0,1017.4,80.0,7.6,0.364255,23.1,61.0
2022-06-04 18:00:00,18.4,0.0,1017.6,67.0,10.1,0.114894,24.9,72.0
2022-06-04 19:00:00,17.2,0.0,1017.5,56.0,11.2,-0.189787,26.7,78.0
2022-06-04 20:00:00,16.1,0.0,1017.4,48.0,10.8,-0.125106,28.1,80.0
2022-06-04 21:00:00,15.2,0.0,1017.4,43.0,8.6,-0.198298,29.0,83.0
2022-06-04 22:00:00,14.4,0.0,1017.0,39.0,5.8,-0.411915,29.8,75.0
2022-06-04 23:00:00,16.1,0.0,1016.6,44.0,2.2,-0.497872,29.6,165.0
2022-06-05 00:00:00,17.0,0.0,1016.4,48.0,5.0,-0.482553,29.1,230.0
2022-06-05 01:00:00,16.7,0.0,1016.2,49.0,3.2,-0.258723,28.4,243.0
2022-06-05 02:00:00,17.4,0.0,1015.9,54.0,2.2,-0.0110637,27.5,12.0
2022-06-05 03:00:00,17.8,0.0,1015.7,57.0,5.0,0.219575,27.0,5.0
2022-06-05 04:00:00,16.6,0.0,1015.8,55.0,9.7,0.561702,26.4,78.0
2022-06-05 05:00:00,17.9,0.0,1016.4,64.0,11.2,0.780426,25.2,55.0
2022-06-05 06:00:00,18.5,0.0,1017.0,70.0,10.1,0.781277,24.3,38.0
2022-06-05 07:00:00,19.1,0.0,1017.8,75.0,6.8,0.775319,23.8,42.0
2022-06-05 08:00:00,19.5,0.0,1018.5,79.0,6.1,0.699574,23.4,56.0
2022-06-05 09:00:00,20.2,0.0,1018.3,84.0,7.2,0.631489,23.1,44.0
2022-06-05 10:00:00,20.1,0.0,1018.2,85.0,7.2,0.594894,22.8,48.0
2022-06-05 11:00:00,20.1,0.0,1017.7,86.0,7.2,0.539575,22.6,50.0
2022-06-05 12:00:00,20.1,0.0,1017.0,87.0,8.3,0.497872,22.4,48.0
2022-06-05 13:00:00,20.4,0.0,1016.6,90.0,7.2,0.462979,22.1,49.0
2022-06-05 14:00:00,20.6,0.0,1016.3,91.0,7.2,0.446808,22.1,53.0
2022-06-05 15:00:00,20.4,0.0,1016.3,91.0,7.6,0.452766,21.9,56.0
2022-06-05 16:00:00,20.3,0.0,1016.4,91.0,7.2,0.462979,21.8,53.0
2022-06-05 17:00:00,19.1,0.0,1016.9,78.0,8.6,0.358298,23.1,55.0
2022-06-05 18:00:00,18.2,0.0,1017.0,66.0,8.3,0.108936,25.0,72.0
2022-06-05 19:00:00,16.8,0.0,1017.0,54.0,8.3,-0.122553,26.9,97.0
