DT,prcp,dwpt,pres,rhum,wdir,temp,wspd
2022-05-31 00:00:00,0.0,16.1,1015.1,52.0,50.0,26.8,14.8
2022-05-31 01:00:00,0.0,15.9,1014.7,51.0,70.0,26.9,22.3
2022-05-31 02:00:00,0.0,15.7,1014.3,50.0,90.0,27.0,18.4
2022-05-31 03:00:00,0.0,16.5,1014.0,55.0,90.0,26.3,22.3
2022-05-31 04:00:00,0.0,16.5,1014.4,59.0,80.0,25.1,18.4
2022-05-31 05:00:00,0.0,16.5,1015.1,64.0,90.0,23.7,11.2
2022-05-31 06:00:00,0.0,16.6,1015.7,70.0,110.0,22.3,9.4
2022-05-31 07:00:00,0.0,16.6,1016.3,74.0,0.0,21.4,0.0
2022-05-31 08:00:00,0.0,16.0,1016.7,78.0,0.0,20.0,0.0
2022-05-31 09:00:00,0.0,15.5,1017.1,83.0,340.0,18.4,5.4
2022-05-31 10:00:00,0.0,15.5,1016.8,84.0,0.0,18.2,0.0
2022-05-31 11:00:00,0.0,16.0,1016.0,83.0,310.0,19.0,7.6
2022-05-31 12:00:00,0.0,15.9,1015.6,82.0,290.0,19.0,7.6
2022-05-31 13:00:00,0.0,16.2,1014.8,81.0,10.0,19.5,7.6
2022-05-31 14:00:00,0.0,16.4,1014.6,83.0,330.0,19.4,5.4
2022-05-31 15:00:00,0.0,16.0,1015.0,83.0,300.0,19.0,7.6
2022-05-31 16:00:00,0.0,15.7,1015.4,84.0,320.0,18.5,7.6
2022-05-31 17:00:00,0.0,17.0,1017.0,69.0,80.0,23.0,9.0
2022-05-31 18:00:00,0.0,16.9,1016.0,69.0,80.0,22.9,9.4
2022-05-31 19:00:00,0.0,16.6,1016.7,62.0,90.0,24.4,9.4
2022-05-31 20:00:00,0.0,16.4,1016.3,55.0,70.0,26.1,16.6
2022-05-31 21:00:00,0.0,16.8,1016.7,55.0,120.0,26.6,16.6
2022-05-31 22:00:00,0.0,17.0,1016.3,54.0,70.0,27.1,11.2
2022-05-31 23:00:00,0.0,17.0,1016.0,54.0,70.0,27.1,18.4
2022-06-01 00:00:00,0.0,18.0,1015.3,57.0,70.0,27.3,22.3
2022-06-01 01:00:00,0.0,18.0,1015.3,58.0,60.0,27.0,31.7
2022-06-01 02:00:00,0.0,17.7,1015.3,58.0,60.0,26.6,29.5
2022-06-01 03:00:00,0.0,16.4,1015.4,58.0,90.0,25.2,22.3
2022-06-01 04:00:00,0.0,16.4,1015.4,58.0,90.0,25.2,22.3
2022-06-01 05:00:00,0.0,16.4,1015.7,64.0,70.0,23.6,18.4
2022-06-01 06:00:00,0.0,16.9,1016.3,68.0,360.0,23.1,7.6
2022-06-01 07:00:00,0.0,17.4,1017.0,74.0,360.0,22.3,5.4
2022-06-01 08:00:00,0.0,17.4,1017.2,75.0,2.0,22.0,7.6
2022-06-01 09:00:00,0.0,16.7,1016.9,78.0,0.0,20.7,0.0
2022-06-01 10:00:00,0.0,16.7,1016.9,78.0,0.0,20.7,0.0
2022-06-01 11:00:00,0.0,17.6,1016.1,78.0,70.0,21.6,9.4
2022-06-01 12:00:00,0.1,16.1,1016.0,82.0,300.0,19.2,5.4
2022-06-01 13:00:00,0.0,17.1,1015.6,83.0,330.0,20.1,7.6
2022-06-01 14:00:00,0.2,17.0,1015.6,83.0,310.0,20.0,7.6
2022-06-01 15:00:00,0.1,16.9,1016.0,85.0,0.0,19.5,0.0
2022-06-01 16:00:00,0.2,18.0,1016.7,88.0,0.0,20.0,0.0
2022-06-01 17:00:00,0.3,18.4,1017.1,88.0,0.0,20.5,0.0
2022-06-01 18:00:00,0.2,17.9,1017.7,70.0,0.0,23.7,0.0
2022-06-01 19:00:00,0.3,17.9,1017.7,70.0,0.0,23.7,0.0
2022-06-01 20:00:00,0.4,17.6,1017.6,64.0,80.0,24.9,16.6
2022-06-01 21:00:00,0.1,18.0,1017.2,60.0,40.0,26.4,13.0
2022-06-01 22:00:00,0.0,16.7,1016.5,52.0,70.0,27.4,14.8
2022-06-01 23:00:00,0.0,16.7,1016.5,52.0,70.0,27.4,14.8
2022-06-02 00:00:00,0.0,16.7,1016.0,52.0,90.0,27.4,14.8
2022-06-02 01:00:00,0.0,16.6,1015.9,52.0,70.0,27.3,20.5
2022-06-02 02:00:00,0.0,17.0,1015.5,55.0,90.0,26.8,20.5
2022-06-02 03:00:00,0.0,16.6,1015.6,56.0,70.0,26.1,13.0
2022-06-02 04:00:00,0.0,16.9,1015.6,60.0,70.0,25.2,14.8
2022-06-02 05:00:00,0.0,16.7,1016.4,65.0,80.0,23.7,11.2
2022-06-02 06:00:00,0.0,16.7,1017.0,68.0,30.0,22.9,7.6
