DT,dwpt,prcp,pres,temp,rhum,wdir,wspd
2022-05-31 00:00:00,15.8,0.0,1015.3,28.9,45.0,82.0,10.8
2022-05-31 01:00:00,15.5,0.0,1014.8,29.0,44.0,80.0,10.4
2022-05-31 02:00:00,15.3,0.0,1014.5,28.4,45.0,69.0,11.2
2022-05-31 03:00:00,15.8,0.0,1014.5,27.5,49.0,67.0,13.0
2022-05-31 04:00:00,17.0,0.0,1014.5,26.5,56.0,75.0,15.8
2022-05-31 05:00:00,17.9,0.0,1015.0,25.2,64.0,86.0,15.1
2022-05-31 06:00:00,19.7,0.0,1015.7,24.4,75.0,81.0,11.9
2022-05-31 07:00:00,20.2,0.0,1016.5,23.9,80.0,81.0,9.7
2022-05-31 08:00:00,20.3,0.0,1017.0,23.8,81.0,83.0,9.4
2022-05-31 09:00:00,20.4,0.0,1017.0,23.5,83.0,60.0,9.0
2022-05-31 10:00:00,20.2,0.0,1016.7,23.4,82.0,67.0,9.4
2022-05-31 11:00:00,20.2,0.0,1016.2,23.1,84.0,69.0,8.3
2022-05-31 12:00:00,20.4,0.0,1015.6,22.7,87.0,63.0,7.2
2022-05-31 13:00:00,20.5,0.0,1015.1,22.6,88.0,66.0,7.2
2022-05-31 14:00:00,20.4,0.0,1015.2,22.7,87.0,59.0,6.8
2022-05-31 15:00:00,20.5,0.0,1015.2,22.4,89.0,60.0,6.5
2022-05-31 16:00:00,20.5,0.0,1015.7,22.2,90.0,56.0,6.1
2022-05-31 17:00:00,18.9,0.0,1016.0,23.6,75.0,69.0,10.4
2022-05-31 18:00:00,18.2,0.0,1016.2,25.5,64.0,81.0,12.6
2022-05-31 19:00:00,16.6,0.0,1016.3,27.0,53.0,94.0,14.4
2022-05-31 20:00:00,15.8,0.0,1016.2,28.2,47.0,97.0,15.5
2022-05-31 21:00:00,15.3,0.0,1015.9,29.2,43.0,98.0,15.8
2022-05-31 22:00:00,14.6,0.0,1015.6,30.1,39.0,98.0,15.8
2022-05-31 23:00:00,14.8,0.0,1015.2,30.8,38.0,104.0,14.8
2022-06-01 00:00:00,16.4,0.0,1014.9,30.0,44.0,93.0,14.8
2022-06-01 01:00:00,17.4,0.0,1014.8,28.9,50.0,74.0,14.4
2022-06-01 02:00:00,17.4,0.0,1014.7,28.2,52.0,62.0,13.0
2022-06-01 03:00:00,16.9,0.0,1014.9,27.3,53.0,60.0,11.9
2022-06-01 04:00:00,17.0,0.0,1015.2,26.2,57.0,68.0,13.3
2022-06-01 05:00:00,18.1,0.0,1015.7,24.9,66.0,69.0,14.4
2022-06-01 06:00:00,19.5,0.0,1016.7,24.2,75.0,64.0,13.3
2022-06-01 07:00:00,19.9,0.0,1017.3,23.8,79.0,64.0,11.9
2022-06-01 08:00:00,20.3,0.0,1017.7,23.6,82.0,67.0,11.5
2022-06-01 09:00:00,20.6,0.0,1017.8,23.3,85.0,66.0,11.2
2022-06-01 10:00:00,20.9,0.0,1017.3,23.0,88.0,68.0,9.4
2022-06-01 11:00:00,20.7,0.0,1016.7,23.0,87.0,62.0,10.1
2022-06-01 12:00:00,20.7,0.0,1016.3,22.8,88.0,59.0,9.0
2022-06-01 13:00:00,20.3,0.0,1016.1,22.8,86.0,61.0,9.0
2022-06-01 14:00:00,20.2,0.0,1016.0,22.7,86.0,58.0,9.4
2022-06-01 15:00:00,20.2,0.0,1016.3,22.5,87.0,57.0,9.4
2022-06-01 16:00:00,20.9,0.0,1016.7,22.6,90.0,59.0,8.6
2022-06-01 17:00:00,19.8,0.0,1017.2,23.4,80.0,65.0,13.7
2022-06-01 18:00:00,19.5,0.0,1017.4,25.1,71.0,78.0,13.7
2022-06-01 19:00:00,18.7,0.0,1017.4,26.8,61.0,85.0,16.6
2022-06-01 20:00:00,18.3,0.0,1017.5,27.9,56.0,87.0,17.3
2022-06-01 21:00:00,17.4,0.0,1017.1,29.2,49.0,95.0,16.6
2022-06-01 22:00:00,16.8,0.0,1016.8,30.0,45.0,93.0,16.9
