DT,rhum,dwpt,pres,temp,prcp,Waianae,wdir,wspd
2022-05-31 10:00:00,82.0,20.2,1016.7,23.4,0.0,0.565957,67.0,9.4
2022-05-31 11:00:00,84.0,20.2,1016.2,23.1,0.0,0.517447,69.0,8.3
2022-05-31 12:00:00,87.0,20.4,1015.6,22.7,0.0,0.482553,63.0,7.2
2022-05-31 13:00:00,88.0,20.5,1015.1,22.6,0.0,0.462979,66.0,7.2
2022-05-31 14:00:00,87.0,20.4,1015.2,22.7,0.0,0.464681,59.0,6.8
2022-05-31 15:00:00,89.0,20.5,1015.2,22.4,0.0,0.467234,60.0,6.5
2022-05-31 16:00:00,90.0,20.5,1015.7,22.2,0.0,0.470638,56.0,6.1
2022-05-31 17:00:00,75.0,18.9,1016.0,23.6,0.0,0.344681,69.0,10.4
2022-05-31 18:00:00,64.0,18.2,1016.2,25.5,0.0,0.422128,81.0,12.6
2022-05-31 19:00:00,53.0,16.6,1016.3,27.0,0.0,0.257021,94.0,14.4
2022-05-31 20:00:00,47.0,15.8,1016.2,28.2,0.0,-0.0842552,97.0,15.5
2022-05-31 21:00:00,43.0,15.3,1015.9,29.2,0.0,-0.05617,98.0,15.8
2022-05-31 22:00:00,39.0,14.6,1015.6,30.1,0.0,0.00936176,98.0,15.8
2022-05-31 23:00:00,38.0,14.8,1015.2,30.8,0.0,0.0987235,104.0,14.8
2022-06-01 00:00:00,44.0,16.4,1014.9,30.0,0.0,0.206809,93.0,14.8
2022-06-01 01:00:00,50.0,17.4,1014.8,28.9,0.0,0.409362,74.0,14.4
2022-06-01 02:00:00,52.0,17.4,1014.7,28.2,0.0,0.165107,62.0,13.0
2022-06-01 03:00:00,53.0,16.9,1014.9,27.3,0.0,0.332766,60.0,11.9
2022-06-01 04:00:00,57.0,17.0,1015.2,26.2,0.0,0.618723,68.0,13.3
2022-06-01 05:00:00,66.0,18.1,1015.7,24.9,0.0,0.80766,69.0,14.4
2022-06-01 06:00:00,75.0,19.5,1016.7,24.2,0.0,0.838298,64.0,13.3
2022-06-01 07:00:00,79.0,19.9,1017.3,23.8,0.0,0.811915,64.0,11.9
2022-06-01 08:00:00,82.0,20.3,1017.7,23.6,0.0,0.741277,67.0,11.5
2022-06-01 09:00:00,85.0,20.6,1017.8,23.3,0.0,0.655319,66.0,11.2
2022-06-01 10:00:00,88.0,20.9,1017.3,23.0,0.0,0.582979,68.0,9.4
2022-06-01 11:00:00,87.0,20.7,1016.7,23.0,0.0,0.533617,62.0,10.1
2022-06-01 12:00:00,88.0,20.7,1016.3,22.8,0.0,0.494468,59.0,9.0
2022-06-01 13:00:00,86.0,20.3,1016.1,22.8,0.0,0.469787,61.0,9.0
2022-06-01 14:00:00,86.0,20.2,1016.0,22.7,0.0,0.481702,58.0,9.4
2022-06-01 15:00:00,87.0,20.2,1016.3,22.5,0.0,0.488511,57.0,9.4
2022-06-01 16:00:00,90.0,20.9,1016.7,22.6,0.0,0.510638,59.0,8.6
2022-06-01 17:00:00,80.0,19.8,1017.2,23.4,0.0,0.315745,65.0,13.7
2022-06-01 18:00:00,71.0,19.5,1017.4,25.1,0.0,0.0382981,78.0,13.7
2022-06-01 19:00:00,61.0,18.7,1017.4,26.8,0.0,-0.0910637,85.0,16.6
2022-06-01 20:00:00,56.0,18.3,1017.5,27.9,0.0,-0.348936,87.0,17.3
2022-06-01 21:00:00,49.0,17.4,1017.1,29.2,0.0,-0.300425,95.0,16.6
2022-06-01 22:00:00,45.0,16.8,1016.8,30.0,0.0,-0.391489,93.0,16.9
2022-06-01 23:00:00,43.0,16.2,1016.3,30.1,0.0,-0.174468,92.0,16.6
2022-06-02 00:00:00,42.0,15.5,1015.9,29.8,0.0,-0.0425531,91.0,14.8
2022-06-02 01:00:00,42.0,15.7,1015.7,30.0,0.0,-0.196596,90.0,13.7
2022-06-02 02:00:00,44.0,15.4,1015.5,28.9,0.0,0.10383,59.0,9.7
2022-06-02 03:00:00,47.0,15.7,1015.7,28.1,0.0,0.348085,66.0,12.6
2022-06-02 04:00:00,52.0,16.0,1015.9,26.7,0.0,0.653617,73.0,15.1
2022-06-02 05:00:00,68.0,18.7,1016.7,25.0,0.0,0.824681,70.0,14.4
2022-06-02 06:00:00,78.0,20.0,1017.3,24.1,0.0,0.844255,66.0,12.6
2022-06-02 07:00:00,79.0,19.9,1017.9,23.8,0.0,0.806809,71.0,12.2
2022-06-02 08:00:00,79.0,19.7,1018.4,23.6,0.0,0.731064,74.0,11.9
2022-06-02 09:00:00,83.0,20.2,1018.0,23.2,0.0,0.668085,76.0,10.4
2022-06-02 10:00:00,84.0,20.2,1017.6,23.1,0.0,0.586383,80.0,8.3
2022-06-02 11:00:00,83.0,20.0,1017.4,23.0,0.0,0.548085,75.0,7.6
2022-06-02 12:00:00,86.0,20.3,1016.9,22.8,0.0,0.48766,71.0,6.8
2022-06-02 13:00:00,87.0,20.2,1016.7,22.5,0.0,0.479149,68.0,6.5
2022-06-02 14:00:00,90.0,20.6,1016.6,22.3,0.0,0.468085,62.0,6.5
2022-06-02 15:00:00,92.0,20.8,1016.8,22.2,0.0,0.468936,58.0,6.8
2022-06-02 16:00:00,92.0,20.8,1017.2,22.2,0.0,0.483404,55.0,6.5
2022-06-02 17:00:00,77.0,19.3,1017.8,23.6,0.0,0.348936,65.0,7.9
2022-06-02 18:00:00,65.0,18.5,1018.0,25.6,0.0,0.299574,79.0,11.9
2022-06-02 19:00:00,56.0,17.8,1017.8,27.3,0.0,0.109787,85.0,13.3
